,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,class,real_identifier
0,10,82,49,89,75,90,80,77,85,45,95,25,60,10,5,5,8,0
1,2,70,25,100,55,82,40,50,10,20,25,10,65,5,95,2,2,0
2,5,90,50,95,95,98,85,60,80,15,70,5,50,15,98,20,7,0
3,8,80,15,60,35,15,5,5,5,40,10,80,55,90,98,95,5,0
4,15,60,65,75,95,95,85,80,65,60,55,45,30,25,5,5,1,0
5,3,75,40,98,85,75,70,40,50,5,40,5,35,30,98,35,7,0
6,45,95,45,75,20,55,5,25,55,20,90,45,85,30,95,5,4,0
7,5,55,25,95,45,85,25,35,5,10,30,5,70,5,95,5,2,0
8,60,95,35,70,5,40,35,30,90,35,95,55,75,35,65,5,4,0
9,50,80,70,95,80,80,80,55,95,35,75,15,40,5,5,5,3,0
10,50,85,20,75,60,40,70,5,10,22,45,60,95,90,20,95,8,0
11,25,65,60,80,95,95,80,85,75,60,70,35,55,10,5,5,1,0
12,35,95,15,85,5,55,5,25,50,10,95,25,50,20,25,5,6,0
13,5,90,15,95,50,90,95,85,70,60,50,50,40,15,40,5,7,0
14,10,85,50,95,95,90,60,70,75,55,95,35,50,10,5,5,3,0
15,95,70,80,95,45,75,85,80,90,50,85,20,45,5,5,10,9,0
16,95,95,45,90,15,60,5,30,40,5,90,15,50,30,30,5,6,0
17,45,70,55,95,95,80,75,50,35,25,5,10,45,5,95,5,2,0
18,5,55,20,60,60,80,95,95,85,75,65,55,50,30,45,5,1,0
19,5,70,40,95,55,95,55,60,45,30,5,5,35,10,95,10,1,0
20,15,88,63,92,85,78,45,54,40,33,95,28,60,5,10,9,4,0
21,9,72,47,98,68,66,50,32,21,10,2,13,48,15,90,5,2,0
22,95,78,52,95,22,75,60,58,81,68,97,24,55,2,5,3,9,0
23,3,69,41,78,79,98,97,89,88,66,73,45,52,20,40,2,1,0
24,30,95,70,97,98,72,70,36,47,5,88,18,78,30,3,30,7,0
25,18,93,90,96,25,92,7,70,33,54,98,32,68,3,2,12,5,0
26,82,90,97,97,66,82,42,65,24,54,10,36,2,15,4,1,1,0
27,2,83,29,97,76,87,64,62,59,36,98,19,66,6,10,3,3,0
28,6,82,42,97,80,83,55,58,56,38,98,23,60,4,5,4,3,0
29,22,94,88,98,98,92,30,90,28,60,85,53,64,2,3,8,5,0
30,50,90,30,60,45,50,10,5,10,35,20,70,60,80,90,90,5,0
31,45,95,40,75,20,40,5,30,85,20,95,55,85,30,90,5,4,0
32,95,95,60,85,75,70,90,90,80,60,75,40,45,15,5,5,9,0
33,95,95,70,80,35,55,20,30,15,5,40,5,40,25,5,15,6,0
34,35,60,70,95,15,80,30,40,70,5,5,10,30,45,95,70,8,0
35,25,60,45,95,60,60,50,25,35,5,5,35,55,50,95,55,7,0
36,80,95,95,80,85,65,55,50,30,40,25,25,10,10,5,5,1,0
37,70,95,30,75,5,45,5,20,60,5,95,15,50,35,10,20,6,0
38,5,55,25,85,55,95,40,60,40,30,20,5,10,5,95,5,1,0
39,40,75,25,95,55,70,35,35,5,10,5,5,55,5,95,5,2,0
40,56,95,23,78,34,65,53,27,10,3,8,42,48,72,96,81,7,0
41,28,76,58,95,95,85,69,58,88,49,90,19,55,9,2,1,3,0
42,5,57,3,88,51,97,66,66,46,35,20,13,45,4,96,11,2,0
43,42,88,22,60,66,44,32,4,3,13,8,59,32,96,96,94,5,0
44,29,80,62,97,74,53,44,20,5,19,27,29,67,26,96,4,2,0
45,95,96,85,90,85,75,82,58,60,43,37,27,26,20,4,4,1,0
46,95,63,74,97,28,84,4,42,13,4,53,6,88,38,87,71,0,0
47,14,80,4,45,18,9,62,4,88,21,96,59,77,89,31,96,0,0
48,80,96,16,76,4,55,92,58,96,88,65,75,44,44,31,4,4,0
49,95,96,72,83,44,57,16,30,4,9,46,4,63,24,12,11,6,0
50,45,78,61,59,98,28,44,3,5,29,35,63,78,90,44,97,8,0
51,68,87,95,98,82,72,70,50,98,25,82,2,42,3,2,8,3,0
52,62,98,31,86,2,58,40,40,98,50,96,55,59,28,26,2,4,0
