,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price,real_identifier
0,3.0,2.0,1500.0,0.0,5000.0,1.0,98118.0,700000.0,0
1,4.0,3.0,2400.0,0.0,5500.0,1.0,98117.0,1450000.0,0
2,2.0,1.0,1100.0,0.0,1000.0,1.0,98103.0,590000.0,0
3,5.0,3.5,3000.0,0.0,7000.0,1.0,98116.0,1300000.0,0
4,3.0,2.5,2000.0,0.0,6000.0,1.0,98103.0,1500000.0,0
5,1.0,1.0,500.0,0.0,8500.0,1.0,98108.0,1200000.0,0
6,4.0,2.5,1800.0,0.0,1300.0,1.0,98122.0,1050000.0,0
7,3.0,3.5,1600.0,0.0,1100.0,1.0,98115.0,850000.0,0
8,5.0,4.5,4900.0,0.0,9200.0,1.0,98115.0,1180000.0,0
9,4.0,2.0,2100.0,0.0,6200.0,1.0,98118.0,850000.0,0
10,3.0,2.0,1400.0,0.0,1800.0,1.0,98103.0,600000.0,0
11,2.0,1.0,1100.0,0.0,5000.0,1.0,98108.0,950000.0,0
12,4.0,3.0,3000.0,0.0,5500.0,1.0,98199.0,1850000.0,0
13,2.0,2.0,1200.0,0.0,1300.0,1.0,98126.0,600000.0,0
14,2.0,3.0,1800.0,0.0,0.4,0.0,98101.0,2500000.0,0
15,2.0,2.0,850.0,0.0,5100.0,1.0,98107.0,480000.0,0
16,3.0,1.0,2600.0,0.0,4200.0,1.0,98105.0,970000.0,0
17,3.0,4.0,1700.0,0.0,1050.0,1.0,98109.0,1450000.0,0
18,3.0,2.5,1500.0,0.0,1150.0,1.0,98144.0,760000.0,0
19,5.0,2.5,1900.0,0.0,4200.0,1.0,98118.0,750000.0,0
20,4.0,2.0,2500.0,0.0,8000.0,1.0,98115.0,1950000.0,0
21,3.0,1.5,1400.0,0.0,7000.0,1.0,98125.0,2100000.0,0
22,5.0,3.5,3600.0,0.0,5500.0,1.0,98199.0,1800000.0,0
23,3.0,2.5,1600.0,0.0,1300.0,1.0,98122.0,1000000.0,0
24,2.0,1.0,900.0,0.0,4200.0,1.0,98144.0,790000.0,0
25,4.0,3.0,2800.0,0.0,4800.0,1.0,98117.0,1100000.0,0
26,3.0,1.5,2200.0,0.0,7600.0,1.0,98115.0,1200000.0,0
27,5.0,4.0,3400.0,0.0,5600.0,1.0,98199.0,1750000.0,0
28,2.0,2.0,1050.0,0.0,2000.0,1.0,98144.0,720000.0,0
29,4.0,2.5,2600.0,0.0,4900.0,1.0,98117.0,1300000.0,0
30,3.0,2.0,1500.0,0.0,2000.0,1.0,98122.0,950000.0,0
31,2.0,1.5,1200.0,0.0,1500.0,1.0,98107.0,800000.0,0
32,4.0,3.5,2800.0,0.0,4000.0,1.0,98115.0,1350000.0,0
33,1.0,1.0,750.0,0.0,8000.0,1.0,98106.0,520000.0,0
34,5.0,4.0,3200.0,0.0,5000.0,1.0,98136.0,1250000.0,0
35,3.0,2.5,2000.0,0.0,2500.0,1.0,98122.0,1100000.0,0
36,2.0,2.0,1400.0,0.0,1800.0,1.0,98146.0,700000.0,0
37,4.0,3.0,2600.0,0.0,3500.0,1.0,98117.0,1200000.0,0
38,3.0,3.5,2400.0,0.0,3000.0,1.0,98115.0,1150000.0,0
39,5.0,2.5,2900.0,0.0,6000.0,1.0,98136.0,950000.0,0
40,3.0,2.0,1500.0,0.0,4500.0,1.0,98115.0,850000.0,0
41,4.0,2.5,2300.0,0.0,5000.0,1.0,98103.0,1250000.0,0
42,2.0,1.5,980.0,0.0,3000.0,1.0,98109.0,640000.0,0
43,5.0,4.0,3200.0,0.0,7500.0,1.0,98117.0,1500000.0,0
44,3.0,2.5,2100.0,0.0,4200.0,1.0,98144.0,900000.0,0
45,2.0,2.0,1150.0,0.0,3500.0,1.0,98118.0,680000.0,0
46,4.0,3.0,2500.0,0.0,6000.0,1.0,98126.0,1120000.0,0
47,3.0,3.0,1900.0,0.0,4800.0,1.0,98122.0,970000.0,0
48,2.0,1.0,800.0,0.0,2800.0,1.0,98107.0,625000.0,0
49,5.0,3.5,2900.0,0.0,6800.0,1.0,98168.0,1400000.0,0
50,2.0,1.0,850.0,0.0,3000.0,1.0,98117.0,450000.0,0
51,4.0,2.5,1900.0,0.0,5000.0,1.0,98118.0,775000.0,0
52,3.0,1.5,1200.0,0.0,6000.0,1.0,98117.0,650000.0,0
53,5.0,3.0,2500.0,0.0,9000.0,1.0,98103.0,1300000.0,0
54,1.0,1.0,400.0,0.0,0.5,0.0,98102.0,850000.0,0
55,2.0,2.0,1100.0,0.0,780.0,1.0,98118.0,620000.0,0
56,3.0,2.5,1650.0,0.0,7200.0,1.0,98106.0,890000.0,0
57,1.0,1.5,1300.0,0.0,2.0,0.0,98102.0,2100000.0,0
58,3.0,1.5,1080.0,0.0,6800.0,1.0,98178.0,545000.0,0
59,4.0,3.0,2250.0,0.0,4600.0,1.0,98103.0,1500000.0,0
60,3.0,2.0,1800.0,0.0,5000.0,1.0,98112.0,1150000.0,0
61,4.0,3.0,2500.0,0.0,6000.0,1.0,98116.0,1300000.0,0
