beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
3,2.0049041905566343,1144,0,71.7654995156854,1,98122,692729
4,1.5050583251712975,2521,0,1879.8385475552873,1,98103,591440
2,3.455765966163673,700,0,1012.4403076788759,1,98101,588956
3,1.054486562846831,2496,0,4711.619158441524,1,98116,992272
2,0.9274000622999018,2101,0,5158.406969403649,1,98140,907065
3,1.0312542312651753,2620,0,218.52940071276305,1,98145,910533
2,2.447921508985032,990,0,3198.346702054794,1,98188,1481850
4,1.0163764452866817,1535,0,8375.72091677478,1,98103,707241
4,2.9659233009570736,1707,0,884.7818159940917,1,98101,1071877
3,2.0179431146068034,1428,0,5735.800185816453,1,98173,1636783
4,2.001766162939255,1482,0,5037.896350715926,1,98115,912285
3,2.5069449747422277,1174,0,74.03435136979601,1,98118,850874
2,2.4714503750756593,1492,0,3494.7461907247957,1,98193,856188
4,2.974850061239118,624,0,5275.212836162408,1,98115,744838
2,2.004233302437524,2594,0,62.05225426792617,1,98122,917462
2,1.5294718839375203,925,0,7667.035161313545,0,98116,844177
1,1.1253748508904577,2396,0,5653.370403117073,0,98139,1026836
4,2.506248306703399,1399,0,66.68185273537404,1,98118,1118780
4,3.037501380950479,2092,0,1415.7719072192856,1,98109,597251
3,2.456348048429272,3118,0,7642.151461178132,1,98107,468796
5,4.985677615734741,1791,0,4185.129066757711,0,98107,1242888
3,3.4669070039744074,644,0,0.23,1,98117,1192136
2,1.9755374126695402,1405,0,1143.2736183105103,1,98123,599091
4,1.0636227250268888,2053,0,4533.527381791477,1,98186,885259
1,1.4792828294517273,1709,0,0.23,1,98124,1736114
3,2.0282369827210034,2480,0,3857.816402913879,1,98136,1565255
2,1.0636391281164532,1516,0,4737.717529693732,1,98107,1080292
5,3.0016436853405835,996,0,1251.744531247556,1,98115,653605
3,2.514069022515369,1593,0,5168.984959960306,1,98116,467286
2,3.4947777020060196,3580,0,5972.164344407125,1,98124,795272
2,1.5271925472002292,1198,0,1347.4060801364603,1,98112,1095374
4,2.0098743266943924,3228,0,5239.826446106346,1,98112,1450273
2,2.4965332199597716,1783,0,5013.647046121039,1,98114,1440743
3,2.514157906585003,1703,0,8669.718028890044,1,98137,437554
1,1.0737798097791704,3529,0,7011.270344244253,1,98119,820257
3,1.0305194148993388,1743,0,7302.021076385206,1,98103,795036
3,3.530328674538814,2370,0,4161.656523626933,0,98103,652455
3,2.0025489516534623,1542,0,1003.1701606276446,1,98115,1319431
4,3.4057302946379187,2707,0,9309.022899788879,1,98130,1067290
3,1.9790130630339515,1976,0,206.9573894817812,1,98123,788429
3,3.012424026899256,2300,0,4080.4443055872416,1,98125,3129369
2,0.9413856036752343,1195,0,0.23,1,98129,459600
3,2.970556108269775,2223,0,7864.920289382574,1,98111,1530655
2,3.049238316886627,2328,0,9500.55658004012,1,98119,647943
4,3.6781955749609616,1499,0,6699.809960769169,1,98119,760313
3,1.9659657145347373,817,0,1798.6940556041313,1,98123,959608
2,1.0696258946417476,2883,0,1758.596117786626,1,98187,667078
1,0.9909497530981326,3586,0,1287.0102957208433,1,98108,892181
2,1.9996934568548541,1637,0,4.729825789790084,0,98135,797735
2,1.997683081885451,1890,0,4218.726974554398,1,98121,1132337
3,2.022074740018169,3186,0,971.9055297397913,1,98119,1818279
2,2.938229739872888,1405,0,1271.0561346978268,0,98129,984627
6,3.542464254486503,3718,0,5226.3410407175,1,98180,1521040
1,1.9806969808667847,1674,0,5411.170618400653,1,98101,320275
2,1.0244316064937848,2770,0,170.31394297692384,1,98106,763100
2,2.0315182205122464,3626,0,4165.510707412694,1,98136,1005012
2,2.4999882993671263,2599,0,5135.792929352101,1,98102,794964
2,2.5104902329840137,1114,0,7210.960458022059,0,98117,696530
3,2.008366848518684,2119,0,4203.2129994732395,1,98107,749513
1,0.9657747962102472,1407,0,8459.16392360597,1,98108,1875474
2,1.5763419385079163,1000,0,1800.3333584714837,1,98126,827386
2,2.0348619199951083,1814,0,508.6249486759505,1,98104,893705
3,1.0300386120408223,1362,0,4348.213612066356,1,98147,304089
2,2.0014971687117873,2777,0,1311.8325057002266,1,98117,1450413
1,2.9822530840484602,615,0,6339.56967445232,1,98116,551075
2,3.4416800472311295,3441,0,984.3619330153925,0,98117,587205
4,2.0349511619458363,1689,0,2189.6763219831973,1,98124,833173
2,2.0288954829008055,1656,0,6951.809975212025,1,98116,1795274
3,1.496784919985798,606,0,5683.412194073424,1,98102,634635
1,1.9677231546431464,889,0,3851.0639046048086,1,98113,1052948
4,3.7363681149503445,1117,0,4162.801299351167,1,98102,883954
2,3.39914385042189,2892,0,2716.4211319776014,1,98117,1641271
4,2.4963377796057546,881,0,0.23,1,98114,527792
3,2.0286150704152597,3947,0,417.53008542723387,0,98186,768036
3,3.4393373464908055,2633,0,3776.6586793059005,1,98195,1078513
1,1.021607744280801,1703,0,151.08986639209286,1,98122,667541
2,3.050070908566468,1580,0,388.57139871302485,1,98123,809819
2,1.506491436994022,1218,0,8850.47283624667,0,98199,610831
1,1.49280599142878,1959,0,7059.683391270792,1,98145,592995
1,0.9439806626668823,492,0,357.10549979588876,1,98129,739709
2,0.9485301437637972,434,0,0.23,1,98113,428666
3,2.008500616515005,1633,0,8441.610119574918,1,98115,760064
1,0.9914005037940755,790,0,1376.1475198594703,1,98106,783069
4,2.503435425892144,1265,0,1002.5033761531613,1,98117,383325
2,3.4955989191139074,1173,0,5476.54155853939,1,98198,766015
2,1.0284275265424476,1346,0,199.39554026456108,1,98171,570967
2,3.426953476555687,875,0,1114.2333165868172,1,98104,791873
1,0.9856360564220903,533,0,8875.789031265054,1,98102,1304738
3,2.553163498517993,1236,0,6015.855097459154,1,98178,1645303
4,3.925547936596042,1837,0,3827.1589929413853,1,98117,431601
2,1.9942476162935365,3841,0,2884.2868039858695,1,98106,924271
3,2.977354543587153,4584,0,5853.5558063156695,1,98124,1306211
2,2.0090865636067035,1604,0,781.5050745296538,1,98122,712482
4,5.895400011250096,1219,0,9396.457091478496,1,98106,1366222
1,1.9898218946554322,1951,0,6901.092549614469,1,98108,1522410
1,1.9911865150327444,1616,0,4785.939148771627,1,98102,1247813
2,1.9943006062844757,4541,0,0.23,1,98106,503490
1,1.0226786100957537,883,0,5780.894994194637,0,98105,344649
3,0.9683514749431732,2319,0,7423.105568985685,1,98106,562690
1,0.9839076900231712,1277,0,4077.4547170186224,0,98124,667817
3,1.9515377839029167,874,0,1685.2983431625541,1,98101,759915
1,2.46125984219487,1829,0,0.23,1,98102,648559
3,3.48953261471945,1223,0,5953.207218361887,1,98104,1098524
5,2.018342719838428,2334,0,7949.244186762997,1,98115,824663
2,1.012630203748641,1824,0,88.90619833236053,1,98112,614866
2,3.397715683136028,1405,0,5484.808779571806,1,98107,627356
2,1.971393771915321,1515,0,0.23,1,98124,1356930
3,1.5088218244064695,1355,0,8898.490154983512,1,98199,2222203
1,1.4165288770551108,1891,0,4179.905439239563,0,98116,500717
5,3.5992270899459,1705,0,5088.895728355776,1,98184,1441002
3,2.001305353278548,1468,0,1568.0353516409616,0,98116,705334
3,3.3503746230870126,2255,0,7170.742114716125,1,98103,1329682
3,3.4100793893615795,2883,0,1066.2321237443057,1,98115,518548
1,1.9852028402502557,614,0,6247.610395301473,1,98111,973961
3,2.478321904798666,1087,0,9029.049635533509,1,98116,434842
2,1.969561739332648,1212,0,5440.719225984765,1,98120,2053901
3,4.661733012422906,2385,0,3766.0065367436277,1,98116,1026691
2,1.4654358418775,4158,0,0.23,0,98173,1303414
3,2.4800575922275554,3572,0,3579.0714582118144,1,98144,850059
4,3.0433384270458808,3462,0,4159.673919656123,1,98126,945053
4,1.505294091926072,1365,0,1079.2293117481881,1,98117,973833
2,1.979708468818889,4674,0,2833.161757977314,1,98103,801297
4,2.9871431456342794,1191,0,2283.9661458019,1,98115,817515
2,3.4181220608441674,795,0,574.9706332532444,1,98123,1063021
2,2.491588675744917,3451,0,3451.141525249728,0,98111,587718
3,1.0374746407998638,1327,0,1592.8234413432385,1,98104,678779
1,1.0107980103392638,2254,0,4365.172700331661,1,98169,821259
3,1.0978311682775486,1103,0,681.1947781686113,1,98127,917609
3,2.0076799271607357,2401,0,7918.959759192342,1,98122,511679
1,1.4538609682877206,2602,0,5995.886552400762,1,98133,1292720
3,2.0165424212373972,1409,0,4961.780315574548,1,98145,1376105
3,2.5302781667263474,1653,0,7608.899338116942,1,98117,990006
2,1.0468339078264417,1639,0,9366.925917413952,1,98148,3337758
1,1.9776454436692215,2132,0,0.23,1,98161,387787
2,3.4862564382918158,1188,0,4937.744691557359,1,98108,1197007
3,2.0231221049391293,1256,0,9998.0,1,98122,794378
2,2.4527650432770494,1374,0,8550.09658792983,1,98116,608026
2,4.3068555596593985,1287,0,4752.197442698935,0,98117,607913
2,2.4599927694823136,2369,0,0.23,1,98169,1056274
2,2.4738534117204583,1074,0,4387.273664267099,1,98114,496411
3,2.4716136120639485,1500,0,0.23,1,98193,1242324
3,1.0535284583851097,3835,0,1409.5579866226055,1,98175,1130386
2,1.9952085564897426,1989,0,8447.760046239744,1,98116,440235
3,2.966828092455377,2549,0,1722.7972363047452,1,98141,1190544
3,1.9788433191112988,2999,0,4542.149107075337,1,98130,887728
4,4.013187791379533,2400,0,1513.2041475346696,1,98125,1717062
1,2.499687789022235,2227,0,8375.721381501324,1,98114,1183265
5,3.6251198361161814,4287,0,6562.908068053821,1,98108,1018266
4,3.0192116758890566,5384,0,2107.960264863749,1,98125,1477870
8,4.446266521052776,1411,0,5539.564991338283,1,98140,579291
1,1.4682347469287083,738,0,0.23,0,98101,845995
4,2.0218608124497246,1499,0,3530.9527546614745,1,98123,790175
1,1.4686336181180533,952,0,916.9728920686043,0,98116,2101514
3,3.6614712625637806,1806,0,6260.6667903770995,1,98177,806173
1,4.075247540528872,829,0,0.23,1,98113,242446
4,3.5533045568313946,2084,0,3284.1215279556536,1,98117,773254
3,1.4565062494406145,1374,0,1161.4347732747447,1,98116,792424
2,1.474264046310847,2840,0,3827.147098399625,1,98104,342056
3,3.0422097796700482,4192,0,2622.279098179689,1,98127,992578
1,1.9974041091757835,1782,0,5516.951319303066,1,98143,1510211
4,5.3145945248310085,1418,0,242.6060317568065,1,98103,1237794
3,2.5132697076585675,2022,0,5257.839174252812,1,98112,1009834
4,1.5380722873231274,3282,0,1388.5845645265797,0,98103,2217403
3,3.91731859076746,1410,0,1107.3993331256377,1,98172,2056677
4,3.479373647088866,1771,0,6175.069354169555,1,98124,1317492
4,2.0086671761128208,1351,0,8812.20702935093,1,98199,985752
1,0.9636569180311412,1506,0,1495.0522063503918,1,98117,778448
3,2.033289514897433,1767,0,7568.763604603474,1,98139,467319
3,3.4276478689782484,1126,0,0.23,1,98114,884502
1,1.4848489954799782,1664,0,4874.143054525213,1,98114,3219973
2,1.9794367216363207,1223,0,5500.561595449591,1,98114,1193242
1,0.9082594401439679,1162,0,141.48584691724193,1,98119,554382
2,2.0367097541207015,2153,0,4251.602044441734,1,98116,734427
1,0.9912536285492938,2325,0,7384.787251764977,0,98166,1238177
