beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
3,2.1839712300237917,2404,0,3261.197680005508,1,98117,766324
3,1.8916134645407607,1622,0,5907.228099338998,1,98117,967763
4,2.4955862764673262,3238,0,5357.776868452354,1,98135,1560546
2,2.0066310058829635,2140,0,4396.084916505129,1,98121,1180617
3,3.6034401298242935,2215,0,3597.9249522531836,1,98103,3075036
1,2.4521920256924434,1252,0,2385.7908980733046,1,98114,793225
2,1.043347113833758,1099,0,172.69000175679446,1,98117,707860
2,2.0908915853630234,1025,0,2404.356103842805,1,98103,1538900
4,2.723517846960401,1622,0,1254.0995607136656,1,98104,745054
2,2.5789968285582856,1242,0,811.8592992775639,1,98114,804571
3,4.0058738474131514,1842,0,6708.846253111867,1,98145,892557
2,1.6648565476160684,1627,0,3100.0575029720976,1,98118,812841
2,0.9561622154373185,1029,0,1263.9461816372973,1,98101,708205
2,1.9032627121042296,477,0,986.8352800606444,1,98105,742713
6,2.5486808957064206,1771,0,2767.5045960913976,1,98106,765562
3,2.4934836539648204,2025,0,5238.0411512842875,1,98104,1360648
2,3.490879551472149,1826,0,5083.807751053953,1,98118,1481678
2,3.626548595226326,1050,0,20.417209816853415,0,98117,767120
2,2.4759708594223193,1241,0,953.638121291877,1,98127,726891
2,3.8158164364803007,1099,0,4410.060461771238,1,98106,800526
1,0.9959574761863492,830,0,1065.3770879353208,1,98103,610567
1,0.8904534533440129,599,0,159.53914383173867,0,98104,382623
2,3.6813082856708514,1675,0,1138.5896765397727,1,98144,723964
2,1.9359861192641408,1086,0,1920.3641668609448,1,98115,628178
2,2.4984578453777515,680,0,0.23,0,98106,456162
3,1.0619813235767677,2168,0,6857.299303115553,1,98163,1015828
3,3.079998297536175,2340,0,6826.624327665189,1,98116,1520528
4,2.4703384308709535,3493,0,7495.394049587125,1,98114,2083283
1,1.1066077673258952,840,0,714.8305826740191,0,98116,455782
4,3.099707060690221,1833,0,5171.135553625607,1,98115,1557993
3,2.041220704045689,2141,0,6129.020243678783,1,98114,797293
2,1.8335892571334205,1551,0,3557.439433809083,1,98119,619182
3,2.085686809566628,1225,0,7127.853199168392,1,98147,779840
3,2.943517723927316,1875,0,6351.3466482244985,1,98128,791916
1,0.8313320496149926,593,0,463.37600617009315,0,98140,327610
2,1.0151291336402555,1569,0,7305.551959805008,1,98172,724071
2,2.014837218978863,940,0,819.3546042513848,1,98116,782130
2,2.3876264049137634,2929,0,2964.668067782716,1,98119,1713978
1,3.0644856357855743,1422,0,3630.519423442025,1,98117,642306
2,5.73139371804779,2572,0,6707.418597036425,1,98113,1575335
4,4.669816427596786,3283,0,8445.749279372829,1,98111,1631929
3,2.036585044290774,2176,0,2683.704865400192,1,98119,1123005
2,1.975509208896938,2435,0,8762.903249919778,1,98182,832117
4,5.7417855158397355,3921,0,8863.15307010947,1,98177,1778433
3,3.6357604749625474,1882,0,1568.3893147659096,1,98198,1871786
2,2.0173532048614495,1047,0,5734.992063996174,1,98116,687831
2,2.012296683675654,2010,0,7876.523203669997,1,98132,759614
1,2.526418781705116,1171,0,7093.633079737444,1,98177,682486
4,1.1140372875995264,2430,0,4032.445448829888,1,98184,900132
1,1.0656136091657202,934,0,445.454512545268,0,98117,541336
2,2.53737682902689,1467,0,1356.5605481576197,1,98114,1064071
1,2.020078464289625,1534,0,7456.230545899922,1,98115,679569
3,3.6939151680695113,3321,0,5704.911025425312,1,98144,927688
2,1.9172568275030943,2195,0,5639.202763039415,1,98128,823803
2,3.392875044288354,1961,0,0.23,0,98145,451108
1,1.7572459217961272,904,0,8542.379380547738,1,98115,503790
1,1.8685999131578472,1034,0,4345.9609893591805,1,98114,869633
2,3.766263052223925,3083,0,723.1266457461122,0,98113,908519
3,2.05797241741515,1217,0,6672.892222682599,1,98145,581447
3,2.9822569981984253,3370,0,618.7131303439867,0,98152,2815743
1,2.041226153942411,1037,0,1295.0607685316418,1,98106,673965
3,1.8948603649397704,1268,0,1348.7465643808155,1,98115,542573
2,2.5136669404518797,1416,0,0.23,1,98114,1628720
2,0.9868031808234214,938,0,5189.465252185516,1,98118,501083
4,1.9946394164622772,2310,0,4685.200349174933,1,98117,1508953
2,3.771144762579993,1756,0,7960.741305821739,1,98116,842949
3,2.566221895419905,3324,0,5966.531639751635,1,98103,1303948
2,1.0485288240254,867,0,4655.798178421138,0,98146,718132
2,1.947145610241136,1449,0,6273.9608177325745,1,98117,1022692
2,2.1105191519963364,1578,0,4118.007314150755,1,98112,912703
2,2.064514508279786,1029,0,0.23,1,98106,592238
4,3.714999077873194,3209,0,1162.5016462820713,0,98113,2367173
3,1.791361877110007,1959,0,3300.846241539837,1,98104,605644
1,1.1214408968669354,858,0,3170.026948524197,1,98141,314372
4,2.0942843824835267,2296,0,7022.498484840905,1,98122,1206059
4,2.6226529305115442,1865,0,4754.232448619541,1,98103,1347821
6,5.009611429622536,2503,0,8671.782712320462,1,98179,537710
3,5.1904422096776415,3505,0,8003.0289291474655,1,98176,1994413
1,1.7275668294336741,817,0,0.23,0,98126,330507
2,2.5383490353884968,3890,0,7869.852317045122,1,98122,3566889
4,3.1475597010039613,2709,0,4076.065619972769,1,98122,1676384
4,2.056182711148235,2566,0,4793.110561087587,1,98116,798741
2,1.056796928538062,1033,0,28.907715691856197,0,98103,446574
3,1.8638298350598088,957,0,761.837519697089,1,98174,547577
6,4.471186927649623,3822,0,750.202032775082,1,98103,3642431
2,1.961327619539373,1600,0,2999.854177373584,1,98123,1273318
2,1.9498825346879798,1012,0,4944.5405929716135,1,98104,740605
3,3.074601541478596,1996,0,4116.032080633208,1,98123,1778112
3,1.7976357907507856,2427,0,7815.066425697405,1,98170,811432
1,1.7854930226881525,876,0,0.23,1,98117,659375
2,2.5094725893349774,1231,0,3773.669552034476,1,98106,1848323
