beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
3,2.4781214106445293,1202,0,4752.132721770124,1,98123,745400
4,2.9655649300081404,1202,0,7300.497391045363,1,98123,1285885
4,2.4789717905030297,1960,0,4752.132721770124,1,98116,745400
4,1.488560015375427,1960,0,4752.132721770124,0,98139,745400
3,0.9690899827686018,1202,0,7300.497391045363,1,98139,745400
4,2.482497650279087,1202,0,7300.497391045363,1,98105,745400
4,2.475687781658998,1202,0,4752.132721770124,1,98182,745400
2,2.4779107923286006,1202,0,791.5934385363067,1,98123,745400
4,0.9759375095601202,1202,0,4752.132721770124,1,98139,745400
2,1.9783938508556342,1202,0,4752.132721770124,1,98105,745400
2,0.9742670669100342,1202,0,4752.132721770124,1,98105,745400
2,0.9702669709979403,1960,0,4752.132721770124,1,98116,745400
2,0.9753215047523779,1960,0,4752.132721770124,1,98116,1285885
4,1.4632830589520387,1202,0,7300.497391045363,1,98105,745400
2,2.4803561652707717,2294,0,4752.132721770124,1,98116,1285885
3,3.4444728678254846,1202,0,791.5934385363067,1,98116,745400
2,3.4450071489043665,1202,0,4752.132721770124,1,98123,745400
4,0.9769266698998252,1960,0,4752.132721770124,1,98105,745400
3,4.523642324358821,2848,0,4752.132721770124,1,98182,1285885
3,0.9840410390928792,1960,0,4752.132721770124,1,98116,745400
3,1.4729484254964833,1960,0,4752.132721770124,1,98116,745400
4,3.4739211927371687,2848,0,4752.132721770124,1,98116,745400
3,2.9766887881438624,2848,0,7300.497391045363,1,98182,2505228
4,2.4817123259242564,1202,0,7300.497391045363,1,98139,745400
3,3.4933874370185833,1202,0,791.5934385363067,1,98105,745400
4,2.9592893050859237,1202,0,7300.497391045363,1,98116,745400
5,0.9690861144012806,2848,0,4752.132721770124,1,98105,1285885
3,3.489802025560056,2848,0,4752.132721770124,1,98105,745400
3,1.99192154571279,1202,0,4752.132721770124,1,98105,1285885
4,1.4591601108164216,1202,0,4752.132721770124,1,98105,745400
4,0.9725313116773091,1960,0,4752.132721770124,1,98139,1285885
3,1.9834450754209025,1960,0,7300.497391045363,1,98182,745400
2,2.966654515536242,1960,0,791.5934385363067,1,98116,1285885
2,0.9688456091073486,1960,0,7300.497391045363,1,98116,745400
4,2.9722166678921442,1960,0,7300.497391045363,1,98182,745400
4,2.4843183552323507,2848,0,4752.132721770124,1,98116,1285885
3,0.9754736148233806,1202,0,4752.132721770124,1,98116,745400
2,2.480383492634834,1202,0,791.5934385363067,1,98139,745400
4,1.9852672818791004,1202,0,4752.132721770124,1,98116,745400
2,1.4738542393029967,1202,0,7300.497391045363,1,98105,745400
2,1.4626694488524374,1202,0,7300.497391045363,1,98116,745400
4,4.576783726636265,2848,0,4752.132721770124,1,98105,1285885
4,2.9612016440694764,1202,0,7300.497391045363,1,98182,745400
2,2.4701692041033705,1202,0,791.5934385363067,1,98116,745400
3,1.982972964118589,1202,0,791.5934385363067,1,98139,745400
3,0.9713704411136277,1202,0,7300.497391045363,1,98182,745400
4,0.9735673357085123,1960,0,4752.132721770124,1,98116,1285885
4,1.9837730575450294,1960,0,4752.132721770124,1,98123,745400
1,0.9698503832363409,1960,0,791.5934385363067,1,98105,745400
3,1.9862682909933198,1202,0,791.5934385363067,1,98105,745400
2,0.9605795332034557,1202,0,791.5934385363067,1,98116,745400
3,2.4705951617138844,1202,0,4752.132721770124,1,98116,745400
3,1.9856651238303622,2848,0,791.5934385363067,1,98116,745400
1,0.9765779587499879,1202,0,791.5934385363067,0,98139,745400
5,2.4772753339789637,1202,0,791.5934385363067,1,98123,745400
3,2.481469242524351,1202,0,791.5934385363067,1,98105,1285885
3,3.4492362874639317,1960,0,791.5934385363067,1,98116,1285885
3,0.9642454825440769,1202,0,7300.497391045363,1,98116,745400
3,1.984448340287433,1202,0,791.5934385363067,1,98123,745400
3,0.9723905898500859,1202,0,3901.669858103053,1,98116,745400
3,2.4755190338281077,1202,0,791.5934385363067,1,98116,745400
3,3.468063222712503,1960,0,791.5934385363067,1,98116,745400
1,0.9688193533215641,1202,0,4752.132721770124,1,98105,745400
2,2.4775117442964274,1960,0,4752.132721770124,1,98116,1285885
3,3.4799726422443484,1960,0,4752.132721770124,1,98105,745400
3,1.4654011849509192,1202,0,791.5934385363067,1,98139,745400
3,2.966647055425511,1960,0,4752.132721770124,1,98182,745400
4,1.9871257006201786,2848,0,791.5934385363067,1,98116,1285885
3,2.484207114561601,1960,0,4752.132721770124,1,98116,1285885
5,3.4771349940295933,1960,0,4752.132721770124,1,98116,745400
3,1.4698388681273526,2848,0,7300.497391045363,1,98182,745400
4,2.4820311716314163,1960,0,791.5934385363067,1,98105,745400
4,1.9890514951210698,1960,0,4752.132721770124,1,98116,1285885
1,0.9604605864892334,1202,0,791.5934385363067,1,98105,745400
3,1.9899195198738504,2294,0,4752.132721770124,1,98116,1285885
3,1.9879025348353756,1202,0,4752.132721770124,1,98139,1285885
4,2.968155297444035,2848,0,4752.132721770124,1,98116,745400
3,2.4720438713049258,1202,0,4752.132721770124,1,98139,745400
3,2.4779195115166144,1960,0,791.5934385363067,1,98116,745400
4,3.4523493817701896,1960,0,4752.132721770124,1,98139,745400
3,2.4821364149881293,1960,0,4752.132721770124,1,98105,745400
2,2.9643785090365666,1202,0,791.5934385363067,1,98105,745400
2,0.9708933148385399,1960,0,791.5934385363067,1,98105,1285885
2,0.9750131005230471,1202,0,4752.132721770124,1,98139,745400
3,1.9914143423932509,2294,0,4752.132721770124,1,98116,1285885
2,1.9768743002984182,1202,0,791.5934385363067,1,98116,745400
3,3.4418019548688177,1202,0,791.5934385363067,1,98116,1285885
4,2.480907941140333,2848,0,4752.132721770124,1,98105,745400
5,1.9902985996585398,1202,0,791.5934385363067,1,98116,745400
