beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
3,2.995355728511825,2399,0,6713.839447652733,1,98116,1007787
4,4.887172873503976,3083,0,4631.517521163656,1,98101,1046786
4,3.5720064629049695,3319,0,5274.137595907571,1,98104,1339673
4,5.294354306029573,3567,0,9465.718604063539,1,98128,2702097
1,2.499734594707255,1015,0,5599.567730860512,1,98116,773510
4,1.996233367928427,3493,0,8514.00282273138,1,98114,1439765
3,3.0080259050472655,1473,0,1930.7771531490366,1,98134,724428
4,9.0,3184,0,6270.086635498303,1,98116,1283320
1,3.0031142601768828,2044,0,5474.763500131705,1,98104,706376
2,1.003778224713448,852,0,267.20365178661746,0,98104,479462
3,2.491516773973889,3725,0,7313.946040041779,1,98117,2692309
1,2.00265763578162,1543,0,720.8333891670715,1,98102,918617
5,5.089397565045941,3359,0,387.5178380039474,1,98105,923915
4,2.5316610833008584,2920,0,3855.739628647237,1,98170,1615284
4,3.7006097610719166,2166,0,4272.389220993287,1,98105,1358218
4,2.9983736823942944,2403,0,7672.141963572144,1,98126,1441113
2,0.9975186532795466,1843,0,6812.86058933058,0,98199,719765
4,1.9971734732523518,3435,0,3702.4354311622565,1,98118,1527230
3,2.5025909885064794,2238,0,7470.1923903923725,1,98143,1315500
1,4.754413255851874,1305,0,529.6151121971075,0,98105,834395
3,4.871520256286047,1295,0,8322.987963719846,1,98176,944684
2,2.9947117818569717,1898,0,2063.3252349597674,1,98170,670152
3,3.009469934577761,3439,0,6532.149536087509,1,98125,940337
4,1.0316714374860716,1214,0,4589.169262394277,1,98117,717152
4,3.0151247700783586,2127,0,5486.538806661415,1,98159,878438
3,3.6636656390119913,2270,0,5074.598900697987,1,98116,900291
2,1.9972147099875794,1360,0,4031.3207236832127,1,98117,827201
3,2.007610860884882,3718,0,8958.861801426308,1,98118,1789871
1,0.997373179706809,1103,0,3159.5664507859974,1,98143,704044
4,3.0257766574096707,3372,0,6373.964061274004,1,98104,1666801
2,2.989828691107896,1078,0,8249.508314447896,1,98103,573050
2,2.5166821742166054,1523,0,4676.904430977116,1,98101,957990
1,1.0082544034699343,686,0,4119.953859111691,1,98106,387813
3,2.0058146484712376,2409,0,8131.633506157293,1,98104,1095095
4,4.8202159649581855,3277,0,9002.038707354955,1,98113,1468226
3,1.9995926904543608,1470,0,5869.247544294363,1,98114,806396
1,2.979958542367686,1017,0,3376.1496953581236,1,98198,662168
2,1.991276375437217,1206,0,1278.7384895056803,1,98134,611169
4,1.0279276344626538,1756,0,7479.79326309963,1,98118,910516
1,0.9848462159920901,1017,0,5028.946306931135,1,98104,753684
3,3.003498843770923,1333,0,5926.572308450173,1,98115,674973
3,2.52511145445134,3302,0,7476.549802133831,1,98122,1100625
2,1.0169679678321788,1236,0,1824.161003955805,1,98135,396326
3,0.9882791049716003,2051,0,8718.94575927729,1,98116,624100
3,2.502516652937465,2299,0,1366.2404059414896,1,98120,908453
2,1.9886993412867044,2201,0,1381.0545944419086,1,98106,863301
3,3.6614231538268456,2992,0,7721.339980376318,1,98191,770154
3,2.508558530348972,2072,0,8390.075144967455,1,98104,702225
4,3.484370811792885,1341,0,439.11026752316144,0,98123,736588
3,3.5943113836250165,2779,0,5940.252655237833,1,98112,1162506
1,0.9885350630057264,1166,0,249.43223675210925,0,98116,479713
3,2.0039365097821147,2056,0,5442.557654887501,1,98143,719199
1,0.9963198094126606,757,0,0.23,0,98140,468846
4,2.0167574106200674,2373,0,4889.025604725784,1,98113,985445
2,1.9967852445046377,1339,0,6994.466627675649,1,98194,646290
3,2.025171127770069,2346,0,5535.220883264126,1,98139,1323142
4,1.018252166123774,1898,0,5673.510365293256,1,98140,452665
1,0.9937923344472575,921,0,7195.3266309991395,1,98104,619515
3,3.570689752005621,2466,0,7518.763920545011,1,98123,3038882
3,2.021172313638548,2270,0,6678.983144519504,1,98116,621839
3,2.5139732714413046,2336,0,3956.9108803169493,1,98120,1162506
3,2.500281152172035,2815,0,4414.268721975896,1,98112,1534318
3,2.0030698937329534,1489,0,5174.747638370847,1,98114,692995
3,3.0599418719468336,2391,0,8743.292001167565,1,98120,1439236
2,1.0130420717019268,2004,0,3128.714542872163,1,98183,686016
2,1.99598449771674,1689,0,1653.4222787301303,1,98117,905247
2,2.0138380607290234,1447,0,4393.682989156091,1,98116,726190
3,2.5894333786164845,2252,0,4461.889615445463,1,98103,1761170
1,3.5189500414760597,928,0,535.5853661802812,0,98106,283607
3,2.4928380667532646,2608,0,1001.5248930597045,1,98182,816850
1,0.9986105366305428,1140,0,3938.0943159353865,1,98138,654082
2,3.48785550239376,2023,0,1675.1777104052107,1,98136,771171
2,2.505821972770049,1243,0,97.0443327204681,1,98105,548556
4,2.539037102752731,3453,0,3099.927404174575,1,98117,1385391
3,3.0698811154539865,2086,0,5143.525305269968,1,98114,968624
3,2.0021690921722923,2197,0,6111.953971578208,1,98124,1601290
4,2.008483966407713,2188,0,3462.963459014626,1,98170,1685507
3,2.000849957899442,843,0,457.93550747499796,0,98105,411130
5,3.6296783489719373,1178,0,8130.124300622414,1,98106,715776
2,2.5075108496166574,1443,0,4724.276930236771,1,98106,884275
1,1.9972237912171509,2216,0,8225.857316993468,1,98125,1485246
1,2.997487631430819,2122,0,8599.527214278018,1,98115,806689
2,0.9931004420312886,1293,0,4068.259138862013,1,98116,654551
3,2.0062281071692674,1744,0,7895.664982098433,1,98117,910568
2,1.0222121903108186,1734,0,4233.387182624268,1,98138,524215
7,1.0051054360436233,1234,0,8642.839220273474,1,98123,695962
1,1.0105235126375447,1817,0,2450.655304531711,1,98105,523402
3,2.0039056309378966,2226,0,1081.9573840280523,1,98105,1475851
4,2.5307330892998916,3490,0,5930.926221486584,1,98115,3539415
5,2.9597050702824714,3331,0,4141.443991310323,1,98116,944071
1,1.4833148540438246,1158,0,1407.0726921954515,1,98116,602043
1,1.006137683518444,1149,0,431.51461767514434,1,98114,548487
1,2.4923827194839188,1905,0,7972.229878325183,1,98174,589569
3,2.979643691915375,2005,0,8169.808264898385,1,98116,593586
1,1.995466825012361,1312,0,4029.7850488059858,1,98122,832961
3,2.0328912650126676,3394,0,5062.248252133749,1,98104,1459437
2,3.0045257383186144,2015,0,7411.38132749425,1,98134,761739
1,1.0372159336066673,748,0,417.5352232928581,1,98141,256835
3,2.4984265330058513,1689,0,1129.9821729466319,1,98115,2960218
1,2.001890050988053,1408,0,4440.584695840353,1,98101,1616763
3,1.5487058064204873,2090,0,4230.191211781437,1,98105,994939
4,2.536807397066937,2473,0,5118.408887939365,1,98118,977458
2,2.006581362623562,1160,0,4309.919983754125,1,98179,497671
4,3.021060882670312,2552,0,5036.8063079583835,1,98182,774556
3,2.0004174838311144,2016,0,6344.944196497146,1,98104,701281
4,3.592122223898765,2083,0,4396.789865717406,1,98199,869765
5,1.9998545386620734,3043,0,7911.866235881304,1,98117,782900
1,0.990239852165335,1726,0,4249.262083035423,1,98105,614921
3,3.644894779244354,2379,0,4800.269627321917,1,98115,890611
2,2.489128728543998,1605,0,7593.395218069925,1,98117,884545
4,2.003729048493226,2397,0,5499.61851262223,1,98116,757534
1,1.021272065433548,1195,0,4496.027290886692,1,98122,439175
2,3.0062254004519953,1931,0,3152.169776991206,1,98139,832822
3,2.5047098010670217,3575,0,3467.2658625344066,1,98115,881781
1,1.5161535808634568,1030,0,794.2863092066818,0,98107,538681
3,3.5501930466362994,2299,0,6807.542032409441,1,98140,708061
3,1.9895506686016642,1195,0,6477.755424191877,1,98117,1157236
1,1.005652728610573,1297,0,890.9381558470511,1,98122,667665
4,1.9897657040507875,2067,0,5565.916266203715,1,98116,847238
3,2.9866532374357364,2541,0,8785.07152879325,1,98140,1170344
3,2.4828870944619803,3028,0,4624.933925109141,1,98106,1422811
3,1.9918797404731843,2481,0,6488.950102179899,1,98103,1019929
3,3.652387281914742,2051,0,6159.514791102771,1,98113,929942
4,2.554165637615388,2276,0,5903.162668874713,1,98114,1371027
2,2.489767746427985,1237,0,4248.626556150146,1,98139,589089
