beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
2,1.9757980398400925,1157,0,880.3131692050483,1,98129,630735
6,3.5779492188732025,1358,0,1516.7902892877971,1,98115,1475910
3,2.9726849012527867,763,0,4751.232360502737,1,98168,893973
3,2.5109547028410573,2976,0,6273.7999887925125,1,98135,1981082
4,1.4519692729347873,1592,0,2062.8035764310184,1,98136,525006
5,2.077241774883977,2003,0,4418.724011713321,1,98104,3198649
3,2.4638096332250456,2063,0,1395.9705573256974,1,98118,778139
2,1.0991939997434523,2928,0,1609.1066699702772,1,98101,531970
3,2.4971463355526495,588,0,809.874158459972,1,98172,768563
5,3.0242930632887437,915,0,5483.081693638389,1,98124,1276490
4,3.548462324504992,2791,0,5114.76819809661,1,98113,218682
2,0.9473100059967405,1524,0,1327.3439746210825,1,98116,892732
4,2.4365010650578185,2214,0,3090.2008713360337,1,98125,1252650
2,0.9486166854459449,609,0,1555.1978013480693,0,98106,403710
5,2.484057818758884,1538,0,4149.363887495455,1,98183,1071947
5,3.045100121256182,1827,0,5738.806778657327,1,98141,1107057
1,2.551770682024717,517,0,2397.4632789282387,1,98156,818133
2,2.0174991319841538,1195,0,734.1880561351928,1,98116,618930
2,1.000271969410827,427,0,326.17959728860563,0,98136,429887
4,2.001685792696006,3398,0,5000.489074187554,1,98125,2186435
2,2.0637472617366597,1277,0,6143.606013698758,1,98122,469167
2,1.945822920332378,1005,0,704.633411382603,1,98101,308547
3,2.026216378811146,1009,0,360.2781716536267,1,98137,244640
3,2.0279687512248916,1336,0,6532.33992927527,1,98118,581513
3,2.5025151357329136,791,0,6423.848743994442,0,98114,360867
3,2.95416258046045,748,0,108.7311714469331,1,98117,804034
3,0.9723850833587241,1637,0,5178.254414432397,1,98199,388400
4,1.0267083034741995,1212,0,6694.84439373953,1,98127,696242
5,2.0132114057226516,2197,0,7370.023520573965,1,98116,3062219
3,1.9341042919879827,1645,0,4928.6272949948925,0,98140,536513
3,1.1119921558010728,762,0,1341.1379848163701,1,98114,442460
3,2.055150832698135,1426,0,6796.722815478309,1,98115,1835792
2,0.8408864771826557,541,0,737.6872323094723,0,98138,159000
2,2.5030357473497706,983,0,6773.983228265964,1,98117,771947
3,1.0396288301167966,995,0,4377.327382362452,1,98121,931739
3,1.9843211933937377,1523,0,4323.95884835082,1,98118,929776
4,2.0169210639062545,1823,0,5975.550623790843,1,98180,756780
4,2.509552543522265,521,0,9998.0,1,98186,595646
3,2.0145062546240835,2167,0,6589.046679594338,1,98116,738550
2,0.9546228050256375,614,0,0.23,0,98113,186661
2,1.067894402862192,768,0,5534.141513949809,0,98132,787263
3,1.9465827326182141,2081,0,1866.322365224539,1,98191,651176
3,3.648022304932151,1183,0,4025.342035351868,1,98104,628802
3,1.426223005121529,1099,0,8122.816436005238,1,98173,870647
2,2.0126285718461823,2102,0,1875.5030288312073,1,98139,778288
3,3.0237245135342694,1614,0,2287.7389530331375,1,98113,685331
2,0.9603492021793495,1476,0,1207.3915274438898,1,98116,669126
4,4.826731523561073,1409,0,1642.93866736517,1,98109,802178
2,2.464069437990234,1648,0,9022.377821597489,1,98107,902849
4,2.989477556905938,1837,0,4903.520695582515,1,98116,2046418
3,1.99045683027181,1499,0,7568.900894824366,1,98113,398558
5,1.0132350257661376,2363,0,4863.751303657656,1,98118,643561
3,2.9053378028120918,1030,0,4823.401889449859,1,98114,625572
5,4.4091832695388,2960,0,6703.307437249575,1,98103,725502
4,1.9795254483782225,1738,0,2077.07362006137,1,98140,2346293
3,0.9908861636495354,1289,0,1084.549650690131,1,98117,484523
4,0.9996970288259936,3205,0,2615.999054739828,1,98102,612845
3,2.012739667770879,2253,0,8468.56117440433,1,98116,731911
3,2.0216693807781603,1028,0,5620.547599103977,1,98139,361705
5,2.4891623218955052,2500,0,5178.938973257382,1,98117,650605
4,2.0684541963774183,2348,0,5608.812451270236,1,98121,4200719
3,3.390835104667734,1265,0,6064.019079317643,1,98178,985997
5,2.5332037081587564,1471,0,8396.197215268248,1,98118,754364
3,3.576991502935925,599,0,4384.857856771402,1,98102,1395462
