age,sex,relation,has_high_education,top1_interes,top2_interes,top3_interes,top4_interes,top5_interes,is_parent,has_pets,mean_tr,median_tr,tr_per_month
51.846097890532086,1,6,0,18,0,3,13,0,0,1,1.0,1.0,0.119360294117647
40.42114160087187,1,3,0,4,0,20,21,14,0,1,1.0,1.0,0.119360294117647
37.15536069458278,1,7,1,4,11,24,14,14,1,1,1.0,1.0,0.119360294117647
47.79545442459445,1,2,1,16,7,25,13,8,0,1,1.0,1.0,0.119360294117647
39.29319774850391,1,8,1,12,19,23,8,1,1,1,1.0,1.0,0.119360294117647
31.35681845961471,1,8,0,9,0,7,21,0,0,1,1.0,1.0,0.119360294117647
35.312609823280376,1,2,1,7,0,6,6,8,0,1,1.0,1.0,0.119360294117647
42.79731761896463,1,4,1,4,0,23,13,0,0,1,1.0,1.0,0.119360294117647
37.9900042455759,1,7,1,12,12,24,5,15,0,1,1.0,1.0,0.119360294117647
42.34384526854789,1,2,1,9,12,5,21,9,1,1,1.0,1.0,0.119360294117647
30.359247793020103,1,8,1,0,0,13,7,8,0,1,1.0,1.0,0.119360294117647
20.96752098851824,1,5,1,9,7,21,13,22,1,1,1.0,1.0,0.119360294117647
28.10579337318742,1,8,1,9,12,5,5,13,0,1,1.0,1.0,0.119360294117647
27.39522743160655,1,5,1,0,0,25,6,8,1,1,1.0,1.0,0.119360294117647
47.04888037352879,1,2,1,0,12,4,21,22,0,1,1.0,1.0,0.119360294117647
35.714521484685235,1,4,0,0,12,14,6,17,0,1,1.0,1.0,0.119360294117647
31.363394981681004,1,1,1,7,8,3,7,8,1,1,1.0,1.0,0.119360294117647
52.20901250039661,1,3,1,5,11,24,5,7,0,1,1.0,1.0,0.119360294117647
18.775022441173085,1,5,1,0,11,25,21,0,0,1,1.0,1.0,0.119360294117647
27.21942057088232,1,3,1,12,7,25,5,0,0,1,1.0,1.0,0.119360294117647
35.08540307645782,1,3,1,9,0,25,21,0,1,1,1.0,1.0,0.119360294117647
41.43432466262787,1,8,0,0,7,5,21,8,0,1,1.0,1.0,0.119360294117647
19.05127352603778,1,5,1,14,12,4,21,22,0,1,1.0,1.0,0.119360294117647
41.0915156241182,1,5,1,6,12,16,3,23,0,1,1.0,1.0,0.119360294117647
38.85550868012545,1,6,1,4,7,25,21,14,0,1,1.0,1.0,0.119360294117647
43.91650069255214,1,7,1,9,12,4,0,8,1,1,1.0,1.0,0.119360294117647
19.071057349332285,1,8,0,9,12,22,21,8,0,1,1.0,1.0,0.119360294117647
31.94283155523444,1,8,1,9,0,21,0,0,1,1,1.0,1.0,0.119360294117647
51.39248617947546,1,5,1,9,11,22,21,0,1,1,1.0,1.0,0.119360294117647
30.343990830192336,1,8,1,0,12,9,22,23,1,1,1.0,1.0,0.119360294117647
41.383916684360905,1,8,1,9,7,17,7,16,0,1,1.0,1.0,0.119360294117647
36.64883811967572,1,7,1,7,12,3,13,22,1,1,1.0,1.0,0.119360294117647
31.24511887661822,1,8,1,9,12,23,15,22,1,1,1.0,1.0,0.119360294117647
43.57637135052514,1,5,1,4,12,23,21,8,1,1,1.0,1.0,0.119360294117647
22.40801352181112,1,6,1,7,7,20,20,22,0,1,1.0,1.0,0.119360294117647
45.06942399865336,1,8,0,7,20,11,20,22,0,1,1.0,1.0,0.119360294117647
20.381302331549144,1,7,1,0,0,13,22,17,1,1,1.0,1.0,0.119360294117647
20.6719201599577,1,8,1,18,13,25,6,22,1,1,1.0,1.0,0.119360294117647
37.83309970904618,1,3,1,10,12,12,20,13,1,1,1.0,1.0,0.119360294117647
17.97607434610366,1,7,1,9,0,5,7,0,0,1,1.0,1.0,0.119360294117647
42.47174672724974,1,6,1,9,12,23,7,14,1,1,1.0,1.0,0.119360294117647
42.39350773774848,1,7,1,9,12,4,12,0,0,1,1.0,1.0,0.119360294117647
48.6754355629481,1,7,1,18,12,23,7,0,0,1,1.0,1.0,0.119360294117647
33.30082990869169,1,7,1,0,12,7,22,8,0,1,1.0,1.0,0.119360294117647
47.49610764596813,1,2,1,9,0,21,5,8,0,1,1.0,1.0,0.119360294117647
18.66292353677313,1,8,1,9,0,12,13,4,0,1,1.0,1.0,0.119360294117647
41.26934942542064,1,5,1,0,8,13,8,14,0,1,1.0,1.0,0.119360294117647
30.39183341286671,1,6,1,4,12,24,7,22,1,1,1.0,1.0,0.119360294117647
32.14554485357829,1,2,1,4,12,12,6,22,1,1,1.0,1.0,0.119360294117647
42.41215338202299,1,5,1,7,12,24,13,13,0,1,1.0,1.0,0.119360294117647
44.1488393413794,1,3,1,0,12,16,7,22,0,1,1.0,1.0,0.119360294117647
48.87338107416989,1,5,1,9,12,23,13,13,1,1,1.0,1.0,0.119360294117647
36.15351184576585,1,3,1,9,11,5,6,16,0,1,1.0,1.0,0.119360294117647
17.859823402709765,1,8,1,12,12,6,8,22,0,1,1.0,1.0,0.119360294117647
42.351993700874665,1,3,1,9,7,13,21,7,1,1,1.0,1.0,0.119360294117647
41.420884216217175,1,8,1,8,19,23,9,23,0,1,1.0,1.0,0.119360294117647
20.99121952116776,2,6,1,9,12,25,21,22,0,1,1.0,1.0,0.119360294117647
27.29886700656776,1,5,0,9,12,23,6,22,0,1,1.0,1.0,0.119360294117647
44.41227957513597,2,2,0,13,12,22,5,16,1,1,1.0,1.0,0.119360294117647
54.89573155144623,1,5,1,20,12,3,13,8,0,1,1.0,1.0,0.119360294117647
45.36358498160541,1,6,1,12,0,12,21,7,1,1,1.0,1.0,0.119360294117647
43.82205668905775,1,3,1,0,7,3,21,7,1,1,1.0,1.0,0.119360294117647
29.717138763553127,1,1,1,4,7,25,7,0,0,1,1.0,1.0,0.119360294117647
29.43188053166697,1,8,1,9,11,23,22,14,0,1,1.0,1.0,0.119360294117647
47.913854260430845,1,1,1,0,12,4,7,8,0,1,1.0,1.0,0.119360294117647
43.942899532269024,1,8,1,13,7,23,22,14,1,1,1.0,1.0,0.119360294117647
40.67754058688861,1,3,1,0,13,25,6,17,0,1,1.0,1.0,0.119360294117647
39.08267769572016,1,7,1,9,12,25,7,18,0,1,1.0,1.0,0.119360294117647
41.55261702260962,1,3,0,0,12,22,0,8,0,1,1.0,1.0,0.119360294117647
20.527313243461304,1,2,1,9,20,23,3,0,1,1,1.0,1.0,0.119360294117647
31.598257292491333,1,5,0,0,7,5,13,14,1,1,1.0,1.0,0.119360294117647
38.17881304029868,1,3,0,9,12,23,2,0,0,1,1.0,1.0,0.119360294117647
38.70784498241201,1,7,1,15,11,24,0,9,0,1,1.0,1.0,0.119360294117647
34.18234757909698,1,7,1,0,19,25,7,8,0,1,1.0,1.0,0.119360294117647
31.338502074321063,1,1,1,7,12,25,12,13,0,1,1.0,1.0,0.119360294117647
34.49942382734058,1,7,1,8,7,25,5,0,1,1,1.0,1.0,0.119360294117647
17.0,1,1,0,8,0,25,21,0,0,1,1.0,1.0,0.119360294117647
41.7002658825672,1,8,0,13,12,8,22,18,0,1,1.0,1.0,0.119360294117647
42.40822013823715,1,1,1,0,19,21,12,7,1,1,1.0,1.0,0.119360294117647
46.51255155280971,1,8,1,9,11,22,20,0,0,1,1.0,1.0,0.119360294117647
46.24347967695315,1,5,1,9,12,11,13,9,0,1,1.0,1.0,0.119360294117647
30.935237704834023,1,8,1,9,19,23,6,9,1,1,1.0,1.0,0.119360294117647
26.628566858042262,1,8,1,4,11,16,6,13,0,1,1.0,1.0,0.119360294117647
32.79853889992335,1,7,0,9,0,7,22,3,1,1,1.0,1.0,0.119360294117647
36.09969711070238,1,2,1,18,0,13,4,0,1,1,1.0,1.0,0.119360294117647
20.77782789648421,1,7,1,9,7,4,6,8,0,1,1.0,1.0,0.119360294117647
50.04681989574456,1,2,0,18,7,25,22,9,0,1,1.0,1.0,0.119360294117647
33.236225342198765,1,8,1,10,0,22,21,8,0,1,1.0,1.0,0.119360294117647
39.45518083191508,1,8,1,0,7,10,0,0,0,1,1.0,1.0,0.119360294117647
38.92757236307512,1,1,1,13,11,5,13,8,0,1,1.0,1.0,0.119360294117647
40.71129813011749,1,2,1,9,0,4,2,14,0,1,1.0,1.0,0.119360294117647
49.27707441473967,2,8,1,21,12,24,5,12,1,1,1.0,1.0,0.119360294117647
39.31492022308799,1,8,1,9,12,6,21,0,1,1,1.0,1.0,0.119360294117647
37.6633296179282,1,2,0,0,0,25,21,18,0,1,1.0,1.0,0.119360294117647
22.543797739722677,1,2,1,9,8,3,7,0,1,1,1.0,1.0,0.119360294117647
