fork,freemem,lread,freeswap,swrite,runqsz,sread,lwrite,target,scall,wchar,exec,rchar
0.2,579,0,1732672,13,1,12,0,97,197,11485,0.2,815
1.2,129,38,1021626,314,1,305,25,70,2538,778799,2.6,724260
0.2,613,1,1746560,43,2,42,0,92,268,5721,0.2,18237
0.2,130,0,1757261,81,2,127,0,81,2363,107566,0.2,638295
0.2,7385,1,1874944,24,1,12,1,99,194,11991,0.2,10678
0.2,131,0,1755281,177,2.4,218,0,83,3705,173263,0.2,205718
0.4,135,6,966686,214,1,327,6,87,2945,54753,0.4,262196
1.2,1332,4,1613035,184,5,169,2,87,2129,280690,2.6,220260
0.2,161,1,1058893,96,2,119,0,96,854,32284,0.2,3876
0.4,148,77,1102810,90,1.3,146,98,90,2220,52092,1.8,111903
0.4,410,1,1087997,65,2.4,89,0,93,1773,20733,0.4,15913
0.2,7240,13,1863624,15,1,14,19,97,200,4955,0.2,7018
0.2,7261,2,1867705,17,1.4,13,1,98,183,11003,0.2,8687
1,154,4,1053506,157,3,140,3,93,954,21906,1.2,7126
0.2,128,1,1013904,126,1,199,0,94,5670,50962,0.2,13572
0.2,95,3,5,116,165,122,2,0,1894,29548,0.2,5776
0.6,1201,6,1111232,112,1,121,2,92,2040,60507,0.6,38688
0.6,481,2,1754590,28,1.4,39,0,93,301,16470,0.6,48377
0.4,183,8,1005125,196,6,435,1,83,5398,51884,0.4,206075
0.2,129,23,1089048,71,2,76,34,95,839,54700,0.2,22834
0.6,1491,5,965857,142,2,253,1,91,1922,25394,0.8,13307
0.2,6459,1,1871616,11,1,11,1,98,141,2231,0.2,6995
0.6,159,36,1098501,94,1,117,49,92,1394,23048,2,39790
0.2,1346,2,1544528,99,2,94,1,93,2600,93986,0.2,10046
0.6,632,25,1520762,254,4.4,164,4,77,2308,180700,0.6,336637
0.2,8351,2,1865738,16,1.4,43,1,97,284,11296,0.2,261161
0.2,147,1,1716640,32,2.2,43,1,98,301,4785,0.2,20290
0.6,1090,6,1531406,135,2.8,184,0,90,2805,65116,0.6,33796
0.2,7547,0,1870227,21,1.6,19,0,98,234,9040,0.2,704
0.4,183,8,1005125,196,6,435,1,83,5398,51884,0.4,206075
0.2,7228,3,1847149,11,1,12,1,97,161,7448,0.2,3642
1.8,159,3,989493,187,3.2,256,1,80,3662,160015,3.79,360623
0.2,132,1,993843,183,1.5,286,0,87,2361,94948,0.2,154222
0.4,1527,2,1023142,325,1.3,296,0,88,2065,26175,0.6,109498
0.2,7198,0,1867335,17,1,19,0,98,199,10272,0.2,32998
1,143,1,1704136,86,3.6,173,0,94,956,30623,0.6,469212
1,133,4,1012739,126,2.2,172,2,84,3996,62502,1.6,28255
0.4,88,9,12,150,241,226,7,0,1635,39372,0.4,79725
0.2,7240,13,1863624,15,1,14,19,97,200,4955,0.2,7018
0.2,95,7,5,73,155,103,6,0,1844,26099,0.2,29186
0.2,6136,1,1856768,30,1,14,1,97,197,11710,0.2,6990
0.2,135,2,1057440,145,2,314,2,92,1411,26933,0.2,6590
0.2,835,5,1750304,81,2,80,1,90,2312,14521,0.2,5089
0.4,135,66,994904,216,1.5,353,86,82,6185,62770,0.4,232387
0.2,1086,10,1762445,69,1.6,191,4,89,1750,9137,0.2,95403
