Netpay,Tectonic regime,Basin name,Oil recovery factor,Gas recovery factor,Latitude,Permeability,Operator company,Longitude,Country,Region,Hydrocarbon type,Porosity,Structural setting,Reservoir status,Gross,Reservoir unit,Depth,Lithology,Condensate recovery factor,Period,Onshore/offshore,Field name,Oil density
57,4,63,0.353,0.42,56.65,1000,34,3.199,46,1,5,28,7,7,144,58,2798.8,1,0.27,8,0,376,844.776
15,0,115,0.26,0.73,52.238,120,155,143.219,36,9,5,14,3,2,45,316,1596.3,11,0.513,15,1,132,881.62
60,0,117,0.447,0.8,40.149,50,110,-110.119,48,6,5,15,3,6,90,256,3900,11,0.457,17,1,290,820.29
24.6,0,115,0.26,0.84,53.229,15,24,-115.802,8,6,2,10.333,2,5,30,232,2430,11,0.27,7,1,232,825.073
11.4,0,115,0.4,0.73,55.114,8.9,34,-114.432,8,6,5,11.8,2,5,36,83,2430,11,0.353,7,1,347,825.073
16.8,0,113,0.397,0.8,51.928,7,110,-114.54,8,6,2,10.467,9,6,30,385,2382,11,0.353,7,1,71,829.912
60,0,75,0.3,0.783,32.768,0.5,178,-103.36,48,6,5,8,2,6,105,290,1285,6,0.513,21,1,294,815.562
13.8,9,78,0.31,0.73,44.039,10,155,-105.279,48,6,5,13.333,2,6,75,84,2595,11,0.353,7,1,143,815.562
13.2,0,115,0.34,0.778,52.238,1000,34,51.738,36,3,5,28,2,5,33,15,1574.7,11,0.513,4,1,210,860.182
15.6,4,36,0.397,0.82,42.706,2000,128,-108.801,48,6,5,25,2,6,30,83,1305,11,0.513,7,1,65,946.488
13.8,0,115,0.28,0.777,55.114,7,110,-119.175,8,6,2,10,2,2,36,319,924,6,0.513,26,1,410,839.763
14.1,2,64,0.35,0.777,60.587,1000,166,2.913,30,1,5,27,6,2,15,108,1679.7,11,0.513,12,0,391,834.808
24.6,0,75,0.22,0.73,31.653,6,61,-103.426,48,6,5,10.5,2,2,90,118,2550,6,0.353,21,1,199,820.29
6.3,0,115,0.28,0.76,50.039,0.1,110,-110.802,8,6,2,3,2,2,90,296,390,6,0.513,7,1,371,779.614
9.9,0,115,0.47,0.83,55.15,63,34,-114.433,8,6,5,14,2,5,19.8,387,1710,11,0.513,7,1,241,834.808
45,2,64,0.27,0.717,61.204,10,155,1.743,46,1,5,20,6,6,138.9,58,2460,11,0.513,12,0,391,829.912
13.8,0,113,0.47,0.83,51.928,7,110,-114.54,8,6,5,9.667,2,2,24,345,2430,6,0.353,7,1,169,834.808
10.2,4,63,0.427,0.73,58.459,5000,22,0.262,46,1,5,30,6,2,11.4,15,2116.4,11,0.513,12,0,335,839.763
24.6,9,40,0.3,0.83,28.8,1000,69,33.1,13,0,5,28.5,11,7,69,255,1627.7,11,0.513,7,1,47,860.182
24.6,4,95,0.46,0.86,1.296,1000,30,101.23,18,2,5,32,4,2,63.9,21,66,11,0.513,15,1,110,933.993
6.9,0,89,0.46,0.783,61.583,120,166,75.183,36,3,5,13,3,2,24.6,372,2460,11,0.353,7,1,391,820.29
9.3,0,3,0.313,0.913,39.766,0.1,128,-101.514,48,6,2,6,2,6,36,335,2463,6,0.353,4,1,243,788.301
5.3,0,115,0.14,0.73,51.928,5,110,-114.54,8,6,5,10.5,2,5,29.4,318,2280,9,0.513,7,1,70,825.073
60,0,115,0.4,0.82,52.283,20,155,51.738,36,3,5,11,2,6,390,1,513,9,0.513,4,1,108,806.268
30,0,75,0.49,0.76,32.767,5,34,-103.62,48,6,5,9,2,2,105,290,1275,6,0.513,21,1,294,842.764
45,0,75,0.46,0.77,32.766,20,110,-103.532,48,6,5,10,2,5,75,290,825,6,0.513,21,1,275,852.41
36,2,63,0.27,0.71,56.262,30,155,2.143,46,1,5,18,6,2,39,185,2982,11,0.353,12,0,129,829.912
11.4,0,78,0.25,0.77,40.149,0.8,34,-108.833,48,6,2,13,2,2,75,20,3975,13,0.547,7,1,123,758.713
4.5,0,117,0.15,0.71,48.852,0.1,110,-101.175,48,6,5,8,3,2,12,133,982.5,6,0.513,4,1,296,829.912
