Administrative_Duration,Administrative,PageValues,Informational,Revenue,ExitRates,ProductRelated_Duration,ProductRelated,OperatingSystems,SpecialDay,TrafficType,Browser,Month,VisitorType,Region,Weekend,BounceRates,Informational_Duration
0,0,0,0,0,0.2,0,1,2,0,1,2,5,2,1,0,0.2,0
0,0,0,0,0,0.2,0,1,2,0,1,2,1,2,5,0,0.2,0
0,0,0,0,0,0.1,11,2,1,0,2,1,7,0,1,0,0,0
0,0,0,0,0,0.1,36,5,2,0,3,2,6,2,3,0,0.067,0
0,0,0,0,0,0.2,0,1,3,0,1,2,5,2,4,0,0.2,0
0,0,0,0,0,0.2,0,1,2,0,3,2,6,2,1,0,0.2,0
0,0,0,0,0,0.02,630.75,27,2,0,3,5,6,2,3,0,0.016,0
0,0,0,0,0,0.2,0,1,2,0,1,2,5,2,1,0,0.2,0
0,0,0,0,0,0.2,0,1,2,0,1,2,5,2,1,0,0.2,0
0,0,0,0,0,0.1,19,2,2,0,6,2,6,2,7,0,0,0
0,0,0,0,0,0.2,0,1,2,0,1,2,5,2,1,0,0.2,0
0,0,0,0,0,0.2,0,1,2,0,1,2,1,2,3,0,0.2,0
0,0,0,0,0,0.2,0,1,2,0,1,2,5,2,1,0,0.2,0
0,0,0,0,0,0.2,0,1,2,0,1,2,1,2,1,0,0.2,0
0,0,0,0,0,0.05,107,4,2,0,8,2,1,0,3,0,0,0
0,0,0,0,0,0.033,103.6,3,3,0,6,2,3,2,1,0,0,0
0,0,0,0,0,0.05,96,2,2,0,3,2,5,2,3,1,0,0
0,0,0,0,0,0.04,214.5,5,1,0,2,1,7,2,3,0,0,0
0,0,0,0,0,0.05,111.667,4,3,0,2,2,1,2,6,0,0,0
0,0,0,0,0,0.2,0,1,2,0,1,2,5,2,1,0,0.2,0
0,0,0,0,0,0.05,75.5,4,2,0,8,2,7,0,1,0,0,0
0,0,0,0,0,0.2,0,1,3,0,1,2,5,2,1,0,0.2,0
0,0,0,0,0,0.2,0,1,2,0,1,2,5,2,1,0,0.2,0
0,0,0,0,0,0.2,0,1,1,0,3,1,6,2,3,0,0.2,0
0,0,0,0,0,0.05,214,4,2,0,1,2,6,2,1,0,0,0
0,0,0,0,0,0.2,0,1,1,0,3,1,6,2,3,0,0.2,0
0,0,0,0,0,0.05,39.8,4,3,0,3,2,0,2,1,0,0,0
0,0,0,0,0,0.2,0,1,1,0,3,1,6,2,1,0,0.2,0
0,0,0,0,0,0.2,0,1,2,0,1,2,5,2,1,0,0.2,0
0,0,0,0,0,0.011,133.5,6,2,0,2,2,5,2,1,0,0,0
0,0,0,0,0,0.1,18,2,2,0,3,2,6,2,2,0,0,0
0,0,0,0,0,0.027,1266.5,15,2,0,2,2,5,2,1,0,0.013,0
0,0,0,0,0,0.067,19,3,2,0,3,2,6,2,1,0,0,0
0,0,0,0,0,0.025,125,8,2,0,1,5,1,2,1,0,0,0
0,0,0,0,0,0.2,0,1,1,0,1,1,5,2,1,0,0.2,0
0,0,0,0,0,0.2,0,1,1,0,3,1,6,2,3,0,0.2,0
0,0,0,0,0,0.133,13,3,3,0,3,2,6,2,1,0,0.067,0
0,0,0,0,0,0.2,0,1,2,0,3,2,5,2,1,0,0.2,0
0,0,0,0,0,0.2,0,1,2,0,1,4,5,2,1,0,0.2,0
0,0,0,0,0,0.1,17,2,2,0,6,2,7,0,1,0,0,0
0,0,0,0,0,0.2,0,1,3,0,1,2,5,2,1,0,0.2,0
0,0,0,0,0,0.2,0,1,3,0,13,2,6,2,9,0,0.2,0
0,0,0,0,0,0.033,1038,3,2,0,1,2,2,2,1,0,0,0
0,0,0,0,0,0.2,0,1,2,0,1,2,5,2,1,0,0.2,0
0,0,0,0,0,0.05,112.5,4,3,0,2,2,5,2,3,1,0,0
0,0,0,0,0,0.022,214.25,9,3,0,1,2,5,2,2,0,0,0
0,0,0,0,0,0.025,166.167,8,2,0,2,2,5,2,1,0,0,0
0,0,0,0,0,0.2,0,1,1,0,1,1,5,2,8,0,0.2,0
0,0,0,0,0,0.2,0,1,2,0,3,2,5,2,1,0,0.2,0
0,0,0,0,0,0.2,0,1,2,0,1,2,1,2,1,1,0.2,0
0,0,0,0,0,0.2,0,1,2,0,1,2,5,2,1,0,0.2,0
0,0,0,0,0,0.2,0,1,1,0,2,1,1,2,1,0,0.2,0
0,0,0,0,0,0.2,0,1,1,0,3,1,6,2,3,0,0.2,0
0,0,0,0,0,0.2,0,1,3,0,2,2,1,2,1,0,0.2,0
0,0,0,0,0,0.067,69,3,1,0,10,1,5,2,1,0,0,0
0,0,0,0,0,0.1,17,2,1,0,2,1,1,2,3,1,0,0
0,0,0,0,0,0.2,0,1,3,0,2,2,1,2,1,0,0.2,0
0,0,0,0,0,0.1,10,2,1,0,2,1,1,0,1,1,0,0
0,0,0,0,0,0.05,107,4,2,0,1,2,6,2,1,0,0,0
0,0,0,0,0,0.2,0,1,2,0,1,2,7,2,1,0,0.2,0
0,0,0,0,0,0.04,107.5,5,3,0,1,2,5,2,1,0,0,0
0,0,0,0,0,0.2,0,1,3,0,1,2,1,2,3,0,0.2,0
0,0,0,0,0,0.2,0,1,2,0,3,2,6,2,3,0,0.2,0
0,0,0,0,0,0.2,0,1,2,0,1,2,1,2,1,0,0.2,0
0,0,0,0,0,0.2,0,1,2,0,3,2,5,2,1,0,0.2,0
0,0,0,0,0,0.2,0,1,3,0,1,2,5,2,3,0,0.2,0
0,0,0,0,0,0.067,116.5,6,2,0,3,2,5,2,3,0,0,0
0,0,0,0,0,0.02,106.833,10,2,0,2,2,5,2,1,0,0,0
0,0,0,0,0,0.067,54.4,3,1,0,4,1,4,2,3,0,0,0
0,0,0,0,0,0.2,0,1,2,0,1,4,5,2,1,0,0.2,0
0,0,0,0,0,0.05,30,2,3,0,2,2,6,2,1,0,0,0
0,0,0,0,0,0.2,0,1,2,0,3,4,5,2,3,0,0.2,0
0,0,0,0,0,0.05,110.5,9,2,0,3,2,6,2,1,0,0,0
0,0,0,0,0,0.2,0,1,2,0,1,2,7,2,1,0,0.2,0
0,0,0,0,0,0.1,35,2,1,0,3,1,2,2,1,0,0,0
0,0,0,0,0,0.1,19,2,2,0,1,2,5,2,1,0,0,0
0,0,0,0,0,0.067,63,3,1,0,3,1,6,2,6,0,0,0
0,0,0,0,0,0.1,27,3,2,0,6,2,6,2,1,0,0.067,0
0,0,0,0,0,0.067,62,3,2,0,1,2,5,2,3,0,0,0
0,0,0,0,0,0.067,50.4,3,2,0,1,2,3,2,6,0,0,0
0,0,0,0,0,0.2,0,1,1,0,1,1,5,2,1,0,0.2,0
0,0,0,0,0,0.2,0,1,2,0,1,2,1,2,7,0,0.2,0
0,0,0,0,0,0.2,0,1,2,0,3,2,5,2,1,0,0.2,0
0,0,0,0,0,0.022,131,9,2,0.2,1,2,6,2,5,0,0,0
0,0,0,0,0,0.2,0,1,3,0,1,2,5,2,1,0,0.2,0
0,0,0,0,0,0.05,70.5,2,3,0,10,2,5,2,1,0,0,0
0,0,0,0,0,0.05,135.25,8,2,0,3,2,7,2,1,0,0,0
0,0,0,0,0,0.1,17,2,2,0,2,2,1,2,1,0,0,0
0,0,0,0,0,0.022,332.25,9,2,0,2,2,1,0,1,0,0,0
0,0,0,0,0,0.2,0,1,1,0,1,1,5,2,8,0,0.2,0
0,0,0,0,0,0.2,0,1,2,0,13,2,7,2,1,0,0.2,0
0,0,0,0,0,0.067,116.5,6,2,0,3,2,5,2,1,1,0,0
0,0,0,0,0,0.2,0,1,2,0,1,4,5,2,1,0,0.2,0
0,0,0,0,0,0.067,60.4,3,1,0,5,1,9,2,1,0,0,0
0,0,0,0,0,0.2,0,1,1,0,3,1,6,2,3,0,0.2,0
0,0,0,0,0,0.2,0,1,2,0,1,2,1,2,1,1,0.2,0
