input12,input9,input14,input13,input11,input5,input8,input15,input7,input16,input1,input2,target,input4,input6,input10,input3
18,48,42,46,27,89,43,100,70,49,0,87,7,100,86,0,48
0,0,22,70,31,43,74,78,7,61,100,47,0,86,100,28,85
4,49,36,31,0,32,39,100,41,52,95,68,8,100,78,0,81
31,47,65,46,12,17,28,100,57,93,49,99,7,100,61,0,0
54,88,28,46,67,69,100,33,100,0,0,37,1,55,77,80,37
0,41,2,45,0,53,53,100,52,5,23,60,1,98,100,9,50
46,100,24,46,86,0,56,25,40,0,62,100,4,92,71,49,33
0,39,8,34,0,100,47,94,75,7,49,73,2,100,83,18,71
21,49,0,53,100,73,73,0,30,15,30,100,5,93,97,49,93
0,0,20,88,41,42,53,20,11,28,100,88,6,100,78,22,87
19,100,0,51,97,66,100,0,66,11,63,96,9,90,73,64,23
0,0,17,51,20,43,51,12,18,23,100,100,6,96,76,23,71
0,25,25,95,100,5,27,22,0,25,81,100,6,79,54,0,31
17,0,10,61,23,54,18,100,35,9,36,65,2,100,57,0,54
21,100,0,43,83,61,77,0,77,7,79,80,9,100,75,63,64
15,100,0,47,96,66,100,0,66,19,63,91,9,91,72,58,29
0,0,3,54,9,62,35,100,36,1,28,64,2,100,72,1,44
19,100,0,50,92,44,77,0,92,5,80,80,9,100,74,56,54
54,100,27,83,88,64,100,83,99,0,0,39,1,57,79,81,31
0,14,15,73,0,100,100,44,48,66,54,90,8,65,77,49,22
25,65,0,57,100,72,53,0,33,2,6,82,3,100,79,47,52
68,100,34,48,54,0,38,48,54,0,38,100,4,70,41,43,3
22,0,4,62,27,58,8,100,35,0,47,89,2,100,47,12,62
11,100,0,41,82,85,60,0,72,1,34,87,3,100,83,38,65
5,0,1,58,11,58,48,100,31,0,13,86,2,100,75,24,47
0,0,25,48,36,44,43,2,15,31,100,100,6,97,72,12,76
31,100,1,62,100,45,78,0,98,0,95,89,9,100,67,67,62
49,100,23,72,82,0,41,65,62,0,26,100,4,77,53,57,2
21,55,0,54,97,100,66,0,60,5,20,86,3,100,89,42,60
0,41,4,34,0,40,62,100,40,5,20,65,1,98,100,24,28
0,43,4,35,0,43,59,100,43,5,19,67,1,100,99,19,40
46,100,23,33,62,26,86,0,78,0,78,90,9,90,67,71,35
21,50,34,55,100,0,20,11,0,7,73,100,6,89,57,0,31
0,40,4,29,0,40,62,100,40,5,22,66,1,100,100,25,32
0,0,1,64,28,50,39,100,29,2,0,88,2,100,71,13,32
0,36,5,62,24,50,66,100,44,8,0,55,1,81,100,32,31
49,86,24,51,68,68,100,37,100,0,0,43,1,57,79,75,34
0,0,17,85,50,42,42,13,13,24,100,100,6,92,68,13,79
18,53,1,58,100,79,61,8,42,0,0,88,3,100,84,37,41
31,46,65,66,0,27,33,100,82,94,86,86,8,100,69,0,69
0,0,2,63,25,49,36,100,29,17,13,77,2,100,70,8,39
0,0,23,60,38,26,44,18,2,37,100,100,6,96,71,15,62
15,100,0,33,80,72,58,0,67,19,29,87,3,100,71,44,68
1,0,0,68,34,38,36,100,17,4,16,80,2,100,67,13,34
0,0,1,60,21,56,39,100,30,0,25,100,2,99,67,15,56
24,0,18,53,5,87,17,100,47,0,48,100,2,92,48,4,89
16,32,40,47,17,78,36,100,61,42,0,86,7,100,73,0,45
5,20,28,52,70,21,27,0,1,22,100,100,6,82,56,0,55
0,0,20,70,44,22,37,24,1,22,100,100,6,85,62,9,53
12,87,0,41,82,100,60,0,71,1,64,92,3,100,79,36,95
0,0,1,64,28,48,33,100,29,0,18,100,2,96,60,12,46
0,54,4,12,0,85,63,100,69,3,32,55,1,85,100,26,71
