beds,zip_code,baths,lot_size,size,price,lot_size_units,size_units
2,98122,2.5,1131,1550,1051500,1,0
3,98117,2.5,1124,1060,765000,1,0
3,98103,2.5,1102,1430,855000,1,0
3,98125,1.5,6215,1880,749000,1,0
3,98105,2,3400,1860,1165000,1,0
2,98118,1,3300,940,550000,1,0
4,98105,3,8037,3610,2330000,1,0
2,98115,2,6120,850,889900,1,0
2,98103,2,3090,1620,835000,1,0
4,98118,2.5,7000,3680,1880000,1,0
3,98117,2,8640,1600,877500,1,0
3,98117,2,6397,2020,840000,1,0
2,98115,2,2.63,877,415000,0,0
3,98117,2,1,1455,959822,0,0
4,98126,2,4560,1440,760000,1,0
3,98103,2,1471,1799,940000,1,0
3,98103,2.5,1873,1420,890000,1,0
4,98126,2.5,6120,1620,849950,1,0
4,98115,2,5460,2510,1025000,1,0
3,98144,3.5,1659,1980,1055000,1,0
4,98117,2,5600,1820,760000,1,0
4,98115,3,4635,2380,1399999,1,0
2,98144,1,2226,980,598000,1,0
3,98136,2.5,1143,1760,850000,1,0
4,98118,2,4242,1720,705000,1,0
2,98103,2.5,1332,1160,850000,1,0
3,98136,2,870,1286,738000,1,0
2,98144,1,2295,1980,699950,1,0
4,98115,3,5616,2740,1220000,1,0
3,98115,3.5,5219,2996,2050000,1,0
3,98199,2,5350,2950,1500000,1,0
4,98105,2,5500,2425,1295000,1,0
2,98144,1,2295,1980,699950,1,0
4,98115,2,8360,2910,1400000,1,0
3,98118,2,6500,2437,1275000,1,0
2,98103,1,6180,830,942000,1,0
2,98125,1,8795,680,625000,1,0
3,98103,2,1374,1210,875000,1,0
2,98117,2,4590,1350,960000,1,0
4,98117,3,5100,2660,1360000,1,0
3,98117,1,4080,1380,890000,1,0
3,98136,3.5,8500,2650,1095000,1,0
2,98122,2,5250,1094,675000,1,0
3,98107,2,4648,1611,915000,1,0
4,98144,2,4700,2900,1275000,1,0
2,98103,2,1650,1110,689000,1,0
2,98144,2,588,1170,624999,1,0
2,98117,2,583,1240,710000,1,0
4,98125,1.5,6511,2140,700500,1,0
3,98122,3.5,1770,1936,1295000,1,0
4,98115,2,8360,2910,1400000,1,0
4,98103,2,4800,2570,1495000,1,0
3,98103,2,1350,1758,1130000,1,0
2,98105,2,7200,1510,915000,1,0
4,98125,2,8001,1700,891000,1,0
4,98106,3,3254,3020,1499000,1,0
4,98116,2,4982,1630,942000,1,0
3,98126,2,5280,2060,756110,1,0
3,98122,3.5,1099,1820,1125000,1,0
3,98117,2,4000,1520,760000,1,0
2,98115,1,1.83,1027,300000,0,0
2,98122,2,1247,1200,705000,1,0
3,98115,1.5,6270,2220,930000,1,0
4,98103,3.5,3062,2640,1750000,1,0
4,98118,2,0.41,1920,1210000,0,0
4,98117,2,5000,1780,1181500,1,0
4,98115,3,6960,3030,1119000,1,0
3,98115,1.5,6615,1630,895000,1,0
4,98103,3.5,3751,2970,2080000,1,0
4,98117,2,3250,1710,1170000,1,0
3,98144,3,850,1190,765000,1,0
2,98115,1,5569,770,640000,1,0
4,98118,2,9660,1710,685000,1,0
3,98115,3.5,1785,2106,1266000,1,0
3,98118,2.5,4.05,1820,690000,0,0
2,98199,2,1101,1332,845000,1,0
3,98115,2,9.2,2029,685000,0,0
2,98103,1,3060,780,750000,1,0
4,98106,2,5043,2240,750000,1,0
3,98126,2.5,3.97,1681,650000,0,0
4,98122,2,2168,2440,1060000,1,0
3,98144,2,4000,2040,695000,1,0
4,98117,2,5600,1820,760000,1,0
2,98107,2,1232,1420,690000,1,0
3,98199,2,5000,1680,1087500,1,0
2,98144,1,3072,760,250000,1,0
3,98144,2.5,1040,1604,760000,1,0
2,98107,2.5,5500,1088,835000,1,0
2,98144,2,588,1170,624999,1,0
4,98115,2,5243,2660,1357000,1,0
2,98106,1,4500,670,490000,1,0
4,98199,2,6000,3325,1650000,1,0
3,98118,2,3220,1700,999999,1,0
3,98125,1,0.25,2180,720000,0,0
4,98144,3.5,5016,3070,1900000,1,0
4,98122,2.5,4500,2630,1340000,1,0
2,98105,2.5,900,1538,895000,1,0
2,98103,2,0.24,993,709600,0,0
2,98103,1.5,1,950,1270000,0,0
4,98118,2,5350,1900,670000,1,0
