proline,color_intensity,ash,alcalinity_of_ash,hue,alcohol,od280/od315_of_diluted_wines,nonflavanoid_phenols,proanthocyanins,magnesium,total_phenols,flavanoids,target,malic_acid
428,2.9,2.23,21.5,0.86,12.42,3.47,0.26,1.95,86,2.62,2.65,1,2.4
520,5.7,2.30,19,0.60,12.60,1.58,0.63,0.80,86,1.38,0.50,2,3.50
830,5.4,2.28,18,0.89,13.39,2.82,0.29,1.54,101,2.2,2.43,0,1.81
450,5.75,2.01,17.5,0.74,12.7,1.29,0.17,0.8,88,1.74,1.15,2,1.01
1095,4.6,2.65,19.5,1.05,13.58,3.5,0.21,1.74,98,2.25,2.53,0,1.8
1045,4.2,2.17,16.8,1.07,13.16,2.93,0.29,1.74,97,2.8,2.98,0,1.66
1280,5.65,2.67,18.6,1.03,14.37,2.77,0.25,1.87,102,2.8,3.14,0,1.93
1285,4.8,2.5,17.2,1.12,13.71,3.36,0.17,2.29,93,2.6,2.59,0,1.66
520,2.9,2.23,20,1.42,12.08,3.19,0.43,2.08,84,2.4,2.64,1,1.51
625,3.25,2.42,21,0.74,12.21,2.31,0.53,1.35,88,1.79,1.69,1,2.05
660,10.8,2.1,18.5,0.57,13.16,1.33,0.34,1.3,96,1.4,1.36,2,1.72
660,5.58,2.35,16.5,0.89,13.67,2.46,0.32,0.86,103,2.4,2.19,0,1.61
520,4.35,2.72,24,0.74,12.37,1.6,0.56,1.03,96,1.39,1.5,2,1.81
830,5.4,2.28,18,0.8,13.45,3.56,0.17,1.35,98,2.6,2.9,0,1.63
1285,4.8,2.14,16.8,1.17,13.27,3.2,0.3,2.03,94,2.5,2.52,0,1.53
1060,5.85,2.25,16.4,1.07,13.74,3.2,0.21,1.62,101,2.6,2.9,0,1.57
1060,5.85,2.25,16.4,1.03,14.1,3.2,0.21,2.38,98,2.5,2.52,0,1.67
680,2.65,2.7,25,1.25,12.08,2.27,0.52,1.35,89,1.45,1.36,1,1.52
830,5.4,2.35,19,0.89,13.49,2.78,0.27,1.56,103,2.65,2.33,0,1.67
630,9.4,2.86,24.5,0.61,13.68,1.75,0.52,1.03,108,1.79,0.56,2,3.83
1095,4.2,2.65,20.5,1.05,13.51,2.87,0.29,1.54,102,2.35,2.53,0,1.8
480,2.4,2.32,19,1.08,12.08,2.27,0.52,1.64,85,1.6,1.5,1,1.83
450,3.4,2.42,18,1.05,12.67,3.1,0.21,2.08,88,2.32,2.21,1,1.25
780,5.65,2.28,18.5,0.78,13.17,2.31,0.35,1.35,98,2.65,2.76,0,1.27
520,2.6,2.62,22.5,1.36,12.37,2.31,0.53,1.34,88,1.6,1.5,1,1.83
630,10.6,2.86,25.6,0.7,13.4,1.92,0.27,1.11,116,1.98,0.96,2,3.84
695,5.68,2.3,18,0.88,12.96,1.75,0.4,0.94,96,1.79,0.56,2,2.76
660,10.8,2.1,18.5,0.57,12.77,1.63,0.48,0.64,88,1.39,0.51,2,1.29
1280,5.65,2.67,16.8,1.09,14.39,2.87,0.19,1.97,108,2.4,2.79,0,1.73
1285,4.7,2.5,17.2,1.12,13.16,2.93,0.39,2.28,92,2.5,2.52,0,1.48
780,5.65,2.28,17.5,0.73,13.17,2.38,0.32,1.42,113,2.5,2.27,0,1.83
1280,5.4,2.72,22.5,1.07,14.2,2.65,0.33,1.97,98,2.8,3.14,0,1.81
520,2.9,2.5,19.5,0.93,12.47,3.17,0.22,1.56,86,2.2,2.43,1,1.63
660,9.6,2.1,19.5,0.76,13.78,1.68,0.63,1.35,98,1.55,0.66,2,3.24
495,2.45,2.31,20,1.33,12.69,2.23,0.45,1.03,87,1.89,1.75,1,1.61
450,2.62,2.24,18,1.23,12.67,3.17,0.22,1.63,88,2.5,2.52,1,1.63
1285,4.6,2.7,20,1.24,13.76,2.93,0.39,1.35,95,2.8,2.69,0,1.9
830,5.3,2.28,16,0.89,13.69,2.82,0.39,1.54,112,2.8,3.04,0,1.81
510,3.4,2.12,19,0.6,12.29,2.03,0.5,0.62,80,1.43,1.25,1,3.03
1260,5.6,2.2,16.8,1.15,13.74,3.38,0.26,1.97,98,2.5,2.52,0,1.67
500,7.1,2.69,21,0.59,12.86,1.29,0.17,0.94,113,1.51,1.25,2,3.55
1065,4.38,2.67,17.5,1.12,13.16,2.93,0.29,1.5,92,2.2,2.43,0,1.81
695,7.1,2.2,18.5,0.61,12.6,1.58,0.63,1.04,89,1.62,0.68,2,3.1
560,9.2,2.74,25.5,0.64,13.48,1.75,0.52,1.35,94,1.39,0.58,2,4.6
1275,5.3,2.7,22,1.25,13.51,3.26,0.32,1.83,112,3.88,3.74,0,1.6
520,5.5,2.32,18,0.6,12.6,1.58,0.5,1.1,86,1.62,0.55,2,3.03
680,4.36,2.29,17,0.73,13.24,2.07,0.5,0.55,96,1.6,0.5,2,5.51
630,8.6,2.86,24,0.59,13.58,1.75,0.52,1.15,111,1.28,0.58,2,3.9
1260,8.7,2.43,16.5,1.13,14.1,2.75,0.32,1.97,108,3.27,3.39,0,1.73
510,3.4,2.12,18,1.28,12.29,3.17,0.37,2.28,85,2.53,2.61,1,1.24
1285,3.95,2.14,17.2,1.02,13.39,3.22,0.34,1.87,90,2.68,2.93,0,1.35
750,3.4,2.12,18.5,1.04,12.08,2.27,0.52,1.64,85,1.6,1.5,1,1.83
