duration,age,purpose,property_magnitude,foreign_worker,existing_credits,residence_since,own_telephone,other_payment_plans,checking_status,housing,employment,job,target,personal_status,credit_history,num_dependents,savings_status,other_parties,installment_commitment,credit_amount
12,23,4,0,1,1,2,0,1,1,1,2,1,1,2,3,1,4,2,4,1200
24,26,9,1,1,1,4,1,1,3,2,4,0,1,0,3,1,4,2,2,5433
12,23,6,3,1,1,1,0,1,2,2,1,1,0,2,3,1,1,2,1,1534
12,26,0,3,1,1,1,1,1,0,1,1,1,1,1,3,1,1,2,4,609
24,39,5,0,1,1,3,1,2,1,1,3,0,0,3,3,2,1,2,2,4813
12,23,6,3,1,2,4,0,1,2,1,1,1,1,3,3,1,1,1,3,1297
18,31,3,1,1,1,2,0,1,1,1,2,1,1,3,3,1,1,2,2,2775
12,39,4,3,0,2,2,0,1,1,2,2,3,1,3,1,2,1,2,3,2122
12,30,9,0,1,1,2,0,1,2,1,2,1,1,3,3,1,4,2,4,2028
6,34,3,3,1,1,2,0,1,3,1,2,3,1,3,3,2,1,2,2,2104
12,35,6,3,1,2,2,0,1,0,1,2,3,1,3,1,1,1,2,4,3447
36,30,9,1,1,1,2,0,1,1,1,2,1,1,3,3,1,1,2,2,8133
12,23,6,0,1,1,1,0,0,1,1,2,1,1,0,3,1,1,2,4,1498
6,45,4,2,1,2,3,1,1,3,1,3,0,1,3,1,2,1,2,1,6761
18,30,4,0,1,1,2,0,1,1,1,2,1,1,2,3,1,1,2,4,1820
6,48,4,2,1,2,4,1,1,0,0,0,3,1,3,1,2,1,2,4,362
12,39,0,0,1,2,2,1,2,3,1,2,1,1,3,2,1,1,2,4,2021
12,26,6,3,1,1,1,0,1,2,1,3,1,1,0,3,1,1,2,4,625
15,43,3,1,1,1,4,0,1,3,1,0,1,1,3,3,1,4,2,4,1520
12,31,3,1,1,1,4,0,1,3,1,0,1,1,3,3,2,1,2,2,931
6,26,6,3,0,1,1,0,1,3,1,2,1,1,2,3,1,1,2,3,590
18,35,3,1,1,1,2,1,1,2,1,1,3,1,3,3,1,1,2,2,3832
18,32,6,0,1,1,2,0,1,3,1,0,1,1,3,3,1,1,2,3,2278
36,28,9,0,1,1,2,1,1,3,1,2,0,1,3,1,1,4,2,3,9629
24,20,3,2,1,2,4,0,1,0,2,0,1,1,3,1,1,4,0,4,3617
24,27,0,0,1,1,4,1,1,2,2,1,1,0,3,3,1,1,2,4,1535
12,23,7,3,1,2,4,0,1,3,1,3,1,1,0,1,1,4,2,4,996
12,22,6,0,1,1,1,1,1,2,1,2,1,1,0,3,1,1,2,1,1557
18,35,3,1,1,1,2,1,1,2,1,1,3,1,3,3,1,1,2,2,3976
24,32,3,2,1,1,4,1,1,1,0,2,1,0,3,0,2,1,2,4,3062
24,36,4,0,1,1,4,1,1,3,1,0,0,1,3,3,1,4,2,4,2022
36,29,4,2,1,1,2,1,1,2,1,4,0,0,3,2,1,1,2,4,9629
24,35,6,0,1,1,2,1,1,3,1,0,1,1,3,3,1,4,2,4,1965
24,25,3,0,1,1,4,0,0,1,2,1,3,0,0,3,1,4,2,4,1382
18,25,6,3,1,1,3,0,1,2,2,1,1,1,2,3,1,3,2,1,3213
24,26,0,3,1,2,1,1,1,0,1,3,1,1,3,1,1,2,2,4,1382
12,22,6,0,1,1,1,0,2,2,1,1,1,0,3,3,1,1,2,2,1331
24,25,6,0,1,2,2,0,1,3,1,0,1,1,3,3,1,4,2,4,999
24,25,3,0,1,2,4,0,1,1,2,0,1,0,0,4,1,1,2,4,1354
24,23,6,0,1,1,4,0,1,2,1,3,1,1,0,3,1,1,2,3,1936
24,23,6,0,1,1,4,0,1,2,1,3,1,1,0,3,1,1,2,3,1823
48,60,9,2,1,1,4,1,0,1,0,0,1,1,3,1,1,1,2,1,9158
36,37,4,0,1,2,4,1,1,3,1,3,1,1,3,1,1,1,2,4,3535
24,26,9,1,1,1,4,1,1,3,2,4,0,1,0,3,1,4,2,2,5433
24,25,3,3,1,1,4,0,1,1,1,2,1,1,3,3,1,1,2,4,1884
48,25,6,0,1,2,4,0,1,1,1,2,1,0,3,4,1,1,2,2,11816
24,23,6,0,1,1,2,0,1,2,1,2,1,0,2,3,1,1,2,3,1553
36,37,4,0,1,2,4,1,1,3,1,3,1,1,3,1,1,1,2,4,3535
24,22,3,3,1,1,4,1,2,1,1,2,1,1,3,0,1,3,2,4,2483
36,45,6,3,1,1,4,1,1,3,1,0,3,1,0,3,1,4,2,2,3835
18,35,3,0,1,1,2,1,1,1,1,2,1,1,3,3,1,1,2,3,3939
12,25,6,0,1,1,2,0,1,3,1,2,1,1,3,3,1,1,2,3,1262
12,29,4,1,1,1,4,1,1,1,1,2,1,1,0,3,1,1,1,4,1893
24,27,6,0,1,2,2,0,1,3,1,0,1,1,3,3,1,4,2,4,1553
24,30,6,0,1,1,2,1,1,0,1,2,1,1,3,3,1,1,2,4,1552
24,35,3,0,1,1,4,1,1,2,1,3,1,1,0,1,1,1,2,3,3976
24,27,0,1,1,2,3,1,1,3,1,2,3,1,3,1,1,2,2,2,4139
15,33,2,0,1,2,2,0,1,2,1,2,1,0,3,2,1,4,2,4,1360
12,30,6,3,1,2,2,0,0,3,1,2,1,1,3,3,1,1,2,4,707
24,32,4,2,1,1,4,0,1,1,2,3,1,0,0,3,1,4,2,4,1285
18,32,6,2,1,2,3,0,1,2,1,0,1,1,3,1,1,4,2,1,4675
24,26,9,1,1,1,4,1,1,3,2,4,0,1,0,3,1,4,2,2,5433
6,48,4,3,0,2,4,0,1,0,1,1,3,1,3,1,2,1,2,1,1343
6,39,4,3,1,2,4,1,1,1,1,3,3,1,0,1,1,0,2,3,666
48,38,9,0,1,2,3,1,1,3,1,0,1,1,3,1,2,4,2,4,2751
12,26,4,3,1,1,1,0,1,0,1,1,1,1,3,3,1,1,2,4,1330
18,32,6,1,1,1,3,1,1,3,1,1,3,1,3,3,1,1,2,4,629
18,26,6,3,1,1,1,0,1,3,1,1,1,1,0,3,1,1,2,3,1453
18,38,9,2,1,2,4,1,0,3,1,4,0,1,3,1,1,1,2,2,9778
18,32,6,3,1,2,2,0,1,3,1,2,1,1,2,1,1,1,1,4,1301
12,38,4,3,1,2,4,1,1,3,1,0,1,1,3,1,1,1,2,4,1092
18,28,0,3,1,2,4,0,0,2,1,2,1,1,2,1,1,4,2,4,1887
12,27,6,0,1,1,1,0,2,3,1,2,1,1,0,3,1,2,2,4,1995
12,22,6,0,1,1,1,1,1,2,1,2,1,1,0,3,1,1,2,1,1557
12,39,4,0,1,1,3,1,1,3,1,3,1,1,3,3,1,4,2,2,3860
12,33,4,3,1,1,1,0,1,1,1,1,3,0,3,3,2,1,2,4,2579
24,23,6,2,1,1,4,0,1,2,2,4,2,1,0,3,1,3,2,1,3758
24,22,3,3,1,1,4,1,2,1,1,2,1,1,3,0,1,3,2,4,2828
12,29,3,0,1,1,4,0,1,3,2,2,3,0,0,3,1,3,2,4,1123
12,20,6,3,1,1,2,1,1,1,2,2,0,1,3,3,2,1,2,2,1107
12,24,3,3,1,1,2,0,1,3,2,2,3,1,2,3,1,1,2,3,1768
18,43,3,3,1,1,4,1,1,3,1,2,1,1,3,3,1,1,2,3,2622
24,31,3,2,1,1,4,1,1,1,0,4,0,1,3,3,2,1,2,3,6459
18,31,3,1,1,1,2,0,1,1,1,2,1,1,3,3,1,1,2,2,2526
12,38,4,3,1,2,4,1,1,3,1,0,1,1,3,1,1,1,2,4,1282
12,31,6,0,1,2,2,1,1,3,2,3,0,1,3,3,2,1,2,4,1963
24,20,3,0,1,1,4,0,1,1,1,2,1,0,2,3,1,4,2,2,2996
12,37,3,3,1,2,4,1,1,3,1,2,1,1,3,1,1,1,2,4,2122
18,40,3,0,1,1,2,0,1,1,1,2,1,1,2,3,1,1,2,3,2601
12,27,6,3,0,1,1,0,1,2,1,3,1,1,0,3,1,3,2,3,2930
15,37,6,0,1,1,3,0,1,2,1,0,1,0,3,3,2,1,2,4,802
24,25,3,0,1,1,4,0,0,1,1,2,1,0,3,3,1,1,2,4,3105
24,24,3,1,0,1,1,0,1,1,1,1,3,1,3,3,1,1,0,4,1747
12,26,4,1,1,1,1,0,1,2,1,1,1,1,0,3,1,1,2,4,2211
12,25,6,3,1,1,1,0,1,2,1,2,3,1,0,3,1,1,2,4,625
24,27,4,1,1,2,4,1,1,3,1,3,1,1,0,1,1,1,2,4,1231
6,39,4,2,1,2,4,1,1,1,1,0,1,1,0,1,1,1,2,1,860
24,30,3,2,1,1,4,0,1,2,0,0,1,1,3,3,1,2,2,4,3069
15,25,4,1,1,1,3,0,1,1,2,2,1,1,0,3,1,1,2,4,1434
24,25,4,3,1,1,4,0,1,1,2,2,1,0,0,3,1,4,2,4,1371
12,29,6,2,1,1,1,0,1,1,0,2,1,0,1,0,1,1,2,4,2149
6,41,6,1,1,1,1,0,2,3,1,3,1,1,3,3,2,1,2,4,368
12,38,4,3,1,2,4,1,1,3,1,0,1,1,3,1,1,1,2,4,1495
36,28,9,0,1,1,4,1,1,2,2,1,0,0,2,3,1,1,2,1,9398
24,27,0,3,1,2,2,1,1,3,1,2,0,1,3,2,1,2,2,2,1933
12,27,0,3,1,2,2,0,1,3,1,2,1,1,0,1,1,1,2,3,1185
24,38,9,0,1,1,3,1,1,3,1,3,0,1,3,3,1,1,2,3,7814
12,26,6,0,1,1,1,0,1,0,1,1,1,1,3,3,1,1,2,2,2259
36,25,6,0,1,1,4,0,1,3,1,2,1,1,0,3,1,4,2,4,2394
18,32,6,0,1,1,2,1,1,3,1,1,1,1,3,3,1,1,2,2,4530
12,29,4,3,1,1,2,0,1,2,1,2,3,0,3,0,1,4,2,4,1123
18,29,6,3,1,1,1,0,1,3,1,1,1,1,0,3,1,1,2,4,2058
15,22,3,0,1,1,2,1,1,1,2,2,0,1,3,3,1,1,2,2,1803
12,22,6,0,1,1,1,1,1,2,1,2,1,1,0,3,1,1,2,1,1567
24,25,4,3,1,1,4,0,1,1,2,2,1,0,0,3,1,4,2,4,1371
6,39,6,2,1,1,4,1,0,1,0,0,0,0,3,3,1,4,2,2,1366
15,34,6,0,1,1,2,0,1,3,1,0,1,1,3,1,1,0,2,4,1829
12,32,3,3,1,2,2,0,1,3,1,2,1,1,0,1,1,0,2,3,1738
24,38,9,0,1,1,4,1,1,3,1,0,0,1,3,3,2,4,2,3,5954
12,22,1,1,1,1,3,0,1,1,1,4,1,0,0,3,1,2,2,4,741
12,24,3,3,1,1,2,0,1,3,2,2,3,1,2,3,1,1,2,3,1768
48,37,0,3,1,2,1,1,1,0,1,2,1,1,0,1,1,0,2,2,5096
12,27,0,3,1,2,2,0,1,3,1,2,1,1,0,1,1,1,2,3,1185
24,30,9,2,1,1,4,1,0,2,0,0,1,1,3,3,1,1,2,4,6579
12,22,6,0,1,1,1,1,1,2,1,2,1,1,0,3,1,1,2,1,1557
48,36,0,3,1,1,2,0,0,3,1,2,1,0,1,3,1,4,2,4,3914
15,27,0,1,1,2,3,0,1,2,1,2,1,0,3,4,1,1,2,2,2326
6,22,7,3,1,1,4,0,1,3,2,3,3,1,2,3,1,3,2,2,660
12,29,6,0,1,1,2,0,1,3,1,2,1,1,0,1,1,1,2,4,2142
24,23,4,3,1,1,2,0,2,2,1,1,3,0,3,3,1,1,2,4,1249
36,37,3,1,1,1,2,0,1,1,1,2,1,1,3,3,2,1,1,1,3620
12,25,6,0,1,1,1,0,1,0,1,2,1,1,0,3,1,1,2,4,951
12,23,6,3,1,1,1,0,1,2,2,1,1,0,2,3,1,1,2,1,1534
12,38,6,0,1,1,4,0,1,3,1,0,1,1,3,3,1,1,2,4,804
18,35,3,0,1,1,2,1,1,1,1,2,1,1,3,3,1,1,2,3,3378
24,22,3,3,1,1,4,1,2,1,1,2,1,1,3,0,1,3,2,4,2483
18,31,3,3,1,2,2,0,1,2,1,1,3,0,3,1,1,1,2,2,1928
6,23,4,1,1,1,2,1,1,2,1,4,2,0,3,3,1,4,2,1,14555
12,26,3,3,1,1,1,0,1,0,1,1,1,1,3,3,1,1,2,4,763
12,27,4,3,1,1,1,0,1,2,1,1,1,1,2,3,1,1,2,4,1168
12,23,6,3,1,1,1,0,1,2,1,2,3,1,2,3,1,1,2,2,1297
12,23,6,3,1,2,4,0,1,2,1,1,1,1,3,3,1,1,1,3,1297
18,31,4,1,1,1,3,1,1,3,1,1,0,1,3,3,1,1,2,4,2247
12,47,2,1,1,2,2,1,1,1,2,0,1,1,0,1,1,1,2,4,1231
15,46,9,1,1,2,2,0,1,3,1,1,3,1,0,2,1,1,2,1,3594
36,26,6,0,1,1,2,0,1,0,1,2,1,0,3,3,1,1,2,4,4210
12,26,4,1,1,1,1,0,1,2,1,1,1,1,0,3,1,2,2,4,2211
15,36,6,2,1,1,4,1,1,3,0,2,1,1,3,3,1,4,2,1,5248
24,43,4,3,1,2,2,0,1,1,1,2,3,1,3,2,2,1,2,4,1516
12,24,3,3,1,1,2,0,1,3,2,2,3,1,3,3,1,1,2,3,1768
12,35,4,0,1,1,3,0,1,1,1,3,1,1,3,3,1,1,2,4,1344
12,29,3,1,1,2,2,0,1,1,1,2,3,1,3,1,2,1,1,4,3017
24,37,4,3,1,2,4,1,1,3,1,0,1,1,0,1,1,0,2,4,1287
24,25,3,0,1,1,4,0,0,1,2,1,3,0,0,3,1,4,2,2,4611
12,29,4,3,1,1,2,0,1,2,1,2,3,0,0,3,1,2,2,3,1169
12,38,4,2,1,1,4,1,1,3,1,4,0,1,3,3,1,4,2,4,2859
6,27,6,3,1,1,1,0,1,2,1,1,3,1,2,3,1,1,2,3,343
24,29,6,0,1,1,2,0,1,2,1,1,1,0,0,3,1,1,2,4,1659
24,23,9,0,1,1,4,0,1,3,1,3,1,1,0,3,1,2,2,3,3488
12,22,6,0,1,1,1,1,1,2,1,2,1,1,0,3,1,1,2,1,1567
12,23,6,3,1,1,4,0,1,0,2,2,1,1,2,3,1,1,2,3,1297
24,28,6,0,1,1,2,0,1,3,1,0,1,1,3,3,1,1,2,4,5511
12,35,6,3,1,1,1,0,1,1,1,0,1,1,2,3,1,3,2,4,3447
15,23,6,2,1,1,4,0,1,0,2,0,1,1,3,3,1,4,2,3,4110
36,37,4,0,1,2,4,1,1,3,1,3,1,1,3,1,1,1,2,4,3535
12,28,6,0,1,1,2,0,1,3,1,2,1,1,0,3,1,1,2,4,684
24,24,3,1,0,1,1,0,1,1,1,1,3,1,3,3,1,1,0,4,1747
6,41,6,1,1,1,1,0,1,2,1,1,3,1,0,3,1,1,2,2,1047
12,29,4,1,1,1,4,1,1,1,1,2,1,1,0,3,1,1,1,4,1893
15,27,4,0,1,2,3,0,0,3,1,1,1,1,2,4,1,2,2,2,2326
12,28,4,3,1,1,3,0,1,1,1,2,3,1,3,3,1,1,2,4,939
