X,L,j,i,Y
616964.6,-22.7,650,68,1238579.5
621238.9,-5.4,340,108,509022.1
635410.7,-20.1,214,168,145011.6
587116.8,-23,630,36,1185125.7
59891,-49.3,36,166,100674.4
1138077.8,38.8,402,408,665794.9
596906.5,-22.7,612,44,1145389.5
1041601.4,28.9,380,340,639953.4
599189.4,-22.8,648,46,1235330.8
626167.5,-20,588,140,1089784.9
619078,-13.1,566,162,1045505.9
624345.2,-20,586,140,1085895.4
621560.8,-7.4,424,116,655049.4
639556,-0.7,366,120,556498.6
578052.3,-23.3,630,26,1185129.6
608400.4,-12.4,560,156,1033848.9
624457.7,-21.4,608,104,1133910.7
605018.1,-11.4,476,144,786367.8
572744,-7.4,384,62,576048.1
617778.9,-24,674,58,1297918.3
624426.3,-18.7,580,150,1073516.9
115364.3,-55.8,32,106,136971.1
572725,-17.4,246,106,314357.4
593372.2,-15.5,540,156,987079.1
626104.1,-2.9,456,146,728726.8
1149177.4,41.6,396,424,659502.9
639633.4,-1,434,140,679273.6
606905.4,-11.4,514,172,910885.4
1137397.4,38.3,394,408,663605.9
580800.2,-15.3,566,96,1050243
606717.6,-2.6,370,94,558435.9
599649.5,-10.9,432,94,663924.5
61987.5,-49,30,150,117143.6
613458.6,-21.3,624,72,1171097.1
552424.8,-12.2,296,78,428420.1
1134920.5,35.3,428,400,680823.8
1145320.3,41.5,414,414,666815.7
1158895.8,43.5,412,434,661308.3
599850.6,-7.4,460,124,736550.3
593039.6,-5.1,364,84,546967.2
613914.7,-12.2,550,170,1014824.2
1139864.3,39.7,404,410,665634.7
613458.6,-21.3,624,72,1171097.1
572744,-7.4,384,62,576048.1
589347.4,-17,424,80,645448.6
582402.6,-23.2,578,76,1074108.6
644253.8,0.5,372,124,567331.1
624345.2,-20,586,140,1085895.4
626104.1,-2.9,456,146,728726.8
609250,-24.1,662,48,1270734
1144492.9,41,402,416,663295.4
598400.5,-14.1,558,142,1031329.3
582731.7,-18.2,228,124,251724.6
607161.7,-2,374,94,565073.8
1044624.3,28.9,376,340,633974.2
687959.5,-12,278,156,381602.4
582475.2,-23.8,584,66,1087071.3
619294.6,-0.2,378,104,573500.5
64425.5,-49.3,34,158,106641.9
579732.6,-10.8,506,140,882779.3
621824.4,-23.3,666,66,1278390.8
1145561.8,40.9,392,420,659686.7
572009.3,-12.3,528,136,953151.5
634886.8,-4.9,466,166,757735.5
624367,-22.7,650,78,1237713.5
654982,-10.7,580,208,1070195.9
599649.5,-10.9,432,94,663924.5
1145261.4,41.3,406,416,664222.1
592542.6,-11.5,408,80,618215.1
1080782.9,33.9,384,364,655678.6
606997,-9.9,486,152,819032
621824.4,-23.3,666,66,1278390.8
599058.3,-22.4,620,46,1161309.4
561494,-12.9,526,124,947159.8
624351.2,-8.3,472,160,775609.1
617481.7,-20.9,620,80,1161680.3
616514.4,-24.2,678,60,1307909.9
621560.8,-7.4,424,116,655049.4
1137914.7,38.6,400,408,665249
552424.8,-12.2,296,78,428420.1
1138077.8,38.8,402,408,665794.9
644967.8,-18.9,624,120,1169689.1
608278.1,-12,546,168,1003330.1
580802.6,-10.8,508,142,889479.2
639633.4,-1,434,140,679273.6
572791.4,-13.9,566,82,1051697.2
601698.9,-7.8,322,98,474207.9
613321.7,-3.4,362,100,546014.4
624516.3,-21.2,592,130,1098571.8
616964.6,-22.7,650,68,1238579.5
561602.6,-12.3,306,80,444217.7
1139584.6,36.3,432,402,681605.8
580999.5,-19.7,572,84,1062292.8
552960.7,-11.3,338,64,503311.9
582214.3,-13.1,438,82,671316.1
1149941.5,42.2,414,420,664590.1
605037.7,-24.5,672,36,1293699.8
580802.6,-10.8,508,142,889479.2
593837.1,-24.7,662,20,1275756.8
621925.4,-8.6,470,156,769144.5
598841.3,-13.5,290,104,409645.4
616557.3,-22.4,202,176,91681.9
