AverageMInFile,NumSatisfactoryTrades,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,PercentTradesWBalance,NumBank2NatlTradesWHighUtilization,MaxDelqEver,NumTrades90Ever2DerogPubRec,NumTrades60Ever2DerogPubRec,MaxDelq2PublicRecLast12M,NumInqLast6M,MSinceMostRecentInqexcl7days,NumTradesOpeninLast12M,MSinceMostRecentDelq,PercentInstallTrades,NetFractionInstallBurden,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,PercentTradesNeverDelq,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumTotalTrades,RiskPerformance
77,17,77,181,5,50,1,8,0,0,7,2,0,2,-7,24,-8,2,41,100,3,1,17,0
92,24,88,161,7,43,0,8,0,0,7,0,0,1,-7,40,-8,0,11,100,2,1,25,1
65,11,63,183,2,78,2,4,1,2,6,2,-7,4,21,29,73,2,64,80,5,2,15,0
81,19,75,189,15,40,1,8,0,0,7,1,2,0,-7,26,-8,1,45,100,1,1,19,1
66,40,75,200,6,31,1,6,0,0,6,1,0,1,26,45,74,1,27,98,1,3,40,1
62,11,84,157,18,90,0,8,0,0,7,0,-7,0,-7,27,19,0,13,100,5,3,11,0
81,28,81,271,9,82,1,8,0,0,7,0,10,2,-7,68,55,0,49,100,3,6,29,1
87,24,74,187,13,25,0,6,1,1,6,2,0,0,34,28,-8,2,0,92,0,2,26,1
93,17,66,153,16,67,2,6,0,0,6,1,0,0,17,53,44,1,60,94,2,2,17,0
83,14,67,170,1,58,2,6,0,0,6,0,0,2,20,27,89,0,86,87,4,3,15,0
86,17,84,169,6,50,0,8,0,0,7,1,4,1,-7,41,18,1,54,100,2,2,17,1
60,21,72,169,5,78,1,3,1,1,6,4,0,1,30,52,82,4,66,96,4,3,23,0
78,26,70,167,22,60,1,8,1,1,6,5,1,0,-7,38,-8,5,53,100,3,3,28,1
84,6,66,175,14,80,-8,5,0,1,4,0,0,0,1,29,91,0,112,57,2,1,7,0
68,17,72,202,9,83,0,6,0,0,4,2,0,2,4,68,44,2,3,89,2,3,38,0
74,33,71,-8,7,50,1,6,0,0,6,0,7,2,47,30,60,0,21,94,5,3,0,1
70,33,86,177,5,36,0,8,0,0,7,3,0,3,-7,38,-8,3,2,100,2,2,34,1
71,28,78,294,3,73,2,8,0,0,7,2,2,3,-7,29,6,2,51,100,6,2,28,1
65,14,65,165,6,82,0,8,1,1,6,0,6,2,-7,21,92,0,42,100,7,2,16,1
72,13,79,130,2,83,1,8,0,0,7,1,0,1,-7,43,-8,1,18,100,4,1,14,0
73,26,65,190,12,58,1,3,1,1,4,1,2,0,4,33,46,1,30,81,4,3,27,0
69,24,63,186,3,63,1,2,2,2,5,3,0,2,13,50,76,3,8,73,2,3,30,0
78,26,78,312,5,56,0,6,0,0,6,1,-7,5,30,35,89,1,12,96,3,2,27,1
48,21,68,129,8,86,2,6,0,0,6,0,0,2,-8,24,82,0,57,90,4,2,21,0
71,25,74,181,8,86,1,8,0,0,7,0,0,4,-7,56,76,0,45,100,6,6,25,0
76,31,68,168,13,60,3,6,0,0,4,1,2,0,1,16,-8,1,42,97,8,1,31,0
94,15,77,159,15,50,2,6,0,0,6,0,14,0,40,33,-8,0,60,93,4,2,9,0
89,18,86,173,7,36,0,8,0,0,7,0,6,1,-7,33,19,0,1,100,2,2,18,1
80,22,84,146,12,0,0,6,0,0,6,2,1,0,46,0,-8,2,0,95,0,-8,22,0
83,14,57,170,1,59,3,5,0,1,4,1,0,2,7,58,77,1,51,79,4,6,19,0
60,29,73,127,9,87,1,8,0,0,7,0,0,2,-7,66,76,0,48,100,3,10,29,1
93,34,80,277,5,58,1,5,0,1,6,0,7,1,52,40,80,0,7,97,4,3,35,1
90,27,82,323,1,58,0,8,0,0,7,1,2,3,-7,27,67,1,5,100,5,2,30,1
54,26,61,187,6,75,2,6,0,0,6,1,0,1,47,42,76,1,66,88,3,3,26,0
72,14,75,153,13,68,0,8,0,0,7,0,13,0,-7,14,92,0,35,100,9,1,14,1
90,11,69,272,7,71,1,2,1,1,0,0,0,2,9,42,95,0,35,92,3,1,12,1
86,14,62,173,14,71,3,6,0,0,4,0,-7,0,5,50,1,0,74,86,3,2,15,1
83,28,83,232,9,41,0,8,0,0,7,0,11,1,-7,18,12,0,5,100,5,2,53,1
66,20,69,124,14,86,1,6,0,0,4,0,0,0,3,60,73,0,58,95,3,3,20,0
93,18,55,222,15,82,3,6,0,0,4,0,0,0,1,19,72,0,105,67,11,3,21,0
85,21,81,178,3,33,0,8,0,0,7,2,1,2,-7,24,73,2,0,100,0,3,21,1
90,11,67,227,1,57,0,8,1,1,6,3,1,1,-7,50,48,3,0,100,1,2,11,0
86,22,61,36,2,89,3,6,0,0,4,3,-7,2,3,17,98,3,86,87,6,2,23,0
51,14,63,194,3,100,2,8,1,1,6,2,0,4,-7,39,81,2,95,100,6,2,18,0
65,24,83,155,4,71,0,8,0,0,7,1,1,2,-7,54,68,1,26,100,3,3,25,1
57,16,63,127,4,100,1,6,2,2,4,1,-7,1,5,35,-8,1,91,88,2,1,17,0
76,18,84,132,6,63,0,8,0,0,7,0,-8,2,-7,28,19,0,15,100,2,3,18,1
86,11,67,158,12,86,1,3,2,4,6,0,0,0,40,60,61,0,60,60,2,4,15,0
71,20,82,289,7,57,0,8,0,0,7,0,6,3,-7,45,-8,0,19,100,3,1,14,1
87,18,88,275,13,40,0,8,0,0,7,0,-7,0,-7,17,-8,0,6,100,3,1,18,1
63,15,65,174,3,64,0,5,0,1,4,4,0,5,1,50,66,4,32,81,3,4,16,0
90,19,88,164,12,36,0,8,0,0,7,0,0,0,-7,32,60,0,2,100,1,3,19,1
68,28,68,167,0,67,1,5,0,1,6,2,-7,4,22,33,75,2,29,97,5,3,30,1
52,18,65,77,17,77,1,5,0,1,3,1,-7,0,4,42,68,1,30,95,6,4,14,0
81,32,58,206,3,64,1,5,0,2,6,2,1,1,35,50,85,2,54,91,4,2,34,0
70,19,66,187,11,90,1,5,1,4,6,0,0,2,34,52,21,0,37,78,7,2,24,1
82,15,88,258,11,29,0,8,0,0,7,0,19,1,-7,20,-8,0,1,100,1,1,15,1
57,21,58,113,6,90,1,6,0,0,4,0,0,4,6,52,67,0,84,71,7,2,21,0
75,11,70,294,2,78,0,2,0,1,6,1,2,1,25,31,58,1,40,92,4,3,13,1
69,27,74,123,6,80,1,3,1,1,6,3,0,1,39,38,88,3,18,86,6,2,29,1
77,28,88,204,6,33,0,8,0,0,7,0,0,3,-7,24,-8,0,6,100,2,1,33,1
82,16,80,190,10,83,0,8,0,0,7,0,17,1,-7,41,24,0,57,100,2,3,17,1
55,12,67,196,10,100,5,8,0,0,7,0,0,1,-7,17,62,0,88,100,9,1,12,0
83,29,67,190,17,67,3,5,0,1,6,0,17,0,74,27,-8,0,72,93,7,1,28,0
64,11,76,104,8,60,0,2,1,1,6,0,0,1,79,42,-8,0,12,92,1,1,12,0
51,27,70,112,7,83,2,5,0,1,5,0,0,3,79,36,85,0,49,96,7,3,28,0
64,28,74,264,11,44,1,6,0,0,6,5,-7,1,29,29,-8,5,37,96,5,2,58,0
65,29,65,151,7,62,1,8,1,1,6,0,-8,2,-7,50,82,0,43,100,5,3,30,1
90,28,65,237,6,72,5,6,0,0,6,0,5,3,46,24,75,0,70,96,9,3,33,1
69,23,70,232,5,57,3,8,0,0,7,2,4,3,-7,30,-8,2,55,100,6,2,27,1
74,20,73,162,3,100,1,8,0,0,7,3,-7,2,-7,48,79,3,70,100,5,2,24,1
79,19,69,301,3,100,0,6,0,0,6,2,3,2,13,47,45,2,33,79,3,3,20,0
85,16,84,166,7,57,0,8,0,0,7,0,6,1,-7,50,38,0,2,100,1,2,16,1
72,8,90,155,10,50,0,8,0,0,7,0,0,1,-7,25,-8,0,0,100,1,1,8,1
68,20,72,245,9,67,4,8,0,0,7,0,0,2,-7,25,87,0,69,100,6,2,20,0
63,16,63,161,8,88,2,8,0,0,7,2,0,2,-7,44,74,2,68,100,4,3,16,0
58,36,80,109,7,26,1,8,0,0,7,0,-7,3,-7,14,23,0,7,100,4,2,38,1
