mean_tr,wb_trans,eccen,height,blackpix,area,blackand,p_and,p_black,lenght,target
2.03,67,3.5,10,136,350,267,0.61,0.388,35,0.571
1.33,21,1.857,7,28,91,75,0.824,0.308,13,0.571
2.5,6,1.429,7,15,70,41,0.586,0.214,10,2
1.83,6,1.167,6,11,42,33,0.786,0.262,7,7
1.6,15,1.286,7,24,63,60,0.952,0.381,9,63
1.91,33,2.222,9,63,180,131,0.728,0.35,20,76
2.2,35,2.667,9,77,216,196,0.907,0.356,24,1
1.57,21,1.778,9,33,144,110,0.764,0.229,16,100
1.4,10,1.167,6,14,42,40,0.952,0.333,7,42
1.35,37,6.2,5,50,155,151,0.974,0.323,31,116
1.93,84,6.125,8,162,392,298,0.76,0.413,49,0.413
1.46,13,1.143,7,19,56,43,0.768,0.339,8,0.5
1.71,7,1.143,7,12,56,35,0.625,0.214,8,8
1.77,35,2.667,9,62,216,156,0.722,0.287,24,24
1.64,75,7.5,6,123,270,261,0.967,0.456,45,162
1.86,190,10.7,10,354,1070,961,0.898,0.331,107,0.898
1.44,25,1.5,8,36,96,91,0.948,0.375,12,12
1.58,31,2.857,7,49,140,106,0.757,0.35,20,12.5
1.71,7,1,7,12,49,49,1,0.245,7,7
1.26,222,19.444,9,279,1575,983,0.624,0.177,175,7
1.83,6,1.167,6,11,42,33,0.786,0.262,7,7
1.41,17,2.167,6,24,78,78,1,0.308,13,78
1.29,77,5.125,8,99,328,309,0.942,0.301,41,328
1.75,4,0.571,7,7,28,25,0.893,0.25,4,28
1.46,78,7.125,8,114,456,364,0.798,0.251,57,3
1.67,6,0.833,6,10,30,25,0.833,0.333,5,30
1.63,8,1.4,5,13,35,35,1,0.371,7,7
1.58,19,2.167,6,30,78,68,0.872,0.385,13,56
1.44,9,1.167,6,13,42,39,0.929,0.31,7,1
2.03,105,9.25,8,213,592,525,0.886,0.359,74,0.727
1.64,32,3.286,7,52,161,135,0.839,0.323,23,0.7
1.57,23,2.571,7,36,126,79,0.627,0.286,18,11
1.87,91,5.182,11,170,627,362,0.577,0.271,57,0.
1.88,24,2.125,8,45,136,109,0.801,0.331,17,0.727
1.65,23,2,7,38,98,83,0.847,0.388,14,84
1.77,26,3.167,6,46,114,114,1,0.404,19,0.
2.1,10,1.286,7,21,63,56,0.889,0.333,9,63
2.3,30,2.333,9,69,189,171,0.905,0.365,21,0.
2.22,9,1.4,5,20,35,35,1,0.571,7,23
2.12,26,2.5,8,55,160,120,0.75,0.344,20,2
1.46,13,1.143,7,19,56,43,0.768,0.339,8,0.5
1.71,7,1.143,7,12,56,35,0.625,0.214,8,8
2.23,13,1.25,8,29,80,73,0.913,0.363,10,10
2.71,7,2.857,7,19,140,77,0.485,0.136,20,1
1.26,121,13.5,8,152,864,698,0.807,0.176,108,0.7
2.45,11,0.875,8,27,56,53,0.946,0.482,7,7
1.71,21,1.857,7,36,91,91,1,0.396,13,13
1.82,72,5.111,9,131,414,355,0.857,0.316,46,0.857
