target,Dcl,Ao,Iy,Aa,Sh
0,-0.45,2.735,0.243,0.279,0.337
0,0.158,0.283,0.156,2.367,-0.06
0,0.845,0.349,1.461,2.513,-0.371
0,1.235,0.48,-0.285,2.971,-0.114
1,1.527,0.837,2.826,0.295,-0.816
0,-0.321,1.716,-0.129,1.363,0.108
1,0.792,0.791,1.752,0.216,0
1,1.504,1.367,-0.44,0.75,-0.162
0,-0.264,1.625,-0.114,1.719,0.107
0,0.339,1.165,0.22,2.095,-0.67
0,1.554,1.275,-0.418,0.456,-0.364
0,0.153,-0.393,-0.082,3.802,-0.055
0,0.509,0.434,2.041,0.128,0
1,0.508,0.698,0.776,0.178,0
0,0.339,0.925,0.195,1.836,-0.137
0,1.768,1.028,-0.505,0.266,-0.23
1,0.746,0.434,0,0.097,0
0,0.404,0.368,1.22,0.236,2.13
0,0.159,0.918,0.126,2.078,0.083
0,-0.143,0.539,-0.084,2.705,0.138
1,1.435,0.917,-0.835,0.482,-0.762
0,1.436,0.36,-0.266,2.956,-0.128
1,0.766,0.378,0.692,0.099,0.502
0,1.264,0.799,2.152,0.207,-0.641
0,1.314,0.561,1.811,0.437,-0.512
0,0.467,0.268,-0.611,0.121,-1.052
0,-0.415,2.591,0.529,1.151,0.318
1,1.436,0.584,0.621,0.199,1.315
0,-0.107,0.639,0.13,2.391,-0.053
1,1.936,1.666,1.432,0.54,-0.431
1,1.687,1.018,1.114,0.487,1.176
0,0.502,1.654,1.395,1.644,-0.389
0,1.354,0.807,1.773,0.428,-0.608
0,0.951,0.671,2.188,0.121,0
0,0.485,1.697,0.284,1.466,-0.18
0,0.179,0.482,0.133,2.637,-0.05
1,1.901,0.483,1.404,0.306,1.526
0,0.643,0.395,0.544,0.191,0
0,-0.347,2.32,0.275,0.74,0.173
0,0.159,0.918,0.126,2.078,0.083
1,1.173,1.059,-0.343,0.852,0.633
0,1.497,2.206,0.781,0.361,-0.37
0,-0.414,2.596,-0.342,0.929,0.786
0,0.181,-0.271,-0.078,3.53,0.071
1,0.513,0.938,1.097,0.174,0.886
0,0.643,0.395,0.544,0.191,0
0,0.43,0.464,0.257,1.893,0.292
0,0.443,1.067,0.472,0.251,0.444
0,0.778,2.239,1.064,0.936,0.411
0,1.377,1.807,0.992,0.239,-0.478
0,0.467,0.268,-0.611,0.121,-1.052
0,1.964,1.107,0.776,0.328,-0.247
0,0.739,2.501,0.526,0.642,-0.199
0,0.459,0.329,-0.732,0.148,1.514
0,1.377,0.565,1.737,0.141,0
1,1.901,0.483,1.404,0.306,1.526
0,-0.423,2.791,-0.182,0.505,0.158
1,0.508,0.698,0.776,0.178,0
0,-0.347,2.246,-0.179,0.729,0.181
0,0.356,1.439,0.391,2.56,0.324
0,-0.387,1.871,0.323,0.832,-0.322
0,-0.449,2.765,-0.213,0.764,-0.131
0,-0.521,2.745,0.309,0.253,0.187
0,-0.321,2.31,-0.156,1.247,0.245
0,-0.111,0.648,0.111,2.255,-0.049
0,-0.143,0.539,-0.084,2.705,0.138
0,0.828,2.886,0.537,0.544,0.367
0,-0.128,0.882,0.112,2.158,0.11
0,0.513,0.269,1.841,2.196,-0.528
1,0.749,0.666,-0.366,0.2,1.391
0,-0.423,2.821,-0.432,0.305,1.228
