state_code,bird,lon,lat,lat_zone
47,27,-118.75,48.59,2
43,20,-96.65,29.69,1
49,19,-80.6,39.45,2
7,21,-76.98,38.92,2
7,21,-77.02,38.88,2
9,20,-81.46,29.13,1
45,19,-77.31,38.9,2
28,26,-97.61,48.72,2
16,26,-96.53,38.97,2
2,20,-93.49,35.77,2
5,17,-105.97,37.24,2
12,13,-94.34,42.11,2
34,12,-75.76,44.34,2
44,6,-109.95,39.96,2
33,18,-115.12,36.36,2
27,19,-80.43,35.52,2
19,2,-71.5,42.58,2
8,11,-75.64,38.55,2
22,0,-86.87,45.74,2
33,18,-116.91,41.49,2
50,26,-105.23,42.9,2
44,6,-112.57,40.34,2
9,20,-81.22,28.2,1
46,16,-73.14,43.93,2
28,26,-102.41,46.02,2
4,7,-120.46,41.71,2
49,19,-80.54,38.38,2
7,21,-76.99,38.91,2
26,26,-108.63,47.54,2
8,11,-75.43,38.47,2
12,13,-94.11,40.73,2
0,28,-147.57,69.41,0
21,9,-69.48,45.55,2
37,26,-121.16,43.15,2
8,11,-75.64,38.83,2
19,2,-72.39,42.45,2
8,11,-75.64,38.83,2
2,20,-93.36,34.11,2
32,14,-104.87,34.29,2
0,28,-164.3,68.36,0
46,16,-72.94,44.25,2
0,28,-153.37,57.32,2
6,0,-72.55,41.51,2
6,0,-73.21,41.94,2
30,22,-71.53,44.78,2
37,26,-120.29,43.97,2
6,0,-72.73,41.49,2
11,15,-155.41,19.3,1
49,19,-80.62,37.59,2
18,3,-91.94,32.92,2
33,18,-116.12,39.21,2
47,27,-117.63,48.25,2
19,2,-72.31,42.35,2
16,26,-98.25,37.55,2
43,20,-95.96,32.72,2
10,4,-83.56,31.05,2
4,7,-120.14,35.63,2
47,27,-120.05,46.55,2
32,14,-106.5,36.05,2
47,27,-120.1,48.9,2
6,0,-72.62,41.66,2
42,20,-87.54,35.25,2
2,20,-91.2,35.67,2
15,19,-85.29,39.4,2
49,19,-80.42,39.62,2
47,27,-118.2,46.18,2
11,15,-155.68,19.02,1
5,17,-102.38,37.28,2
12,13,-92.31,42.29,2
50,26,-105.19,44.55,2
23,10,-94.12,47.92,2
39,23,-71.52,41.97,2
50,26,-108.72,42.08,2
43,20,-102.63,30.53,2
12,13,-92.31,41.32,2
39,23,-71.5,41.45,2
14,19,-89.87,38.25,2
26,26,-111.97,48.43,2
22,0,-84.25,46.3,2
46,16,-72.25,44.37,2
34,12,-77.44,42.62,2
49,19,-80.02,38.36,2
34,12,-74.63,43.38,2
39,23,-71.68,41.38,2
19,2,-71.45,42.09,2
15,19,-87.36,41.39,2
38,19,-79.84,41.5,2
30,22,-71.35,44.02,2
39,23,-71.41,41.89,2
11,15,-155.55,19.14,1
41,24,-103.41,45.07,2
22,0,-84.48,41.72,2
27,19,-78.53,35.08,2
36,25,-95.75,36.52,2
7,21,-77.02,38.95,2
16,26,-100.59,37.8,2
31,13,-74.93,39.01,2
41,24,-98.85,44.79,2
22,0,-84.45,44.39,2
49,19,-80.34,38.87,2
22,0,-84.37,42.31,2
21,9,-70.97,44.75,2
45,19,-78.51,37.76,2
1,29,-86.12,32.39,2
28,26,-98.77,47.46,2
22,0,-86.12,43.76,2
