,Age,FrequentFlyer,AnnualIncomeClass,ServicesOpted,AccountSyncedToSocialMedia,BookedHotelOrNot,Target,real_identifier
0,32,0,1,2,1,1,0,0
1,27,0,2,5,0,0,1,0
2,35,1,2,4,1,1,0,0
3,30,0,1,3,0,1,0,0
4,33,2,1,6,1,0,0,0
5,29,0,2,2,0,1,1,0
6,34,1,0,1,0,1,0,0
7,31,0,2,4,1,1,0,0
8,28,0,1,5,1,0,1,0
9,36,2,2,3,0,1,0,0
10,33,0,1,2,0,0,0,0
11,28,2,0,1,1,0,1,0
12,39,0,2,3,0,1,0,0
13,32,2,1,1,0,0,1,0
14,26,0,1,1,1,0,0,0
15,35,2,0,1,1,0,0,0
16,30,0,2,2,0,1,0,0
17,37,2,0,1,0,0,1,0
18,29,0,1,1,1,0,0,0
19,34,2,1,2,0,0,1,0
20,29,2,0,4,0,0,1,0
21,28,0,2,1,1,1,0,0
22,32,2,0,1,0,0,1,0
23,33,0,1,2,0,0,0,0
24,36,0,1,2,1,0,1,0
25,38,0,2,3,0,0,0,0
26,34,0,1,1,1,0,0,0
27,26,2,0,1,0,0,1,0
28,31,0,2,4,0,0,0,0
29,39,0,2,3,1,0,0,0
30,31,1,2,3,1,0,0,0
31,35,2,1,2,1,1,1,0
32,27,0,2,4,0,0,0,0
33,32,1,1,2,1,0,0,0
34,36,2,1,1,1,1,1,0
35,30,0,2,3,0,0,0,0
36,29,1,2,2,1,0,0,0
37,34,2,1,4,1,1,1,0
38,28,0,2,2,1,0,0,0
39,33,1,1,3,0,0,0,0
40,33,1,2,2,1,0,0,0
41,39,2,1,1,0,1,0,0
42,29,0,2,4,0,0,1,0
43,37,1,2,3,0,0,0,0
44,35,0,2,5,1,1,0,0
45,31,2,1,1,0,0,0,0
46,34,1,2,3,0,1,0,0
47,32,0,2,4,1,0,0,0
48,36,2,1,2,0,1,0,0
49,27,0,2,3,0,0,1,0
50,32,1,1,2,0,0,0,0
51,34,0,1,1,0,0,0,0
52,36,2,0,1,0,0,1,0
53,28,2,0,2,0,0,1,0
54,35,0,1,2,0,1,0,0
55,31,0,1,3,0,0,0,0
56,29,2,0,1,1,1,1,0
57,33,1,1,2,0,0,0,0
58,30,2,0,4,0,1,1,0
59,32,0,1,1,0,0,0,0
60,32,1,1,2,1,0,0,0
61,28,0,2,4,0,0,0,0
62,35,1,0,3,0,1,1,0
63,29,2,1,2,1,0,0,0
64,33,0,1,4,0,0,1,0
65,36,2,0,7,1,1,1,0
