,state_code,lat,lon,bird,lat_zone,real_identifier
0,44.0,38.4,-110.81,6.0,2.0,0
1,0.0,67.37,-145.19,28.0,0.0,0
2,32.0,43.47,-75.54,12.0,2.0,0
3,17.0,37.51,-83.31,19.0,2.0,0
4,8.0,39.88,-75.49,11.0,2.0,0
5,0.0,68.15,-148.42,28.0,0.0,0
6,32.0,34.89,-106.67,14.0,2.0,0
7,5.0,38.0,-108.51,17.0,2.0,0
8,49.0,38.81,-81.32,19.0,2.0,0
9,11.0,19.63,-155.33,15.0,1.0,0
10,0.0,65.78,-147.96,28.0,0.0,0
11,32.0,33.86,-107.01,14.0,2.0,0
12,44.0,39.65,-110.41,6.0,2.0,0
13,8.0,39.44,-75.38,11.0,2.0,0
14,17.0,37.79,-85.12,19.0,2.0,0
15,49.0,39.0,-78.89,19.0,2.0,0
16,32.0,42.36,-73.97,12.0,2.0,0
17,0.0,67.45,-146.23,28.0,0.0,0
18,5.0,38.23,-102.48,17.0,2.0,0
19,49.0,37.96,-81.6,19.0,2.0,0
20,8.0,39.67,-75.58,11.0,2.0,0
21,32.0,35.41,-107.29,14.0,2.0,0
22,44.0,38.61,-110.76,6.0,2.0,0
23,0.0,65.48,-148.17,28.0,0.0,0
24,17.0,37.44,-83.26,19.0,2.0,0
25,49.0,38.68,-80.35,19.0,2.0,0
26,32.0,43.41,-74.88,12.0,2.0,0
27,11.0,19.71,-155.43,15.0,1.0,0
28,0.0,68.87,-141.39,28.0,0.0,0
29,8.0,39.32,-75.62,11.0,2.0,0
30,32.0,33.68,-106.92,14.0,2.0,0
31,44.0,39.19,-110.35,6.0,2.0,0
32,5.0,38.12,-108.46,17.0,2.0,0
33,49.0,38.91,-81.45,19.0,2.0,0
34,8.0,39.08,-75.46,11.0,2.0,0
35,32.0,42.75,-74.43,12.0,2.0,0
36,0.0,67.63,-146.35,28.0,0.0,0
37,17.0,37.63,-85.25,19.0,2.0,0
38,49.0,39.17,-78.94,19.0,2.0,0
39,32.0,35.24,-107.45,14.0,2.0,0
40,44.0,38.78,-110.63,6.0,2.0,0
41,16.0,39.12,-99.43,26.0,2.0,0
42,8.0,38.87,-75.45,11.0,2.0,0
