state_code,lat,lon,bird,lat_zone
35,43.99515613167158,-79.59722703857032,20,2
2,45.18181957138434,-72.25433683158275,27,2
2,41.99091361675617,-111.12133244382083,6,2
4,42.18644955980466,-103.92869447239252,7,2
11,42.17533730171459,-76.68154720262726,19,2
29,43.24552158332378,-114.67995349448674,19,2
25,35.473698030554424,-84.36644934706622,12,2
35,33.70996961168757,-105.29688962759457,26,2
7,37.1896607368259,-88.3138975407496,23,2
49,39.90165930207547,-103.64159474773078,6,2
13,32.8073928108744,-92.98421131940108,19,2
14,36.24505870906953,-74.53322482245508,26,2
13,39.257303486821755,-99.71782591916659,20,2
37,36.613389980872,-83.36710948633646,19,2
42,29.51594629666997,-81.47153542662042,20,2
36,32.82050898742092,-156.74152600808168,24,2
23,39.78843162090393,-89.63667907273795,20,2
6,31.093304342056417,-118.75822608456764,5,1
12,39.893319528773496,-76.60308002070553,21,2
49,46.2522998060685,-71.53354672600564,25,2
49,39.312950264520794,-110.78582442745244,2,2
35,29.651280111377034,-89.43697183441766,4,2
22,42.043931930967254,-105.96457964775963,4,2
22,41.47623446741859,-111.40425687911005,7,2
49,47.38147702812486,-102.45192674879517,15,2
34,38.24889881104368,-93.99702998896358,6,2
27,46.1174205511477,-112.46412580052576,24,2
40,35.235983513884854,-76.06863315794486,4,2
23,39.18850065580004,-86.63454937840567,18,2
18,43.33519783415113,-97.40534165321714,5,2
27,39.005331504429094,-96.58418992919242,26,2
40,35.80143386923933,-82.72466503051508,19,2
4,34.81650298151842,-90.82236164483626,20,2
3,40.48831705502789,-94.28523967489123,19,2
20,38.935669839336356,-75.70752169507409,20,2
42,36.06868497679526,-74.21038725902167,19,2
2,56.30799396843124,-75.14295404890123,19,2
14,30.287255166052766,-112.36370609723255,7,2
28,35.15927199698867,-76.33249018707056,20,2
11,34.020340188109124,-79.52890988800972,13,2
3,48.94112108540107,-102.68588125481563,24,2
7,41.6360946934888,-87.0348762126794,18,2
2,41.62887174713598,-116.3163771046924,15,2
20,44.35910728750484,-87.92716601056296,26,2
43,40.33477415797318,-81.01448233273048,14,2
40,42.897210858516175,-71.1355559836474,13,2
29,39.20041636559642,-80.58892153487139,11,2
40,37.848901515995756,-79.8441616853041,20,2
31,36.29554971351591,-99.52828857251195,19,2
39,44.534165502386756,-114.70594669477248,27,2
23,48.02855510813476,-102.73551788560061,25,2
28,43.41260543949871,-90.44814850095983,26,2
46,34.37351248105454,-76.13215598241973,20,2
29,38.36144660640388,-81.21879038059876,5,2
12,40.595391288019364,-92.21583785934736,3,2
7,45.19594752021613,-105.33871947666154,8,1
4,35.764752980213416,-76.34683596456543,2,2
23,41.54165437480388,-74.3376277966187,4,2
45,34.427757896920674,-84.22612989478873,18,2
12,29.59694365244731,-80.99754856956166,21,1
2,59.91865745519562,-155.81682902513444,27,0
11,38.190272914715,-84.02855932119174,19,2
27,48.67307911678349,-91.45139982357838,9,2
47,36.53145689001562,-113.78556660866056,29,2
46,47.829247785530214,-88.92027905442171,20,2
32,36.910113748342326,-86.08204124055145,6,2
31,41.96222566839256,-96.19741616327539,22,2
24,38.085407623031664,-77.96176902443224,10,2
37,34.02764499190557,-91.12153716154226,19,2
42,39.90761763492502,-78.49137779503249,7,2
35,38.771753272497136,-82.36833973878653,20,2
24,40.039856704978064,-90.74434184920644,26,2
37,42.5548550539753,-100.51558922032446,6,2
41,35.98361866391175,-86.15267313919445,22,2
0,21.195600602657944,-149.1499495724535,14,1
1,40.89815377144381,-75.49812525553673,19,2
32,40.17001599112505,-113.12173712053654,1,2
19,32.350980591018,-85.80328683928981,9,2
32,44.046007647153,-92.86780495820025,26,2
41,33.89406283747464,-102.21459180020801,3,2
14,39.500934031330374,-93.8770090159406,19,2
3,35.95325113049759,-81.53580823603858,18,2
28,37.9165518907676,-88.3988008829109,11,2
36,31.098783045030217,-110.10834466825494,24,0
23,31.955149695136097,-88.04182402100672,25,2
29,39.57451469118576,-107.7026945973095,25,2
28,37.92835967914661,-117.8581809195138,2,2
47,36.71957316313687,-98.35696671809089,16,2
32,35.5607577141581,-95.42709274210344,1,2
3,30.94464939235942,-96.0965856913017,28,2
50,30.451167463614357,-83.92074130881454,17,2
13,41.11988136626235,-69.56675308570306,13,2
38,43.229762340215196,-70.99190179885194,20,2
40,43.36287920512067,-97.29606672518412,19,2
10,42.781094328861975,-102.76780731881375,26,2
8,37.4185931987932,-91.2754823092641,12,2
19,40.970580603959725,-96.03390551808006,3,2
48,39.70046926120394,-106.15807843847237,1,2
19,38.23324027150977,-92.67832323213896,13,2
0,40.08230921712215,-125.53560816055663,26,2
45,40.44269450148561,-84.21834819832729,19,2
36,40.15171074076103,-77.20053749633995,11,2
38,39.979166284568166,-68.88114736122728,1,2
9,30.795191975999415,-101.92215588117965,24,2
0,42.571640936636335,-124.93749344603336,3,2
21,35.05199013492455,-114.37219822020148,8,2
16,34.527702289427914,-115.2091101395759,19,2
16,34.858290346034075,-83.43839048685719,18,2
7,34.02380278310998,-107.49046360589327,6,2
1,18.93,-150.06337198406467,14,1
41,37.37154522638338,-93.43012546972368,19,2
27,40.93382328508597,-73.24876698826371,13,2
22,40.359427733216556,-145.0031012914271,18,2
19,28.12552117631183,-69.67580433570339,13,2
