,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.30814911977673665,0.32098603809239407,0.31781827656092937,0.004882935036744559,0.3204980319154421,0.0015520388603095236,5,0,0.01,minimize
sanity.close_values_probability.score,0.41,0.49,0.426,0.032,0.41,0.0,5,0,0.01,maximize
sanity.distant_values_probability.score,0.06,0.06,0.06,0.0,0.06,0.0,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.08615465433511381,0.08751682355790687,0.08673828059576405,0.0006182242308081226,0.08634832980622818,0.0012595050422762877,5,0,0.13,minimize
stats.chi_squared_test.marginal,0.024135111566631326,0.02904914678515401,0.027358990733434573,0.0017149825367326196,0.027535642733505755,0.0010037671148702548,5,0,0.02,maximize
stats.inv_kl_divergence.marginal,0.07407140655621407,0.07545034679952162,0.07503612838594478,0.0004966900366958085,0.0751486578682822,0.00021291496947316302,5,0,0.01,maximize
stats.ks_test.marginal,0.18193548387096775,0.25032258064516133,0.22625806451612904,0.026285552704048965,0.23709677419354838,0.0387096774193548,5,0,0.02,maximize
stats.max_mean_discrepancy.joint,0.24454773749330455,0.36327349861633806,0.2854071990194054,0.04345833103165642,0.27855317187919765,0.049171186270320744,5,0,0.01,minimize
stats.wasserstein_dist.joint,23.002547101517145,24.190741878326573,23.45142580269162,0.462560168549214,23.214571478940904,0.726902548131374,5,0,0.01,minimize
stats.prdc.precision,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,maximize
stats.prdc.recall,0.98,1.0,0.992,0.009797958971132722,1.0,0.020000000000000018,5,0,0.01,maximize
stats.prdc.density,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,maximize
stats.prdc.coverage,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.0,0.0020000000000000018,0.00040000000000000034,0.0008000000000000006,0.0,0.0,5,0,0.05,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.05,maximize
stats.alpha_precision.authenticity_OC,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.05,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.05,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.05,maximize
stats.alpha_precision.authenticity_naive,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.05,maximize
performance.linear_model.gt,0.9440789473684211,0.9757553606237815,0.9566764132553607,0.010620148438946963,0.956140350877193,0.006822612085769952,5,0,0.19,maximize
performance.linear_model.syn_id,0.026437621832358676,0.807261208576998,0.49361598440545806,0.25820684125015925,0.5566520467836257,0.13157894736842118,5,0,0.19,maximize
performance.linear_model.syn_ood,0.0,0.8690476190476191,0.46428571428571425,0.2804070575321388,0.46428571428571425,0.1547619047619047,5,0,0.19,maximize
performance.mlp.gt,0.5,0.5833333333333334,0.5333333333333334,0.04082482904638632,0.5,0.08333333333333337,5,0,3.38,maximize
performance.mlp.syn_id,0.3344298245614035,0.8923001949317739,0.5453460038986355,0.1849495204591783,0.5,0.0,5,0,3.38,maximize
performance.mlp.syn_ood,0.2857142857142857,0.9642857142857143,0.55,0.22314999074019012,0.5,0.0,5,0,3.38,maximize
performance.xgb.gt,0.8870614035087719,0.9889132553606238,0.9649610136452242,0.03912898798871518,0.9824561403508772,0.0092592592592593,5,0,0.41,maximize
performance.xgb.syn_id,0.5,0.5,0.5,0.0,0.5,0.0,5,0,0.41,maximize
