,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.09402806362691087,0.10261294713447555,0.09821899571403706,0.0029716553564203673,0.09875779112738452,0.003665381804398196,5,0,0.01,minimize
sanity.close_values_probability.score,0.84,0.85,0.8459999999999999,0.004898979485566361,0.85,0.010000000000000009,5,0,0.01,maximize
sanity.distant_values_probability.score,0.02,0.02,0.02,0.0,0.02,0.0,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.06901251315704472,0.06960322904016476,0.06925926000752107,0.00022225111203233333,0.0692458598612734,0.00035801242880070805,5,0,0.13,minimize
stats.chi_squared_test.marginal,0.02731817950192429,0.031154885790119,0.02874758502114904,0.0014274005941768292,0.02865401723900423,0.0019744835708490997,5,0,0.02,maximize
stats.inv_kl_divergence.marginal,0.12389535632063133,0.14020178812951284,0.13338532993298508,0.00567266708609872,0.13360551355754252,0.006529036463799209,5,0,0.01,maximize
stats.ks_test.marginal,0.2603225806451613,0.26806451612903226,0.26445161290322583,0.0032283860653411064,0.26548387096774195,0.006451612903225767,5,0,0.02,maximize
stats.max_mean_discrepancy.joint,0.01999999999944682,0.020000744915996876,0.020000151002546963,2.969824807618893e-07,0.019999999999585835,1.0098625422005902e-08,5,0,0.01,minimize
stats.wasserstein_dist.joint,3.3602552414574003,3.384526919513691,3.371357540039895,0.009218536387486962,3.367634955830881,0.015032331641279928,5,0,0.01,minimize
stats.prdc.precision,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,maximize
stats.prdc.recall,0.0,0.07,0.014000000000000002,0.028000000000000004,0.0,0.0,5,0,0.01,maximize
stats.prdc.density,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,maximize
stats.prdc.coverage,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.05,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.05,maximize
stats.alpha_precision.authenticity_OC,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.05,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.03266666666666673,0.03933333333333333,0.03506666666666667,0.002480143365031739,0.03466666666666662,0.0033333333333331883,5,0,0.05,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.05,maximize
stats.alpha_precision.authenticity_naive,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.05,maximize
performance.linear_model.gt,0.9440789473684211,0.9757553606237815,0.9566764132553607,0.010620148438946963,0.956140350877193,0.006822612085769952,5,0,0.18,maximize
performance.linear_model.syn_id,0.013401559454191032,0.9802631578947368,0.28457602339181287,0.355025299608276,0.11829922027290447,0.15302144249512672,5,0,0.18,maximize
performance.linear_model.syn_ood,0.0,1.0,0.24523809523809526,0.37920731261546514,0.08333333333333333,0.07142857142857142,5,0,0.18,maximize
performance.mlp.gt,0.5,0.5833333333333334,0.5333333333333334,0.04082482904638632,0.5,0.08333333333333337,5,0,3.11,maximize
performance.mlp.syn_id,0.5,0.8583089668615985,0.5752680311890839,0.14169266524262863,0.5,0.01803118908382062,5,0,3.11,maximize
performance.mlp.syn_ood,0.5,0.8571428571428572,0.5714285714285714,0.14285714285714288,0.5,0.0,5,0,3.11,maximize
performance.xgb.gt,0.8870614035087719,0.9889132553606238,0.9649610136452242,0.03912898798871518,0.9824561403508772,0.0092592592592593,5,0,0.47,maximize
