,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.04352705570225564,0.06603239003051689,0.05231850097478104,0.008272560958036534,0.05390676385773894,0.010305225022044319,5,0,0.01,minimize
sanity.close_values_probability.score,0.95,0.97,0.96,0.006324555320336764,0.96,0.0,5,0,0.01,maximize
sanity.distant_values_probability.score,0.01,0.01,0.01,0.0,0.01,0.0,5,0,0.01,minimize
stats.jensenshannon_dist.marginal,0.014686436872609145,0.017392604987701336,0.016223716060606432,0.0011226981749875833,0.01650452784413316,0.0022316079773340106,5,0,0.12,minimize
stats.chi_squared_test.marginal,0.02834172384694005,0.06175695654807028,0.036834322545657605,0.01252230003756783,0.03172189055966633,0.0010927393457212838,5,0,0.02,maximize
stats.inv_kl_divergence.marginal,0.4728692527214608,0.4964942572746897,0.486005287818426,0.008720550674598695,0.4903307757504475,0.01245373241032749,5,0,0.01,maximize
stats.ks_test.marginal,0.8087096774193546,0.836774193548387,0.8238709677419355,0.009435690651166792,0.8241935483870967,0.009677419354838457,5,0,0.02,maximize
stats.max_mean_discrepancy.joint,0.01999973427435147,0.020164678231064666,0.020054235721301633,6.862426635057747e-05,0.020001229320766103,0.00010549416438156156,5,0,0.01,minimize
stats.wasserstein_dist.joint,0.21500144867486665,0.25386370215468046,0.23574079977615342,0.013540666842896652,0.23394736170214855,0.017043945970467544,5,0,0.01,minimize
stats.prdc.precision,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.01,maximize
stats.prdc.recall,0.86,0.91,0.8859999999999999,0.018547236990991423,0.89,0.030000000000000027,5,0,0.01,maximize
stats.prdc.density,1.1199999999999999,1.2560000000000002,1.1960000000000002,0.048546884555036196,1.22,0.060000000000000275,5,0,0.01,maximize
stats.prdc.coverage,0.96,0.99,0.9780000000000001,0.011661903789690611,0.98,0.020000000000000018,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.811264367816092,0.9283908045977012,0.8585333333333333,0.04484072993280025,0.8505977011494252,0.07441379310344831,5,0,2.56,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.40466666666666673,0.7105977011494253,0.5501195402298851,0.10649610858684262,0.5660000000000001,0.1346666666666667,5,0,2.56,maximize
stats.alpha_precision.authenticity_OC,0.43,0.58,0.506,0.05161395160225576,0.52,0.06000000000000005,5,0,2.56,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.6380000000000001,0.7612873563218391,0.7072045977011493,0.044568945819155666,0.6946666666666665,0.0579310344827586,5,0,2.56,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.5386666666666666,0.6119310344827587,0.5691448275862069,0.030865057840243414,0.5525977011494253,0.058666666666666756,5,0,2.56,maximize
stats.alpha_precision.authenticity_naive,0.45,0.51,0.48599999999999993,0.025768197453450246,0.5,0.04999999999999999,5,0,2.56,maximize
performance.linear_model.gt,0.9254901960784313,0.9899509803921568,0.9680147058823529,0.022915814705774137,0.9692401960784314,0.01715686274509809,5,0,0.09,maximize
performance.linear_model.syn_id,0.8982843137254902,0.9837009803921569,0.9552450980392158,0.032066599015100325,0.9742647058823529,0.036887254901960875,5,0,0.09,maximize
performance.linear_model.syn_ood,0.923076923076923,1.0,0.9846153846153847,0.030769230769230795,1.0,0.0,5,0,0.09,maximize
performance.mlp.gt,0.5,0.6735294117647058,0.5347058823529411,0.06941176470588233,0.5,0.0,5,0,3.15,maximize
performance.mlp.syn_id,0.5,0.5,0.5,0.0,0.5,0.0,5,0,3.15,maximize
performance.mlp.syn_ood,0.5,0.5,0.5,0.0,0.5,0.0,5,0,3.15,maximize
performance.xgb.gt,0.9450980392156861,0.9823529411764707,0.9666299019607842,0.012629067420288473,0.966421568627451,0.011703431372549034,5,0,0.37,maximize
performance.xgb.syn_id,0.8863970588235294,0.9939950980392157,0.954828431372549,0.036173398429519915,0.9666666666666667,0.008210784313725683,5,0,0.37,maximize
performance.xgb.syn_ood,0.8571428571428572,0.989010989010989,0.9505494505494505,0.048401572627571915,0.9780219780219778,0.027472527472527708,5,0,0.37,maximize
performance.feat_rank_distance.corr,0.19888289894086028,0.6043172693556483,0.4754624266708788,0.14660708208207684,0.5356668872477135,0.11759170907490774,5,0,0.1,minimize
performance.feat_rank_distance.pvalue,0.0003642908816102566,0.2451721340496651,0.0524815790798329,0.09644057802276039,0.002600401438617244,0.010714881689498218,5,0,0.1,minimize
detection.detection_xgb.mean,0.918579736761555,0.9661679180395758,0.9478438574695259,0.01720689393114339,0.9454527449179855,0.019679864599650654,5,0,0.15,minimize
detection.detection_mlp.mean,0.4897459442913988,0.5560597057923261,0.5124885215794307,0.0229336424956962,0.5049019607843137,0.011734997029114624,5,0,1.28,minimize
detection.detection_gmm.mean,0.4778398962890941,0.5017825311942959,0.49398980896307093,0.009024521756603785,0.5,0.00967338266803508,5,0,0.18,minimize
detection.detection_linear.mean,0.4646464646464647,0.6812960262158123,0.5991663515727688,0.075265680169441,0.5965807810727597,0.06270368569833806,5,0,0.82,minimize
privacy.delta-presence.score,1.5454545440495866,2.3333333255555555,1.8490909061439915,0.2701725440730668,1.7999999982,0.23333333328518502,5,0,0.04,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.05,maximize
privacy.k-anonymization.syn,1.00000001,3.00000001,1.60000001,0.8,1.00000001,1.0,5,0,0.05,maximize
privacy.k-map.score,2.0,6.0,4.2,1.6,4.0,3.0,5,0,0.04,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.08,maximize
privacy.distinct l-diversity.syn,1.00000001,3.00000001,1.60000001,0.8,1.00000001,1.0,5,0,0.08,maximize
privacy.identifiability_score.score,0.46,0.62,0.524,0.056780278266313565,0.51,0.07000000000000006,5,0,0.09,minimize
privacy.identifiability_score.score_OC,0.41,0.66,0.526,0.08260750571225356,0.53,0.07000000000000006,5,0,0.09,minimize
