,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.21654562533602978,0.23114888559848487,0.22463881744735797,0.0054657151606357654,0.2261488222205898,0.008855131572133995,5,0,0.0,minimize
sanity.close_values_probability.score,0.63,0.65,0.6439999999999999,0.008000000000000007,0.65,0.010000000000000009,5,0,0.0,maximize
sanity.distant_values_probability.score,0.02,0.02,0.02,0.0,0.02,0.0,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.038392083613902984,0.03928201857417834,0.03890743149364152,0.00034024832841105565,0.03910739882669698,0.0005122617802680307,5,0,0.08,minimize
stats.chi_squared_test.marginal,0.033389969001232034,0.03553750814086796,0.03482489040242841,0.0007841803897642054,0.03482973336458705,0.0007077747762809089,5,0,0.02,maximize
stats.inv_kl_divergence.marginal,0.15361758464825445,0.16992239215420338,0.16294796383609886,0.00625899337039559,0.16322862831321164,0.01076514603203474,5,0,0.01,maximize
stats.ks_test.marginal,0.64625,0.6575,0.6523333333333334,0.003638146658823834,0.6525,0.002083333333333215,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.0226830932129125,0.022766592258338478,0.022702500409617757,3.211299991214622e-05,0.022686596420287572,3.072234195003465e-06,5,0,0.01,minimize
stats.wasserstein_dist.joint,0.5232675593277935,0.5474202804505326,0.5367142445477715,0.008625590677253055,0.5409396483395403,0.010734546042832194,5,0,0.01,minimize
stats.prdc.precision,0.97,0.99,0.984,0.008000000000000007,0.99,0.010000000000000009,5,0,0.01,maximize
stats.prdc.recall,0.16,0.36,0.29000000000000004,0.07127411872482184,0.33,0.06,5,0,0.01,maximize
stats.prdc.density,1.4260000000000002,1.534,1.4684,0.03797683504453733,1.47,0.040000000000000036,5,0,0.01,maximize
stats.prdc.coverage,0.7,0.71,0.704,0.00489897948556636,0.7,0.010000000000000009,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.1326666666666666,0.18599999999999983,0.1717333333333333,0.019684624569557954,0.18066666666666664,0.002000000000000113,5,0,0.56,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.22199999999999998,0.39091954022988495,0.3140965517241379,0.06468388801911482,0.2904597701149426,0.10218390804597699,5,0,0.56,maximize
stats.alpha_precision.authenticity_OC,0.52,0.91,0.6599999999999999,0.13870832707519762,0.61,0.1399999999999999,5,0,0.56,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.3973333333333334,0.44733333333333325,0.4112,0.018510777641387376,0.404,0.009999999999999898,5,0,0.56,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.19933333333333336,0.23733333333333329,0.21986666666666665,0.015245545797598258,0.22466666666666668,0.028666666666666618,5,0,0.56,maximize
stats.alpha_precision.authenticity_naive,0.62,0.69,0.6620000000000001,0.023999999999999997,0.66,0.020000000000000018,5,0,0.56,maximize
performance.linear_model.gt,0.7126068376068376,0.7822039072039072,0.7402167277167278,0.024419852716124065,0.7364926739926739,0.02777777777777779,5,0,0.17,maximize
performance.linear_model.syn_id,0.6746031746031745,0.7896825396825397,0.711462148962149,0.042049379068602684,0.7087912087912088,0.03487484737484736,5,0,0.17,maximize
performance.linear_model.syn_ood,0.5353535353535354,0.5707070707070707,0.5505050505050504,0.011951676329494185,0.5454545454545454,0.010101010101010166,5,0,0.17,maximize
performance.mlp.gt,0.5268620268620269,0.7932692307692308,0.6536477411477412,0.08713652672216665,0.668040293040293,0.060286935286935295,5,0,3.09,maximize
performance.mlp.syn_id,0.36782661782661785,0.7593864468864467,0.666620879120879,0.15051399011442868,0.7467948717948718,0.045634920634920584,5,0,3.09,maximize
performance.mlp.syn_ood,0.505050505050505,0.6919191919191919,0.5818181818181818,0.06935209654049243,0.5757575757575758,0.10606060606060608,5,0,3.09,maximize
performance.xgb.gt,0.7165750915750916,0.8139499389499388,0.7497100122100122,0.035709080425904226,0.7326007326007327,0.03899572649572647,5,0,0.4,maximize
performance.xgb.syn_id,0.7450396825396824,0.8185286935286934,0.780631868131868,0.027812624897163296,0.7915140415140415,0.04380341880341876,5,0,0.4,maximize
performance.xgb.syn_ood,0.4545454545454544,0.5959595959595959,0.5333333333333333,0.04797713974560777,0.5353535353535355,0.0505050505050505,5,0,0.4,maximize
performance.feat_rank_distance.corr,-0.4105263157894737,0.10526315789473685,-0.11789473684210527,0.18998760711879542,-0.09473684210526316,0.2947368421052632,5,0,0.09,minimize
performance.feat_rank_distance.pvalue,0.011101359934968412,0.7732194749063227,0.4116891288150648,0.2861028978067011,0.5424221448910934,0.44001422761348485,5,0,0.09,minimize
detection.detection_xgb.mean,0.9996939087848178,1.0,0.9999387817569636,0.0001224364860728855,1.0,0.0,5,0,0.11,minimize
detection.detection_mlp.mean,0.5326797385620915,0.8608005185545293,0.7055348493851168,0.14450798966768444,0.7577558112317471,0.3069194619996759,5,0,1.1,minimize
detection.detection_gmm.mean,0.4521687462863933,0.5050505050505051,0.48000594177064765,0.02042439906623678,0.47964943553178846,0.03683897801544861,5,0,0.04,minimize
detection.detection_linear.mean,0.9548245377122383,0.9858477826392265,0.9722177208808225,0.01215302291941354,0.9781054754316787,0.020652154341993967,5,0,0.36,minimize
privacy.delta-presence.score,1.4285714280612245,4.999999950000001,2.6260215647952867,1.2791280195167878,2.1052631567867035,1.1180124210755757,5,0,0.02,maximize
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0,2.0,0.0,5,0,0.03,maximize
privacy.k-anonymization.syn,1.00000001,6.00000001,3.20000001,1.7204650534085253,3.00000001,2.0,5,0,0.03,maximize
privacy.k-map.score,1.0,8.0,5.6,2.4166091947189146,6.0,1.0,5,0,0.02,maximize
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0,2.0,0.0,5,0,0.05,maximize
privacy.distinct l-diversity.syn,1.00000001,6.00000001,3.20000001,1.7204650534085253,3.00000001,2.0,5,0,0.05,maximize
privacy.identifiability_score.score,0.3,0.38,0.346,0.025768197453450253,0.35,0.0,5,0,0.04,minimize
privacy.identifiability_score.score_OC,0.15,0.31,0.22799999999999998,0.0530659966456864,0.23,0.04999999999999999,5,0,0.04,minimize
