Unnamed: 0,min,max,mean,stddev,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.1197541385650822,0.1761889221364767,0.1489484239742672,0.0253414890489937,minimize
sanity.close_values_probability.score,0.77,0.89,0.842,0.0506951674225462,maximize
sanity.distant_values_probability.score,0.02,0.03,0.026,0.0054772255750516,minimize
stats.jensenshannon_dist.marginal,0.0105900478573573,0.0135008900981025,0.012020343632939,0.0010846752931311,minimize
stats.chi_squared_test.marginal,0.1818177742039232,0.3636327207395005,0.2896978589904614,0.0755314391313237,maximize
stats.inv_kl_divergence.marginal,0.5948491529493241,0.7166688723967333,0.6530277612372897,0.0440408789157225,maximize
stats.ks_test.marginal,0.8763636363636365,0.8872727272727272,0.8827272727272728,0.0040655781409086,maximize
stats.max_mean_discrepancy.joint,0.0199152429442048,0.0199999999999468,0.0199743356726369,3.803071235697199e-05,minimize
stats.wasserstein_dist.joint,0.0563563773110061,0.078536898969622,0.0653295433970905,0.0096353676596252,minimize
stats.alpha_precision.delta_precision_alpha_OC,0.3066666666666667,0.4373333333333332,0.3576,0.0486680365104014,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.2806666666666667,0.3573333333333334,0.3233333333333334,0.0339214779552228,maximize
stats.alpha_precision.authenticity_OC,0.52,0.71,0.6040000000000001,0.0789303490426844,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.7326666666666666,0.8513333333333334,0.764,0.0491437799839523,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.4566666666666668,0.5766666666666668,0.5073333333333334,0.0468686106756608,maximize
stats.alpha_precision.authenticity_naive,0.39,0.5,0.456,0.0409878030638383,maximize
stats.prdc.precision,0.97,1.0,0.988,0.0130384048104053,maximize
stats.prdc.recall,0.92,0.95,0.936,0.0114017542509913,maximize
stats.prdc.density,1.008,1.148,1.0880000000000003,0.0543507129668048,maximize
stats.prdc.coverage,0.96,0.99,0.972,0.0130384048104053,maximize
performance.linear_model.gt,0.8175824175824176,0.8175824175824176,0.8175824175824176,0.0,maximize
performance.linear_model.syn_id,0.8195054945054945,0.8659340659340661,0.8449175824175825,0.0196534206591586,maximize
performance.linear_model.syn_ood,0.8087912087912088,0.8659340659340659,0.8408791208791209,0.0219560329560301,maximize
performance.mlp.gt,0.6180303030303029,0.6180303030303029,0.6180303030303029,0.0,maximize
performance.mlp.syn_id,0.431060606060606,0.635,0.5301515151515152,0.0798836246064055,maximize
performance.mlp.syn_ood,0.3076923076923077,0.5274725274725274,0.4263736263736263,0.0894946836069817,maximize
performance.xgb.gt,0.9208791208791208,0.9208791208791208,0.9208791208791208,0.0,maximize
performance.xgb.syn_id,0.8929945054945054,0.9684065934065934,0.922445054945055,0.0301897328142406,maximize
performance.xgb.syn_ood,0.8901098901098902,0.9692307692307692,0.918241758241758,0.0310582967946188,maximize
performance.feat_rank_distance.corr,0.2105263157894737,0.4947368421052631,0.3473684210526316,0.1044707012698905,minimize
performance.feat_rank_distance.pvalue,0.0018397012253973,0.2086283978138674,0.0656793325610618,0.082787020368325,minimize
detection.detection_xgb.mean,0.588,0.6680000000000001,0.6207,0.0295711007573273,minimize
detection.detection_mlp.mean,0.4715,0.5589999999999999,0.5169,0.0318735783996714,minimize
detection.detection_gmm.mean,0.4669999999999999,0.5507499999999999,0.505,0.0362814518728233,minimize
detection.detection_linear.mean,0.47,0.5525,0.5201,0.0358685098658976,minimize
privacy.delta-presence.score,1.5999999968,3.99999998,2.853333314915556,0.8607490202475897,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,maximize
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,maximize
privacy.k-map.score,1.0,2.0,1.2,0.447213595499958,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,maximize
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,maximize
privacy.identifiability_score.score,0.5,0.6,0.562,0.0376828873628335,minimize
privacy.identifiability_score.score_OC,0.17,0.32,0.242,0.0589067059000925,minimize
