,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.09420270796126184,0.15202025364638572,0.12442446251368713,0.020856692265378826,0.13402597245789769,0.02769865725736924,5,0,0.0,minimize
sanity.close_values_probability.score,0.78,0.94,0.866,0.058514955353311165,0.86,0.09000000000000008,5,0,0.0,maximize
sanity.distant_values_probability.score,0.01,0.02,0.012,0.004,0.01,0.0,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.008824978476442648,0.013246567725911233,0.010974868202216425,0.0015958382101739456,0.01054593238170543,0.0023322539618659197,5,0,0.04,minimize
stats.chi_squared_test.marginal,0.350634982841398,0.5439231851734448,0.4861969089665882,0.07577469354159919,0.539511801020411,0.08782426349590156,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.6810880919470208,0.8570983167054922,0.8049094137697933,0.0638104337788513,0.8333073028875426,0.03353814482418915,5,0,0.01,maximize
stats.ks_test.marginal,0.8690909090909092,0.9009090909090909,0.8856363636363638,0.011942008635398512,0.8900000000000001,0.019090909090909047,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.019800000135959225,0.02039999999995489,0.02008000007435714,0.00020396077096746572,0.019999999999972897,0.00020000023596960376,5,0,0.01,minimize
stats.wasserstein_dist.joint,0.05671891807661745,0.07926626492661479,0.07297972258977778,0.008216254924257406,0.0761548168031719,0.0008992009518129923,5,0,0.01,minimize
stats.prdc.precision,0.96,0.99,0.976,0.01019803902718558,0.98,0.010000000000000009,5,0,0.0,maximize
stats.prdc.recall,0.94,0.97,0.954,0.01019803902718558,0.95,0.010000000000000009,5,0,0.0,maximize
stats.prdc.density,0.9900000000000001,1.092,1.0240000000000002,0.03959797974644667,0.9980000000000001,0.052000000000000046,5,0,0.0,maximize
stats.prdc.coverage,0.92,1.0,0.97,0.026832815729997458,0.98,0.010000000000000009,5,0,0.0,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.20133333333333325,0.4126666666666666,0.28665287356321845,0.07658925123460193,0.2526666666666667,0.09993103448275875,5,0,0.11,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.1326666666666667,0.3859999999999999,0.2531862068965517,0.09854873735650817,0.2626666666666666,0.17926436781609212,5,0,0.11,maximize
stats.alpha_precision.authenticity_OC,0.49,0.69,0.5960000000000001,0.07735631842325487,0.57,0.13,5,0,0.11,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8133333333333332,0.9566896551724138,0.9012091954022988,0.05073335536454415,0.9111494252873563,0.05862068965517242,5,0,0.11,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.515264367816092,0.5826666666666667,0.5405195402298849,0.024284662285102763,0.5266666666666666,0.025999999999999912,5,0,0.11,maximize
stats.alpha_precision.authenticity_naive,0.45,0.51,0.47400000000000003,0.0233238075793812,0.47,0.03999999999999998,5,0,0.11,maximize
performance.linear_model.gt,0.7054224158799322,0.8814572742677317,0.778959089808763,0.06548567820905363,0.7789397240377633,0.1010893246187361,5,0,0.11,maximize
performance.linear_model.syn_id,0.7342047930283225,0.8799806342290002,0.7810748002904866,0.05179932067702503,0.7645122246429435,0.03265553134834187,5,0,0.11,maximize
performance.linear_model.syn_ood,0.6263736263736264,0.923076923076923,0.8175824175824176,0.10109890109890109,0.8461538461538461,0.04395604395604391,5,0,0.11,maximize
performance.mlp.gt,0.3709150326797386,0.6571895424836601,0.5471072379569112,0.10523679630623425,0.5726579520697168,0.14653836843379336,5,0,3.46,maximize
performance.mlp.syn_id,0.5,0.6155047204066811,0.53840232389252,0.04862294445557172,0.5,0.07650689905591868,5,0,3.46,maximize
performance.mlp.syn_ood,0.49450549450549447,0.5384615384615384,0.5065934065934066,0.01607553718497559,0.5,0.0,5,0,3.46,maximize
performance.xgb.gt,0.7085935608811426,0.8849915274751875,0.7907576857903654,0.06063371640201282,0.8040183974824497,0.06715081094166053,5,0,0.39,maximize
performance.xgb.syn_id,0.7794722827402566,0.8842411038489469,0.8223626240619705,0.041526602491094584,0.8002662793512467,0.07015250544662321,5,0,0.39,maximize
performance.xgb.syn_ood,0.5824175824175825,0.9450549450549449,0.7934065934065934,0.15233163473550287,0.8791208791208791,0.2857142857142857,5,0,0.39,maximize
performance.feat_rank_distance.corr,0.042105263157894736,0.3684210526315789,0.20210526315789473,0.10576721420699343,0.22105263157894736,0.06315789473684211,5,0,0.08,minimize
performance.feat_rank_distance.pvalue,0.02373449564495179,0.8226828854421667,0.3139156650069159,0.2746774800437216,0.18588304288709082,0.16551181528618866,5,0,0.08,minimize
detection.detection_xgb.mean,0.45833558400403324,0.5969228830191396,0.5240623705864348,0.053539617021382234,0.5108932461873639,0.09499630890005223,5,0,0.15,minimize
detection.detection_mlp.mean,0.47687210788815065,0.5232584310124416,0.5058184338933003,0.018278460757363547,0.5184509983975225,0.027138587299015138,5,0,1.29,minimize
detection.detection_gmm.mean,0.49555717603845945,0.5308972073677957,0.5159257458722699,0.013372565454004913,0.5157907056302778,0.021899025909721037,5,0,0.17,minimize
detection.detection_linear.mean,0.4907902554961378,0.6028016348871964,0.5246565476512,0.040134401529711525,0.508012387691532,0.016817011469417942,5,0,0.13,minimize
privacy.delta-presence.score,1.7999999964,4.999999950000001,2.988571405239184,1.1112192067767555,2.9999999700000006,0.8571428302040824,5,0,0.04,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.05,maximize
privacy.k-anonymization.syn,1.00000001,2.00000001,1.20000001,0.4000000000000001,1.00000001,0.0,5,0,0.05,maximize
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.04,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.08,maximize
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.20000001,0.4000000000000001,1.00000001,0.0,5,0,0.08,maximize
privacy.identifiability_score.score,0.46,0.54,0.5040000000000001,0.028705400188814654,0.5,0.040000000000000036,5,0,0.02,minimize
privacy.identifiability_score.score_OC,0.17,0.41,0.282,0.0917387595294377,0.29,0.15999999999999998,5,0,0.02,minimize
