,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.009999999999,0.0039999999996,0.0048989794850764585,0.0,0.009999999999,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.401495525407976,0.7234338683815861,0.5333762642270555,0.13138991272353362,0.46439500233605485,0.2365812404842057,5,0,0.0,minimize
sanity.close_values_probability.score,0.01,0.08,0.048,0.03187475490101845,0.06,0.07,5,0,0.0,maximize
sanity.distant_values_probability.score,0.01,0.39,0.132,0.13481839637082174,0.08,0.08,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.010641415319918829,0.016025754777304925,0.013024279675758648,0.0017832088511280562,0.01276424963030439,0.0014699442345459477,5,0,0.03,minimize
stats.chi_squared_test.marginal,0.8799705025963487,0.9969520071938689,0.9716057498058909,0.045844760184466794,0.9944022557187666,0.0027495916115923835,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.9494174875982316,0.9914890515646044,0.9802668265558732,0.01603021581771903,0.9892754093447815,0.011805751283218813,5,0,0.01,maximize
stats.ks_test.marginal,0.9222222222222223,0.9466666666666667,0.9366666666666668,0.009787873575797844,0.9422222222222223,0.016666666666666496,5,0,0.0,maximize
stats.max_mean_discrepancy.joint,0.019879318345894514,0.020687197153131814,0.020272004716216974,0.00031698083160914376,0.02020701989779695,0.0005842459141942036,5,0,0.0,minimize
stats.wasserstein_dist.joint,0.33398774388950453,0.36341788096788,0.34668557278386014,0.011372474369765498,0.34177047333289606,0.019021825470359244,5,0,0.01,minimize
stats.prdc.precision,0.96,0.98,0.976,0.008000000000000007,0.98,0.0,5,0,0.0,maximize
stats.prdc.recall,0.9,0.98,0.95,0.02756809750418043,0.95,0.020000000000000018,5,0,0.0,maximize
stats.prdc.density,0.766,0.932,0.8192,0.058577811498894364,0.792,0.026000000000000023,5,0,0.0,maximize
stats.prdc.coverage,0.88,0.96,0.9359999999999999,0.02870540018881463,0.95,0.010000000000000009,5,0,0.0,maximize
