,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.019999999998,0.0119999999988,0.0074833147727995505,0.009999999999,0.009999999999,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.4343999462199077,0.6881858810540906,0.6195848400158865,0.09485549116387884,0.652436546213186,0.05298117616784326,5,0,0.0,minimize
sanity.close_values_probability.score,0.01,0.09,0.03,0.030331501776206204,0.02,0.01,5,0,0.0,maximize
sanity.distant_values_probability.score,0.03,0.34,0.17200000000000001,0.12056533498481228,0.1,0.18999999999999997,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.008436181303840119,0.01154767187014947,0.010345237901554349,0.0013014565660844585,0.011280692887688393,0.002225912518506762,5,0,0.03,minimize
stats.chi_squared_test.marginal,0.9913075242706972,0.9962864349095373,0.9933292297573741,0.0017595985550098718,0.9935486483582169,0.0019664777465199235,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.9913322321945045,0.996005139479521,0.9939262034963088,0.001544808410148935,0.994172455793714,0.0012527895539469203,5,0,0.01,maximize
stats.ks_test.marginal,0.9444444444444444,0.9622222222222222,0.9511111111111109,0.006554613868334516,0.9488888888888888,0.008888888888888946,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.019520246324024045,0.019980286967168834,0.019675616673138364,0.00016756013203157792,0.019588586667099627,0.00016676367223516717,5,0,0.0,minimize
stats.wasserstein_dist.joint,0.2924017232032158,0.32186917934662695,0.31153093618394456,0.010460930799699345,0.3136627520060302,0.00976037912761657,5,0,0.01,minimize
stats.prdc.precision,0.96,0.98,0.97,0.006324555320336764,0.97,0.0,5,0,0.01,maximize
stats.prdc.recall,0.96,0.99,0.9800000000000001,0.010954451150103333,0.98,0.010000000000000009,5,0,0.01,maximize
stats.prdc.density,0.706,0.794,0.744,0.03009318859808647,0.7440000000000001,0.03200000000000003,5,0,0.01,maximize
stats.prdc.coverage,0.95,0.98,0.9639999999999999,0.01019803902718558,0.96,0.010000000000000009,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.019999999999999907,0.060000000000000164,0.04573333333333336,0.014724733538430497,0.046666666666666634,0.018000000000000016,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.020000000000000018,0.1233333333333333,0.0708,0.04200613711775403,0.07266666666666655,0.08333333333333326,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.76,1.0,0.916,0.08452218643646174,0.95,0.06999999999999995,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.9208275862068965,0.9536091954022988,0.9369747126436782,0.013162011499146324,0.9312643678160919,0.023770114942528786,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.4993333333333333,0.6146666666666667,0.5672,0.04061614347905415,0.5626666666666666,0.04600000000000004,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.39,0.47,0.45,0.03098386676965932,0.47,0.019999999999999962,5,0,0.1,maximize
performance.linear_model.gt,0.583752476756592,0.6276482243560433,0.6135650053345526,0.01589356899107632,0.6203322664228014,0.01341258954427671,5,0,0.14,maximize
performance.linear_model.syn_id,0.6040237768632831,0.6271909769852156,0.6197835695778082,0.008099346986917026,0.6223136716963877,0.0016765736930346442,5,0,0.14,maximize
performance.linear_model.syn_ood,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.14,maximize
performance.mlp.gt,0.4458161865569273,0.5067825026672764,0.47544581618655696,0.022142998324074185,0.47469897881420514,0.03436976070720921,5,0,3.35,maximize
performance.mlp.syn_id,0.4406340496875476,0.5320073159579333,0.5000152415790275,0.0344116714631818,0.5147843316567596,0.046334400243865315,5,0,3.35,maximize
performance.mlp.syn_ood,0.0,0.0,0.0,0.0,0.0,0.0,5,0,3.35,maximize
performance.xgb.gt,0.6242950769699741,0.6564548087181832,0.6423106233805822,0.011710215366782196,0.6448712086572169,0.01752781588172536,5,0,0.47,maximize
performance.xgb.syn_id,0.612406645328456,0.659045877152873,0.6352385307117817,0.018215160018462132,0.6334400243865265,0.03368388965096791,5,0,0.47,maximize
performance.xgb.syn_ood,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.47,maximize
performance.feat_rank_distance.corr,0.5501228331211486,0.7032068439311123,0.6083844588381837,0.058590686517690733,0.592871442917005,0.09291376186474765,5,0,0.19,minimize
performance.feat_rank_distance.pvalue,2.769795841550493e-19,2.119601277357912e-12,6.960742557305927e-13,8.746559187131903e-13,3.631457495180529e-14,1.32407906371584e-12,5,0,0.19,minimize
detection.detection_xgb.mean,0.39031131277120584,0.5044293199373413,0.46144421037469163,0.0396399982161575,0.46477700354705703,0.035497578278327,5,0,0.12,minimize
detection.detection_mlp.mean,0.39149066421793693,0.589126559714795,0.4860332379048956,0.06942287554972866,0.4862213939754047,0.09479374853706407,5,0,1.04,minimize
detection.detection_gmm.mean,0.48309746304398704,0.5202020202020202,0.4971992653810836,0.01239925889694061,0.49282486180881907,0.004762419200921908,5,0,0.08,minimize
detection.detection_linear.mean,0.3965996867066386,0.5163038585498478,0.4448054520247034,0.044954746550268626,0.4252687300815643,0.06752912367885627,5,0,0.04,minimize
privacy.delta-presence.score,1.3333333318518517,1.9999999966666666,1.552380950134826,0.2320176701723417,1.4999999975,0.07142857159438765,5,0,0.02,maximize
privacy.k-anonymization.gt,5.0,5.0,5.0,0.0,5.0,0.0,5,0,0.03,maximize
privacy.k-anonymization.syn,4.00000001,8.00000001,5.800000010000001,1.32664991614216,6.00000001,1.0,5,0,0.03,maximize
privacy.k-map.score,5.0,7.0,6.0,0.6324555320336759,6.0,0.0,5,0,0.02,maximize
privacy.distinct l-diversity.gt,5.0,5.0,5.0,0.0,5.0,0.0,5,0,0.04,maximize
privacy.distinct l-diversity.syn,4.00000001,8.00000001,5.800000010000001,1.32664991614216,6.00000001,1.0,5,0,0.04,maximize
privacy.identifiability_score.score,0.32,0.41,0.354,0.03072458299147442,0.34,0.019999999999999962,5,0,0.02,minimize
privacy.identifiability_score.score_OC,0.03,0.08,0.057999999999999996,0.019390719429665314,0.05,0.03,5,0,0.02,minimize
