,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.009999999999,0.0019999999998,0.003999999999599999,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.4251311384772414,0.6424524309000751,0.501598786662403,0.07648512081060016,0.4893031794992797,0.0641082202252492,5,0,0.0,minimize
sanity.close_values_probability.score,0.01,0.07,0.048,0.02135415650406262,0.06,0.019999999999999997,5,0,0.0,maximize
sanity.distant_values_probability.score,0.02,0.11,0.06200000000000001,0.0331058907144937,0.07,0.05,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.011127154747729176,0.016982820636005765,0.01422011563412955,0.002437807087659748,0.015503082116464919,0.004564151459940649,5,0,0.03,minimize
stats.chi_squared_test.marginal,0.9849086644447436,0.9978090640409418,0.9907005614142843,0.004616079491546255,0.9895146099580856,0.006488305348213652,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.9834465052516984,0.9908302002991287,0.9865602560688622,0.0023886289654711152,0.9863185691926765,0.0004965886493077942,5,0,0.01,maximize
stats.ks_test.marginal,0.9155555555555556,0.9466666666666667,0.9317777777777778,0.012444444444444414,0.9288888888888889,0.023333333333333206,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.01965130521685828,0.020389146508179093,0.020064909765584858,0.00029725643583055933,0.020107284421631372,0.0005704541448450437,5,0,0.0,minimize
stats.wasserstein_dist.joint,0.30914408227168755,0.3514544686690965,0.33135471658941235,0.014532187515135868,0.33140680150773894,0.01769112904109532,5,0,0.01,minimize
stats.prdc.precision,0.94,0.99,0.966,0.02059126028197402,0.96,0.040000000000000036,5,0,0.01,maximize
stats.prdc.recall,0.96,0.98,0.976,0.008000000000000007,0.98,0.0,5,0,0.01,maximize
stats.prdc.density,0.7400000000000001,0.774,0.76,0.012837445228704947,0.768,0.018000000000000016,5,0,0.01,maximize
stats.prdc.coverage,0.89,0.96,0.9259999999999999,0.023323807579381177,0.92,0.019999999999999907,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.011333333333333306,0.05599999999999994,0.035466666666666646,0.016692779543529844,0.029333333333333322,0.024666666666666615,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.03200000000000014,0.12526436781609196,0.07983908045977021,0.03655993546167465,0.09793103448275875,0.06133333333333335,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.79,0.98,0.9099999999999999,0.06782329983125267,0.91,0.06999999999999995,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.9191724137931034,0.9420919540229885,0.9279494252873564,0.008409764753888698,0.9240229885057472,0.010965517241379397,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.484,0.5553333333333333,0.5122666666666665,0.024860857230236906,0.502,0.02533333333333332,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.42,0.49,0.44799999999999995,0.03059411708155671,0.43,0.06,5,0,0.1,maximize
performance.linear_model.gt,0.583752476756592,0.6276482243560433,0.6135650053345526,0.01589356899107632,0.6203322664228014,0.01341258954427671,5,0,0.14,maximize
performance.linear_model.syn_id,0.5698826398414876,0.6165218716659046,0.5942691662856272,0.01685693834805484,0.5939643347050755,0.025605852766346526,5,0,0.14,maximize
performance.linear_model.syn_ood,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.14,maximize
performance.mlp.gt,0.4458161865569273,0.5067825026672764,0.47544581618655696,0.022142998324074185,0.47469897881420514,0.03436976070720921,5,0,3.14,maximize
performance.mlp.syn_id,0.4571711629324798,0.48971193415637865,0.4741655235482396,0.010594267981104745,0.472488949855205,0.006782502667276313,5,0,3.14,maximize
performance.mlp.syn_ood,0.0,0.0,0.0,0.0,0.0,0.0,5,0,3.14,maximize
performance.xgb.gt,0.6242950769699741,0.6564548087181832,0.6423106233805822,0.011710215366782196,0.6448712086572169,0.01752781588172536,5,0,0.49,maximize
performance.xgb.syn_id,0.5947264136564548,0.6323731138545954,0.609266880048773,0.01300120092138019,0.6034141137021796,0.011126352690138619,5,0,0.49,maximize
performance.xgb.syn_ood,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.49,maximize
performance.feat_rank_distance.corr,0.23627384001348578,0.44275125401943527,0.3258173946300146,0.07271179795063933,0.2932531464919379,0.08566956354778049,5,0,0.15,minimize
performance.feat_rank_distance.pvalue,1.0126395098546683e-08,0.0022283553403962693,0.0005198363779103318,0.0008584894748468166,0.0001497178993844052,0.00021792172914964847,5,0,0.15,minimize
detection.detection_xgb.mean,0.47937935504780427,0.5439510974270333,0.5136363636363637,0.024747739285223138,0.5101100127838095,0.043113847926682214,5,0,0.12,minimize
detection.detection_mlp.mean,0.4436161976268928,0.5852644087938206,0.49229910513332975,0.05093202454513438,0.4730909811123715,0.050487045139451514,5,0,1.04,minimize
detection.detection_gmm.mean,0.48325050865157815,0.5314193629701651,0.5120212823421381,0.018630547230859457,0.514368281747961,0.03166243540575092,5,0,0.07,minimize
detection.detection_linear.mean,0.39982264714885035,0.5486324924827599,0.48291200777831794,0.05504011484094082,0.5025297538666522,0.08410306271268836,5,0,0.04,minimize
privacy.delta-presence.score,1.5714285691836736,2.9999999925000003,2.3142857090034012,0.5813425671483382,1.9999999966666666,0.9999999933333334,5,0,0.02,maximize
privacy.k-anonymization.gt,5.0,5.0,5.0,0.0,5.0,0.0,5,0,0.03,maximize
privacy.k-anonymization.syn,5.00000001,6.00000001,5.20000001,0.39999999999999997,5.00000001,0.0,5,0,0.03,maximize
privacy.k-map.score,3.0,6.0,4.2,1.16619037896906,4.0,2.0,5,0,0.02,maximize
privacy.distinct l-diversity.gt,5.0,5.0,5.0,0.0,5.0,0.0,5,0,0.04,maximize
privacy.distinct l-diversity.syn,5.00000001,6.00000001,5.20000001,0.39999999999999997,5.00000001,0.0,5,0,0.04,maximize
privacy.identifiability_score.score,0.26,0.4,0.35,0.047749345545253286,0.37,0.020000000000000018,5,0,0.02,minimize
privacy.identifiability_score.score_OC,0.06,0.12,0.088,0.024819347291981715,0.09,0.05,5,0,0.02,minimize
