,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.24,0.24,0.24,0.0,0.24,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.06953814894325704,0.18751352676247707,0.1352109911408747,0.038086680658014425,0.13987821765923025,0.017020221993089002,5,0,0.04,minimize
sanity.close_values_probability.score,0.75,0.95,0.844,0.06711184694225004,0.86,0.05999999999999994,5,0,0.01,maximize
sanity.distant_values_probability.score,0.01,0.02,0.016,0.004898979485566356,0.02,0.01,5,0,0.01,minimize
stats.jensenshannon_dist.marginal,0.019274530627023532,0.0245482757135589,0.021239838485405012,0.0020813790231763506,0.020129278786691494,0.003344282927441166,5,0,0.1,minimize
stats.chi_squared_test.marginal,0.20655392002399023,0.2439482330894663,0.21465025424637124,0.014659620881149233,0.20724044508783465,0.0010840620742087748,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.4766704720376394,0.5197983489096183,0.4946290968981201,0.016350302704100355,0.48927132395781214,0.026466441908114813,5,0,0.01,maximize
stats.ks_test.marginal,0.7333333333333333,0.7883333333333334,0.7630833333333333,0.01931392704184676,0.7675000000000001,0.025416666666666643,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.01999999999804422,0.019999999999348074,0.0199999999985937,5.377532924888652e-13,0.019999999998370186,1.0244548265259112e-12,5,0,0.01,minimize
stats.wasserstein_dist.joint,0.6067104525332132,0.6969555764272148,0.6532150846911777,0.029394374179798913,0.6603003017768393,0.019219707840357092,5,0,0.01,minimize
stats.prdc.precision,0.99,1.0,0.998,0.0040000000000000036,1.0,0.0,5,0,0.01,maximize
stats.prdc.recall,0.89,0.94,0.914,0.02059126028197399,0.92,0.040000000000000036,5,0,0.01,maximize
stats.prdc.density,1.17,1.298,1.2092000000000003,0.04554733801222635,1.1880000000000002,0.01399999999999979,5,0,0.01,maximize
stats.prdc.coverage,0.88,0.96,0.9279999999999999,0.027856776554368225,0.93,0.029999999999999916,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.42666666666666664,0.5833333333333334,0.5019862068965517,0.06011050483609462,0.5299310344827586,0.09400000000000008,5,0,2.51,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.30733333333333335,0.3746666666666667,0.3456000000000001,0.022305355610007425,0.3440000000000001,0.015333333333333421,5,0,2.51,maximize
stats.alpha_precision.authenticity_OC,0.45,0.6,0.53,0.05761944116355172,0.52,0.09999999999999998,5,0,2.51,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.772,0.9002068965517241,0.810174712643678,0.04691604417978693,0.8,0.03066666666666662,5,0,2.51,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.43399999999999994,0.5953333333333334,0.515319540229885,0.05953475428600815,0.494,0.08940229885057471,5,0,2.51,maximize
stats.alpha_precision.authenticity_naive,0.49,0.74,0.608,0.08541662601625048,0.61,0.09999999999999998,5,0,2.51,maximize
performance.linear_model.gt,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.13,maximize
performance.linear_model.syn_id,0.0,0.8846019723865878,0.23288686390532548,0.3434080182983085,0.0,0.27983234714003946,5,0,0.13,maximize
performance.linear_model.syn_ood,0.0,0.765625,0.3037916666666667,0.37208758862814967,0.0,0.7533333333333333,5,0,0.13,maximize
performance.mlp.gt,0.0,0.0,0.0,0.0,0.0,0.0,5,0,3.3,maximize
performance.mlp.syn_id,0.0,0.36006153846153843,0.1207302564102564,0.15238195470394494,0.0,0.24358974358974358,5,0,3.3,maximize
performance.mlp.syn_ood,0.0,0.4666666666666666,0.1620833333333333,0.20228040219238022,0.0,0.34375,5,0,3.3,maximize
performance.xgb.gt,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.66,maximize
performance.xgb.syn_id,0.0,0.9056339250493096,0.2380630111768573,0.3515241573493172,0.0,0.284681130834977,5,0,0.66,maximize
performance.xgb.syn_ood,0.0,0.8275,0.31784375000000004,0.3898329019031744,0.0,0.76171875,5,0,0.66,maximize
detection.detection_xgb.mean,0.9534831379751166,0.9746304398710817,0.9652820540521077,0.007278392833376135,0.9661229046255784,0.008516537928302537,5,0,0.13,minimize
detection.detection_mlp.mean,0.4717855921064477,0.5369875222816399,0.5059120617944147,0.021202583797164144,0.5057932263814617,0.0149939682025243,5,0,1.32,minimize
detection.detection_gmm.mean,0.4976232917409387,0.5227272727272728,0.5060705090116855,0.009357157238928555,0.5000090026827995,0.009992977907416378,5,0,0.11,minimize
detection.detection_linear.mean,0.6429716055384505,0.8219989556887953,0.7529357748609086,0.06019139875742546,0.760735699238373,0.03590269900430332,5,0,3.96,minimize
privacy.delta-presence.score,2.999999994,12.999999870000002,8.1999999228,3.187475450396443,7.999999920000001,0.9999999900000001,5,0,0.04,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.05,maximize
privacy.k-anonymization.syn,1.00000001,2.00000001,1.20000001,0.4000000000000001,1.00000001,0.0,5,0,0.05,maximize
privacy.k-map.score,1.0,2.0,1.2,0.4000000000000001,1.0,0.0,5,0,0.04,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.09,maximize
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.20000001,0.4000000000000001,1.00000001,0.0,5,0,0.09,maximize
privacy.identifiability_score.score,0.42,0.52,0.458,0.043081318457076044,0.43,0.08000000000000002,5,0,0.09,minimize
privacy.identifiability_score.score_OC,0.34,0.41,0.378,0.022271057451320072,0.38,0.0,5,0,0.09,minimize
