Unnamed: 0,min,max,mean,stddev,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.0117102007565469,0.0124600771515148,0.0121957630974368,0.0002866608418101,minimize
sanity.close_values_probability.score,0.99,0.99,0.99,0.0,maximize
sanity.distant_values_probability.score,0.01,0.01,0.01,0.0,minimize
stats.jensenshannon_dist.marginal,0.0106084503211742,0.0124642913824936,0.01188512425478,0.0007466620038227,minimize
stats.chi_squared_test.marginal,0.2737234168771921,0.4900194951568843,0.3594245823540328,0.0812673226416577,maximize
stats.inv_kl_divergence.marginal,0.687650991646231,0.7645115833753252,0.7105412397505175,0.0310877754902927,maximize
stats.ks_test.marginal,0.8616666666666667,0.8861111111111111,0.868,0.0101804702891684,maximize
stats.max_mean_discrepancy.joint,0.0199999375962595,0.0200000046886202,0.0199999891217978,2.8951593965875746e-08,minimize
stats.wasserstein_dist.joint,0.227791531515923,0.2499822889745068,0.2367121282873664,0.0095399556497371,minimize
stats.alpha_precision.delta_precision_alpha_OC,0.784,0.8906896551724138,0.8598942528735632,0.0444086900045379,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.509264367816092,0.668,0.5865195402298851,0.0660914914526541,maximize
stats.alpha_precision.authenticity_OC,0.39,0.48,0.45,0.0367423461417476,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.844,0.9263218390804596,0.8833977011494254,0.0354159751162345,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.308,0.4806666666666667,0.4016,0.0662949637772148,maximize
stats.alpha_precision.authenticity_naive,0.51,0.61,0.556,0.0384707681233426,maximize
stats.prdc.precision,0.98,1.0,0.99,0.0070710678118654,maximize
stats.prdc.recall,0.9,0.95,0.932,0.0216794833886787,maximize
stats.prdc.density,1.018,1.074,1.0364,0.0233837550449024,maximize
stats.prdc.coverage,0.9,0.96,0.928,0.0258843582110895,maximize
performance.linear_model.gt,0.7764705882352941,0.7764705882352941,0.7764705882352941,0.0,maximize
performance.linear_model.syn_id,0.475,0.7786764705882353,0.6953431372549019,0.1245649146599656,maximize
performance.linear_model.syn_ood,0.4588235294117647,0.8,0.6996078431372549,0.1375515002641319,maximize
performance.mlp.gt,0.4269230769230769,0.4269230769230769,0.4269230769230769,0.0,maximize
performance.mlp.syn_id,0.3767399267399267,0.4269230769230769,0.4108424908424909,0.01977275669818,maximize
performance.mlp.syn_ood,0.3529411764705882,0.4313725490196077,0.3686274509803922,0.0350755761176437,maximize
performance.xgb.gt,0.8803921568627452,0.8803921568627452,0.8803921568627452,0.0,maximize
performance.xgb.syn_id,0.7387254901960785,0.8830882352941177,0.7962745098039216,0.0591500334012151,maximize
performance.xgb.syn_ood,0.7372549019607842,0.8941176470588236,0.8015686274509803,0.0582059079484862,maximize
performance.feat_rank_distance.corr,-0.1952513392822352,0.459104500474445,0.2585760979683655,0.2709349304974006,minimize
performance.feat_rank_distance.pvalue,0.0047407744845333,0.2297237289085876,0.089182999624317,0.1085058609471828,minimize
detection.detection_xgb.mean,0.7625,0.8655000000000002,0.8061999999999999,0.0475441899710154,minimize
detection.detection_mlp.mean,0.4385,0.4705000000000001,0.4492,0.0123761363114665,minimize
detection.detection_gmm.mean,0.5,0.5205,0.5041,0.0091678787077491,minimize
detection.detection_linear.mean,0.5065000000000001,0.6355000000000001,0.5719,0.0563753048772243,minimize
privacy.delta-presence.score,1.5999999968,3.99999998,2.548181811326653,0.9108029262668412,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,maximize
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,maximize
privacy.k-map.score,1.0,3.0,1.6,0.8944271909999159,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,maximize
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,maximize
privacy.identifiability_score.score,0.45,0.56,0.4859999999999999,0.0439317652729776,minimize
privacy.identifiability_score.score_OC,0.31,0.42,0.364,0.0397492138287035,minimize
