,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.08045044721211647,0.10602018696687518,0.09705380896295432,0.009219020872690348,0.10106882445511696,0.009612959679057287,5,0,0.01,minimize
sanity.close_values_probability.score,0.85,0.9,0.8699999999999999,0.02097617696340305,0.86,0.040000000000000036,5,0,0.01,maximize
sanity.distant_values_probability.score,0.01,0.03,0.019999999999999997,0.006324555320336759,0.02,0.0,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.009270922092643808,0.010948416095242042,0.009994323252242927,0.0005981832107947248,0.009975107493243224,0.0008158224058182426,5,0,0.07,minimize
stats.chi_squared_test.marginal,0.3222713718338264,0.5440341700470035,0.4088019864952795,0.07547071405308507,0.37691729657818845,0.05560243692947786,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.7088460996756876,0.7661458167201617,0.7388678958347675,0.02301378502506153,0.7315049128564098,0.04236721570385582,5,0,0.01,maximize
stats.ks_test.marginal,0.8194444444444444,0.8388888888888889,0.8294444444444444,0.00655461386833452,0.8311111111111111,0.00666666666666671,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.019998471684234867,0.020000504218031477,0.019999989603596093,7.83047613306683e-07,0.020000479177443867,5.00536225526288e-07,5,0,0.01,minimize
stats.wasserstein_dist.joint,0.26336105638976176,0.2890579366726345,0.27139535869913484,0.009545458307974786,0.2654056835404545,0.008551757942369731,5,0,0.01,minimize
stats.prdc.precision,0.92,0.98,0.9480000000000001,0.019390719429665304,0.95,0.010000000000000009,5,0,0.01,maximize
stats.prdc.recall,0.96,0.99,0.984,0.012000000000000009,0.99,0.0,5,0,0.01,maximize
stats.prdc.density,0.8820000000000001,0.9640000000000001,0.9088,0.029949290475735826,0.9,0.030000000000000138,5,0,0.01,maximize
stats.prdc.coverage,0.8,0.97,0.906,0.05885575587824862,0.93,0.04999999999999993,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.2386666666666668,0.44199999999999995,0.3733333333333334,0.0699358436155754,0.39666666666666683,0.017333333333333534,5,0,2.44,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.28200000000000003,0.38659770114942527,0.3347862068965517,0.03728653258157246,0.3413333333333334,0.053333333333333344,5,0,2.44,maximize
stats.alpha_precision.authenticity_OC,0.45,0.79,0.5980000000000001,0.1230284519938376,0.59,0.18000000000000005,5,0,2.44,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.7667356321839081,0.9295632183908046,0.8463264367816092,0.054081844974747634,0.8400000000000001,0.05133333333333323,5,0,2.44,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.31733333333333336,0.45933333333333326,0.41866666666666674,0.05162083989157005,0.43600000000000005,0.018000000000000016,5,0,2.44,maximize
stats.alpha_precision.authenticity_naive,0.43,0.49,0.46799999999999997,0.020396078054371138,0.47,0.010000000000000009,5,0,2.44,maximize
performance.linear_model.gt,0.7098484848484848,0.8477272727272728,0.7990909090909091,0.047818335445465085,0.8037878787878787,0.02954545454545443,5,0,0.17,maximize
performance.linear_model.syn_id,0.7159090909090908,0.846969696969697,0.7910606060606061,0.04879964096873757,0.8015151515151516,0.07727272727272727,5,0,0.17,maximize
performance.linear_model.syn_ood,0.45098039215686275,0.9215686274509803,0.7490196078431373,0.18115779548942895,0.8627450980392156,0.2549019607843137,5,0,0.17,maximize
performance.mlp.gt,0.409090909090909,0.44696969696969696,0.4208333333333333,0.014193177269087297,0.41477272727272724,0.015151515151515249,5,0,3.02,maximize
performance.mlp.syn_id,0.37878787878787873,0.4166666666666667,0.40030303030303027,0.012906387538816289,0.40151515151515155,0.013636363636363558,5,0,3.02,maximize
performance.mlp.syn_ood,0.411764705882353,0.4411764705882353,0.4352941176470589,0.011764705882352922,0.4411764705882353,0.0,5,0,3.02,maximize
performance.xgb.gt,0.7189393939393941,0.8378787878787879,0.782878787878788,0.051849627176902974,0.7992424242424243,0.10984848484848486,5,0,0.4,maximize
performance.xgb.syn_id,0.753030303030303,0.8977272727272728,0.8195454545454546,0.052180199179473745,0.8212121212121212,0.07727272727272727,5,0,0.4,maximize
performance.xgb.syn_ood,0.7254901960784313,0.96078431372549,0.8470588235294118,0.07583952786593608,0.8627450980392156,0.039215686274509665,5,0,0.4,maximize
performance.feat_rank_distance.corr,-0.30526315789473685,-0.15789473684210525,-0.24842105263157896,0.05392104620996084,-0.2631578947368421,0.07368421052631582,5,0,0.08,minimize
performance.feat_rank_distance.pvalue,0.06380788453418215,0.3513948581732795,0.15754312838329726,0.10598359272303072,0.11260412706479736,0.11185731362995438,5,0,0.08,minimize
detection.detection_xgb.mean,0.8668953348097733,0.9508093411836728,0.9208655179243415,0.02945930993306935,0.9287887790561588,0.02597724121788303,5,0,0.12,minimize
detection.detection_mlp.mean,0.47267235636219596,0.5544662309368191,0.504930769369272,0.02681092660079784,0.49923927330344436,0.0007157132825582058,5,0,1.08,minimize
detection.detection_gmm.mean,0.494949494949495,0.5249554367201427,0.5032769765390086,0.011017978868700914,0.5,0.003520048974594403,5,0,0.08,minimize
detection.detection_linear.mean,0.506661985271611,0.6342660112713588,0.5586434757557752,0.050130040811321525,0.5415923945335709,0.08754208754208748,5,0,1.26,minimize
privacy.delta-presence.score,5.999999940000001,8.999999910000001,6.599999934000001,1.199999988,5.999999940000001,0.0,5,0,0.02,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.04,maximize
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,5,0,0.04,maximize
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.02,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.05,maximize
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,5,0,0.05,maximize
privacy.identifiability_score.score,0.36,0.47,0.42200000000000004,0.04166533331199932,0.43,0.07,5,0,0.05,minimize
privacy.identifiability_score.score_OC,0.28,0.37,0.33599999999999997,0.03261901286060016,0.35,0.03999999999999998,5,0,0.05,minimize
