,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.026077845463553472,0.033110922947406966,0.028469076762216612,0.0025295567002697576,0.027043232918609373,0.0021704414600506317,5,0,0.0,minimize
sanity.close_values_probability.score,0.99,0.99,0.99,0.0,0.99,0.0,5,0,0.0,maximize
sanity.distant_values_probability.score,0.01,0.01,0.01,0.0,0.01,0.0,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.013504701179319688,0.016282660774588915,0.014438002392246647,0.0010032366537116265,0.014118619177662585,0.0009812043577141927,5,0,0.04,minimize
stats.chi_squared_test.marginal,0.18181762159948436,0.36363552997151055,0.2909071239745021,0.0680294687020712,0.2727268267397412,0.09090871768955844,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.7328263286564727,0.7788689605526362,0.7586735337031804,0.01792290328801184,0.7589111109625933,0.032109369602875026,5,0,0.01,maximize
stats.ks_test.marginal,0.8009090909090908,0.8218181818181818,0.8121818181818181,0.008616724080780236,0.8172727272727273,0.015454545454545499,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.02020000041084575,0.020200000413081842,0.020200000412031186,7.958811283345284e-13,0.02020000041194172,1.117897441282878e-12,5,0,0.0,minimize
stats.wasserstein_dist.joint,0.1550907857206152,1.234929591751194,0.5493533270004916,0.4107293565386494,0.3007524365101758,0.5573520603067418,5,0,0.01,minimize
stats.prdc.precision,0.12,0.25,0.21399999999999997,0.04758150901348128,0.23,0.009999999999999981,5,0,0.01,maximize
stats.prdc.recall,0.98,1.0,0.99,0.006324555320336764,0.99,0.0,5,0,0.01,maximize
stats.prdc.density,0.094,0.15200000000000002,0.1248,0.018443427013437614,0.126,0.0040000000000000036,5,0,0.01,maximize
stats.prdc.coverage,0.17,0.34,0.256,0.05817215828899594,0.26,0.06999999999999998,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.016000000000000014,0.05799999999999994,0.034533333333333346,0.01595772192040232,0.03866666666666674,0.02533333333333343,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.0,0.05599999999999994,0.02586666666666666,0.02157117418119737,0.031333333333333324,0.03666666666666685,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.85,0.99,0.9399999999999998,0.04939635614091388,0.94,0.040000000000000036,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.5393333333333334,0.654,0.5985333333333334,0.04425260820938506,0.5773333333333334,0.07000000000000017,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.020666666666666833,0.06666666666666676,0.0469333333333334,0.01662447994174054,0.04866666666666675,0.024000000000000243,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.61,0.77,0.6900000000000001,0.057619441163551735,0.71,0.07999999999999996,5,0,0.1,maximize
performance.linear_model.gt,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.21,maximize
performance.linear_model.syn_id,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.21,maximize
performance.linear_model.syn_ood,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.21,maximize
performance.mlp.gt,0.0,0.0,0.0,0.0,0.0,0.0,5,0,3.03,maximize
performance.mlp.syn_id,0.0,0.0,0.0,0.0,0.0,0.0,5,0,3.03,maximize
performance.mlp.syn_ood,0.0,0.0,0.0,0.0,0.0,0.0,5,0,3.03,maximize
performance.xgb.gt,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.47,maximize
performance.xgb.syn_id,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.47,maximize
performance.xgb.syn_ood,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.47,maximize
performance.feat_rank_distance.corr,0.4521811963030688,0.5764558594062997,0.5124658157911154,0.050802530109742026,0.5087603916639778,0.06213733155161538,3,0,0.23,minimize
performance.feat_rank_distance.pvalue,3.0418107276283504e-16,1.0356167877059744e-10,3.463224974280217e-11,4.8740657947937456e-11,3.347662767362945e-13,5.178068729476234e-11,3,0,0.23,minimize
detection.detection_xgb.mean,0.8580366949350906,0.9474603431822683,0.9118997461243451,0.029450074870838235,0.9184807072507607,0.010839230090566976,5,0,0.13,minimize
detection.detection_mlp.mean,0.6179441473559121,0.8976304938871783,0.7132780568609445,0.1071250300203058,0.6624849205063109,0.14828318839014032,5,0,1.1,minimize
detection.detection_gmm.mean,0.43612596553773025,0.5,0.4804515745692216,0.02575358342810576,0.5,0.03386809269162211,5,0,0.08,minimize
detection.detection_linear.mean,0.47353211256954575,0.6336448261581951,0.558971173409676,0.06221817785066596,0.5462827922720971,0.10994076234717953,5,0,0.97,minimize
privacy.delta-presence.score,1.3414634143069601,2.49999999375,1.7773835869213095,0.42249063199349274,1.5454545440495866,0.4999999975,5,0,0.02,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.03,maximize
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,5,0,0.03,maximize
privacy.k-map.score,1.0,3.0,1.8,0.7483314773547883,2.0,1.0,5,0,0.02,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.04,maximize
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,5,0,0.04,maximize
privacy.identifiability_score.score,0.03,0.06,0.038,0.0116619037896906,0.03,0.010000000000000002,5,0,0.02,minimize
privacy.identifiability_score.score_OC,0.0,0.05,0.028000000000000004,0.016,0.03,0.0,5,0,0.02,minimize
