Unnamed: 0,min,max,mean,stddev,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.3289177298512904,0.3881078217386118,0.3633989265945538,0.0295739074752493,minimize
sanity.close_values_probability.score,0.13,0.24,0.18,0.0454606056566195,maximize
sanity.distant_values_probability.score,0.04,0.06,0.045,0.01,minimize
stats.jensenshannon_dist.marginal,0.0091758107631424,0.0113350096516818,0.0102263084839169,0.0008933391951151,minimize
stats.chi_squared_test.marginal,0.7058820116404714,0.8235288852070212,0.7646978281773962,0.0480291360291495,maximize
stats.inv_kl_divergence.marginal,0.8633495138807142,0.8958394542089362,0.876579090621207,0.0158522440135234,maximize
stats.ks_test.marginal,0.8917647058823529,0.9147058823529411,0.9052941176470588,0.0096895287063575,maximize
stats.max_mean_discrepancy.joint,0.0199999978058453,0.0199999995479341,0.0199999987240236,7.132842221008831e-10,minimize
stats.wasserstein_dist.joint,0.1786976920869443,0.2208454123611656,0.2000392633949102,0.0214789733930483,minimize
stats.alpha_precision.delta_precision_alpha_OC,0.1893333333333333,0.3033333333333332,0.2249999999999999,0.0529667960280917,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.1926666666666666,0.2986666666666667,0.2356666666666667,0.0492205918967526,maximize
stats.alpha_precision.authenticity_OC,0.6,0.81,0.7,0.0883176086632785,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8351954022988506,0.9238620689655171,0.8820632183908046,0.0363176988522528,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.506,0.5873333333333334,0.5418333333333334,0.0339863807145461,maximize
stats.alpha_precision.authenticity_naive,0.37,0.42,0.395,0.0238047614284761,maximize
stats.prdc.precision,0.88,0.96,0.94,0.0399999999999999,maximize
stats.prdc.recall,0.98,0.99,0.9875,0.005,maximize
stats.prdc.density,0.854,1.044,0.9425,0.084496548252971,maximize
stats.prdc.coverage,0.96,0.99,0.9775,0.0125830573921179,maximize
performance.linear_model.gt,0.9557222222222224,0.9557222222222224,0.9557222222222224,0.0,maximize
performance.linear_model.syn_id,0.8874583333333333,0.942512152777778,0.9060190972222224,0.0247456137468327,maximize
performance.linear_model.syn_ood,0.8863333333333333,0.940861111111111,0.9051597222222222,0.0243013422274057,maximize
performance.mlp.gt,0.5497395833333333,0.5497395833333333,0.5497395833333333,0.0,maximize
performance.mlp.syn_id,0.4770833333333334,0.5477430555555556,0.50849609375,0.032879112963485,maximize
performance.mlp.syn_ood,0.4752777777777778,0.5513888888888889,0.518888888888889,0.0347040693288775,maximize
performance.xgb.gt,0.9156111111111112,0.9156111111111112,0.9156111111111112,0.0,maximize
performance.xgb.syn_id,0.9185763888888888,0.971659722222222,0.9428888888888888,0.0248267027628436,maximize
performance.xgb.syn_ood,0.9193888888888888,0.9720555555555556,0.9422638888888888,0.0246866108476646,maximize
performance.feat_rank_distance.corr,-0.0733442291259768,0.3408748183561589,0.1385318561499694,0.1693201557715746,minimize
performance.feat_rank_distance.pvalue,7.79204881934893e-13,0.1231237085716808,0.0322628788178018,0.0606022969463574,minimize
detection.detection_xgb.mean,0.42,0.742,0.57775,0.1336971079218494,minimize
detection.detection_mlp.mean,0.46125,0.5237499999999999,0.4937499999999999,0.0261876243036031,minimize
detection.detection_gmm.mean,0.495,0.515,0.5037499999999999,0.0084508382227248,minimize
detection.detection_linear.mean,0.4115,0.482,0.431,0.034119886674294,minimize
privacy.delta-presence.score,1.4999999975,2.9999999700000006,2.0892857038307824,0.6425263571478587,maximize
privacy.k-anonymization.gt,3.0,3.0,3.0,0.0,maximize
privacy.k-anonymization.syn,1.00000001,7.00000001,3.75000001,2.5,maximize
privacy.k-map.score,1.0,3.0,2.5,1.0,maximize
privacy.distinct l-diversity.gt,3.0,3.0,3.0,0.0,maximize
privacy.distinct l-diversity.syn,1.00000001,7.00000001,3.75000001,2.5,maximize
privacy.identifiability_score.score,0.52,0.63,0.56,0.0483045891539647,minimize
privacy.identifiability_score.score_OC,0.18,0.31,0.2525,0.0561990510002912,minimize
