,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.39988005644720476,0.5250775028724058,0.4515234072768101,0.044314712771255683,0.4423343878269077,0.05614924665993376,5,0,0.01,minimize
sanity.close_values_probability.score,0.09,0.21,0.16,0.045607017003965515,0.15,0.06999999999999998,5,0,0.0,maximize
sanity.distant_values_probability.score,0.04,0.19,0.098,0.0611228271597445,0.07,0.10999999999999999,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.010749800798978878,0.011716496781087889,0.01120134767033341,0.0004084927893786131,0.011008465472615667,0.0007993727735201538,5,0,0.07,minimize
stats.chi_squared_test.marginal,0.7058801201144866,0.8235289551291347,0.7882343376525902,0.04705929228111894,0.8235284999742711,0.05882290581525851,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.8306115888256214,0.8791304864639018,0.8624709748575465,0.016810959102720575,0.868498742414828,0.009174330552900067,5,0,0.01,maximize
stats.ks_test.marginal,0.8723529411764706,0.8858823529411765,0.8800000000000001,0.005605237293916067,0.883529411764706,0.010000000000000009,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.01999999999996653,0.019999999999985446,0.01999999999997555,7.327031040376566e-15,0.019999999999976717,1.309369279667294e-14,5,0,0.01,minimize
stats.wasserstein_dist.joint,0.4576166561193153,0.49454026078181756,0.477235796555281,0.01378130045284475,0.4823788788262548,0.021670940061463417,5,0,0.01,minimize
stats.prdc.precision,0.54,0.7,0.6119999999999999,0.05455272678794341,0.6,0.06000000000000005,5,0,0.01,maximize
stats.prdc.recall,0.94,1.0,0.968,0.019390719429665335,0.97,0.010000000000000009,5,0,0.01,maximize
stats.prdc.density,0.31000000000000005,0.422,0.3624,0.03841666305133748,0.35800000000000004,0.045999999999999985,5,0,0.01,maximize
stats.prdc.coverage,0.66,0.82,0.714,0.05851495535331114,0.71,0.05999999999999994,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.07133333333333336,0.11066666666666691,0.09453333333333339,0.016543007922113585,0.10333333333333328,0.031333333333333435,5,0,0.05,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.05599999999999994,0.18399999999999994,0.10678620689655169,0.05006700945061837,0.08400000000000007,0.08326436781609181,5,0,0.05,maximize
stats.alpha_precision.authenticity_OC,0.76,0.95,0.882,0.0661513416341649,0.89,0.050000000000000044,5,0,0.05,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.9027356321839081,0.9559080459770115,0.9257057471264367,0.017717427356449385,0.9215172413793103,0.014666666666666717,5,0,0.05,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.03066666666666673,0.09933333333333338,0.06906666666666672,0.023864804396619074,0.07000000000000017,0.029333333333333433,5,0,0.05,maximize
stats.alpha_precision.authenticity_naive,0.74,0.89,0.826,0.05499090833947009,0.82,0.07999999999999996,5,0,0.05,maximize
performance.linear_model.gt,0.9555597492444597,0.9841787449416447,0.9710673644724505,0.009858124256259782,0.9706327540030188,0.01177479620024724,5,0,0.21,maximize
performance.linear_model.syn_id,0.9277582222607018,0.9669060075570575,0.9444751230073589,0.013573231865653347,0.945193521457107,0.015320567684184994,5,0,0.21,maximize
performance.linear_model.syn_ood,0.8811111111111111,0.9377777777777778,0.9141111111111112,0.018421840231932995,0.9172222222222223,0.006111111111111067,5,0,0.21,maximize
performance.mlp.gt,0.5027956798691208,0.5967537390719833,0.5407019002671636,0.03283776330561722,0.5453535430057537,0.03260085821814229,5,0,2.95,maximize
performance.mlp.syn_id,0.47968165241564,0.5981696351671028,0.5336388563464642,0.04185655226786072,0.5148079305513092,0.0509030034328124,5,0,2.95,maximize
performance.mlp.syn_ood,0.5077777777777778,0.6436111111111111,0.5416666666666666,0.05141313241950139,0.5158333333333334,0.015277777777777835,5,0,2.95,maximize
performance.xgb.gt,0.9132107814180199,0.9554071831427535,0.934177166671627,0.017516180058470887,0.9346112961444817,0.03587054518256372,5,0,0.69,maximize
performance.xgb.syn_id,0.9274386601599854,0.9608631874380529,0.9432036536499974,0.013673544910545787,0.9433515300350797,0.027288363760876178,5,0,0.69,maximize
performance.xgb.syn_ood,0.8919444444444444,0.9466666666666668,0.9143888888888888,0.02083251850258378,0.9033333333333333,0.03166666666666673,5,0,0.69,maximize
performance.feat_rank_distance.corr,0.24181767557778217,0.5357541807096665,0.40420111891653193,0.11321854011625847,0.46970276987055953,0.17621625154161163,5,0,0.34,minimize
performance.feat_rank_distance.pvalue,2.955983925507428e-29,4.0247195048176445e-07,8.056990926567871e-08,1.6095108704685457e-07,6.273386805742356e-23,3.775958466290013e-10,5,0,0.34,minimize
detection.detection_xgb.mean,0.8397432434865589,0.8854678694250887,0.8601955382704046,0.014658176206769055,0.8587659122418482,0.004366301157744945,5,0,0.14,minimize
detection.detection_mlp.mean,0.4705882352941177,0.6003213957759411,0.513818217828913,0.04561663215778777,0.4994238283008336,0.029276724463890236,5,0,1.19,minimize
detection.detection_gmm.mean,0.4950980392156863,0.5261212841426745,0.5073335854084517,0.010419478641366832,0.5038621509209745,0.006833036244800916,5,0,0.04,minimize
detection.detection_linear.mean,0.4628279227209709,0.555051405318785,0.5197572876717261,0.03302920411760913,0.5290696627595023,0.040133959920056195,5,0,0.07,minimize
privacy.delta-presence.score,1.3999999972000001,3.9999999600000007,2.1411110993304323,0.9508384720350951,1.749999995625,0.4444444361728397,5,0,0.02,maximize
privacy.k-anonymization.gt,4.0,4.0,4.0,0.0,4.0,0.0,5,0,0.03,maximize
privacy.k-anonymization.syn,1.00000001,4.00000001,2.00000001,1.0954451150103321,2.00000001,1.0,5,0,0.03,maximize
privacy.k-map.score,1.0,4.0,2.6,1.019803902718557,3.0,1.0,5,0,0.02,maximize
privacy.distinct l-diversity.gt,4.0,4.0,4.0,0.0,4.0,0.0,5,0,0.04,maximize
privacy.distinct l-diversity.syn,1.00000001,4.00000001,2.00000001,1.0954451150103321,2.00000001,1.0,5,0,0.04,maximize
privacy.identifiability_score.score,0.04,0.09,0.06399999999999999,0.018547236990991405,0.06,0.03,5,0,0.04,minimize
privacy.identifiability_score.score_OC,0.05,0.12,0.07999999999999999,0.026076809620810593,0.07,0.04000000000000001,5,0,0.04,minimize
