,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.3093523496744586,0.39548711617271465,0.3483359009278794,0.030155386120937235,0.3561213774596538,0.03509749854385896,5,0,0.0,minimize
sanity.close_values_probability.score,0.22,0.38,0.31399999999999995,0.06590902821313632,0.35,0.12,5,0,0.0,maximize
sanity.distant_values_probability.score,0.03,0.08,0.048,0.017204650534085254,0.04,0.010000000000000002,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.007444516146913142,0.0116219771492849,0.010109150001673535,0.0014538796376752084,0.01054274077671065,0.0012116042447770023,5,0,0.02,minimize
stats.chi_squared_test.marginal,0.49102025581231296,0.8276335398036269,0.7274161010600266,0.13342597202474507,0.8243500672476377,0.16074615097285094,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.8082464553583817,0.9052408964344588,0.8533810728952342,0.03314677238779784,0.8552831210279764,0.0381086619253348,5,0,0.0,maximize
stats.ks_test.marginal,0.8749999999999999,0.9250000000000002,0.907,0.01704243070821903,0.9133333333333334,0.008333333333333193,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.01466586928787049,0.026130718762742394,0.020500804285625663,0.0036452867587414227,0.020647978956980284,0.0011617580338202788,5,0,0.0,minimize
stats.wasserstein_dist.joint,0.029512496176680517,0.03535423017831891,0.031581919785576056,0.002393584485690708,0.02998863329639005,0.003895850543726924,5,0,0.01,minimize
stats.prdc.precision,0.97,1.0,0.984,0.01019803902718558,0.98,0.010000000000000009,5,0,0.01,maximize
stats.prdc.recall,0.95,1.0,0.968,0.019390719429665332,0.96,0.030000000000000027,5,0,0.01,maximize
stats.prdc.density,0.994,1.058,1.032,0.02262741699796954,1.042,0.026000000000000023,5,0,0.01,maximize
stats.prdc.coverage,0.96,1.0,0.9800000000000001,0.017888543819998333,0.98,0.040000000000000036,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.20466666666666666,0.3626666666666668,0.2565333333333334,0.05684661623859228,0.22799999999999998,0.04600000000000004,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.2360000000000001,0.3005977011494255,0.26179770114942535,0.02203800702123711,0.2617931034482759,0.018597701149425272,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.45,0.84,0.6759999999999999,0.1357350360076572,0.69,0.16000000000000003,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.9175862068965517,0.958367816091954,0.9337931034482759,0.01635925127844589,0.9271724137931034,0.029195402298850648,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.3953333333333332,0.4960000000000001,0.43918620689655163,0.03646335475413664,0.44866666666666666,0.04806896551724138,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.45,0.57,0.51,0.05176871642217913,0.52,0.11000000000000004,5,0,0.1,maximize
performance.linear_model.gt,0.7531676413255362,0.8284600389863548,0.8034844054580897,0.03072669088485965,0.8268762183235868,0.045077972709551606,5,0,0.06,maximize
performance.linear_model.syn_id,0.7487816764132553,0.8428362573099415,0.7990009746588693,0.04130806206755706,0.8118908382066277,0.08832846003898631,5,0,0.06,maximize
performance.linear_model.syn_ood,0.7619047619047619,0.8452380952380952,0.8,0.027561516435214845,0.7976190476190476,0.023809523809523947,5,0,0.06,maximize
performance.mlp.gt,0.6240253411306043,0.7743664717348927,0.6824439571150097,0.05688454461292847,0.6671539961013645,0.08851120857699801,5,0,3.12,maximize
performance.mlp.syn_id,0.5386208576998051,0.7605384990253411,0.6731115984405458,0.08113845202632126,0.7019980506822612,0.11123294346978563,5,0,3.12,maximize
performance.mlp.syn_ood,0.5476190476190476,0.8333333333333334,0.6976190476190476,0.09805362039035241,0.7023809523809522,0.11904761904761907,5,0,3.12,maximize
performance.xgb.gt,0.7571881091617935,0.8414961013645224,0.8057748538011698,0.030231555226939467,0.7995857699805069,0.037768031189083895,5,0,0.37,maximize
performance.xgb.syn_id,0.7249025341130605,0.8773148148148149,0.8087719298245615,0.06021845053015486,0.8407651072124757,0.10233918128654984,5,0,0.37,maximize
performance.xgb.syn_ood,0.6904761904761904,0.9523809523809522,0.838095238095238,0.0920908552657796,0.8571428571428571,0.11904761904761907,5,0,0.37,maximize
performance.feat_rank_distance.corr,-0.26667520040962184,0.6506874889994773,0.21318262054744136,0.3285615468873249,0.26597249773785736,0.4801003569668354,5,0,0.07,minimize
performance.feat_rank_distance.pvalue,7.18676049288264e-05,0.8451205227127763,0.21181785175705586,0.319840269085611,0.10372520260050735,0.09763689414256532,5,0,0.07,minimize
detection.detection_xgb.mean,0.4320207421811701,0.5825906120023767,0.5230117575037361,0.05133841356605138,0.5324276634437063,0.04513495021516423,5,0,0.13,minimize
detection.detection_mlp.mean,0.43388879886206094,0.6038549487747349,0.5093879976232917,0.05648334784977569,0.513391490664218,0.04577864203532639,5,0,1.1,minimize
detection.detection_gmm.mean,0.48382668035074455,0.5295603089720736,0.5055213453609176,0.015115416109049307,0.5039926898215668,0.013504024199211428,5,0,0.08,minimize
detection.detection_linear.mean,0.43916887232395246,0.5728046957993481,0.5006247861862835,0.04514820151728322,0.48547867264444805,0.04395109742703329,5,0,0.04,minimize
privacy.delta-presence.score,1.37499999828125,2.666666657777778,1.8325757539119891,0.46979715164886277,1.6666666652777777,0.5454545417768597,5,0,0.02,maximize
privacy.k-anonymization.gt,8.0,8.0,8.0,0.0,8.0,0.0,5,0,0.03,maximize
privacy.k-anonymization.syn,2.00000001,6.00000001,4.20000001,1.32664991614216,4.00000001,1.0,5,0,0.03,maximize
privacy.k-map.score,3.0,7.0,5.2,1.469693845669907,6.0,2.0,5,0,0.02,maximize
privacy.distinct l-diversity.gt,8.0,8.0,8.0,0.0,8.0,0.0,5,0,0.04,maximize
privacy.distinct l-diversity.syn,2.00000001,6.00000001,4.20000001,1.32664991614216,4.00000001,1.0,5,0,0.04,maximize
privacy.identifiability_score.score,0.43,0.47,0.44799999999999995,0.014696938456699065,0.44,0.020000000000000018,5,0,0.02,minimize
privacy.identifiability_score.score_OC,0.26,0.31,0.28800000000000003,0.020396078054371134,0.29,0.03999999999999998,5,0,0.02,minimize
