,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.009999999999,0.0019999999998,0.003999999999599999,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.27843492929704367,0.36678758863673655,0.3122370262825738,0.03274698131492789,0.292738294593896,0.041533043659817304,5,0,0.0,minimize
sanity.close_values_probability.score,0.27,0.46,0.348,0.0630555310817378,0.33,0.03999999999999998,5,0,0.0,maximize
sanity.distant_values_probability.score,0.01,0.05,0.027999999999999997,0.01469693845669907,0.02,0.02,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.015480815397956491,0.0186590441203032,0.017354417427588684,0.0011564466917809014,0.017964938866271162,0.0014837856418586995,5,0,0.02,minimize
stats.chi_squared_test.marginal,0.12489617011653832,0.8072954008172699,0.3675896865524187,0.25445471614899023,0.31443291030606635,0.3415316112891422,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.6202571537315796,0.7926917231503879,0.6756306084291411,0.062446732731684336,0.6658720670937615,0.05069323952011562,5,0,0.0,maximize
stats.ks_test.marginal,0.8300000000000001,0.8716666666666666,0.8533333333333333,0.017543596489254326,0.86,0.03500000000000003,5,0,0.0,maximize
stats.max_mean_discrepancy.joint,0.025082923186171252,0.033767147187507285,0.030112956762457614,0.003196069353166336,0.03179957465307827,0.004365084359292795,5,0,0.0,minimize
stats.wasserstein_dist.joint,0.04227144364651389,0.0625414277687042,0.05067981311647292,0.007659838713992544,0.047764025921265774,0.012109568184610384,5,0,0.02,minimize
stats.prdc.precision,0.92,1.0,0.968,0.027856776554368228,0.97,0.030000000000000027,5,0,0.0,maximize
stats.prdc.recall,0.89,0.95,0.9099999999999999,0.021908902300206624,0.91,0.020000000000000018,5,0,0.0,maximize
stats.prdc.density,0.9640000000000001,1.1320000000000001,1.0596,0.0576666281310083,1.054,0.05999999999999983,5,0,0.0,maximize
stats.prdc.coverage,0.87,0.99,0.9279999999999999,0.044899888641287286,0.91,0.06999999999999995,5,0,0.0,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.32266666666666655,0.6513333333333333,0.44865287356321837,0.12790260001462336,0.3619999999999999,0.1859310344827586,5,0,2.4,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.2493333333333333,0.42933333333333346,0.3541333333333334,0.06711237673567462,0.3586666666666666,0.1053333333333335,5,0,2.4,maximize
stats.alpha_precision.authenticity_OC,0.48,0.88,0.6439999999999999,0.14595889832415151,0.63,0.20999999999999996,5,0,2.4,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8293333333333334,0.944735632183908,0.8954942528735632,0.041955127681881886,0.917632183908046,0.054689655172413865,5,0,2.4,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.41466666666666674,0.4860000000000001,0.4549333333333335,0.02410569319568397,0.4566666666666668,0.02399999999999991,5,0,2.4,maximize
stats.alpha_precision.authenticity_naive,0.42,0.61,0.556,0.06945502141674136,0.58,0.030000000000000027,5,0,2.4,maximize
performance.linear_model.gt,0.7597117794486216,0.8289473684210527,0.793859649122807,0.02501169631104269,0.7907268170426066,0.037907268170426,5,0,0.04,maximize
performance.linear_model.syn_id,0.7760025062656641,0.8283208020050127,0.8002506265664161,0.018834132064547326,0.7960526315789475,0.027568922305764465,5,0,0.04,maximize
performance.linear_model.syn_ood,0.6547619047619048,0.9642857142857143,0.7976190476190477,0.10296070624018883,0.7976190476190476,0.09523809523809534,5,0,0.04,maximize
performance.mlp.gt,0.5676691729323308,0.8070175438596491,0.675689223057644,0.08556117148488808,0.6860902255639099,0.1184210526315791,5,0,3.13,maximize
performance.mlp.syn_id,0.5770676691729323,0.8208020050125313,0.7097117794486215,0.08283236457206278,0.706140350877193,0.0899122807017545,5,0,3.13,maximize
performance.mlp.syn_ood,0.2857142857142857,0.6071428571428572,0.5238095238095237,0.12070277957749118,0.5833333333333333,0.04761904761904756,5,0,3.13,maximize
performance.xgb.gt,0.8035714285714285,0.880325814536341,0.8253132832080201,0.028142424307069074,0.8117167919799498,0.012844611528822103,5,0,0.36,maximize
performance.xgb.syn_id,0.7971491228070176,0.8991228070175438,0.8333646616541353,0.03547887723997165,0.825187969924812,0.026942355889724268,5,0,0.36,maximize
performance.xgb.syn_ood,0.7738095238095238,0.9761904761904762,0.8785714285714287,0.0653787153225999,0.8690476190476191,0.0357142857142857,5,0,0.36,maximize
performance.feat_rank_distance.corr,-0.21164317410844255,0.30526315789473685,0.05799906374869461,0.1703542354540443,0.06860182190997455,0.14882614462615162,5,0,1.19,minimize
performance.feat_rank_distance.pvalue,0.06380788453418215,0.9744669029388741,0.4605919991154398,0.3291527847146809,0.39776260336021396,0.47913055774189406,5,0,1.19,minimize
detection.detection_xgb.mean,0.5873755379102973,0.6735897297394624,0.6259889447055222,0.0313111145613067,0.6268027872305947,0.04682745458146509,5,0,0.13,minimize
detection.detection_mlp.mean,0.4340913592250491,0.5822124993247989,0.5235546192765445,0.05124653800683747,0.5338230792776247,0.05235060047894269,5,0,1.25,minimize
detection.detection_gmm.mean,0.4655692396334108,0.5558526440879382,0.5150083724950034,0.03524241260924543,0.530973730171591,0.06025945731828081,5,0,0.2,minimize
detection.detection_linear.mean,0.4802661193035525,0.6126325645042222,0.551866256144331,0.04633712842042092,0.5476782081060156,0.05976881110570942,5,0,1.85,minimize
privacy.delta-presence.score,1.8333333318055554,7.4999999625000004,3.966666642361112,1.9590246921571668,2.9999999700000006,1.5000000074999993,5,0,0.04,maximize
privacy.k-anonymization.gt,2.0,6.0,3.0,1.5491933384829668,2.0,1.0,5,0,0.04,maximize
privacy.k-anonymization.syn,2.00000001,4.00000001,2.60000001,0.8,2.00000001,1.0,5,0,0.04,maximize
privacy.k-map.score,1.0,3.0,1.6,0.8,1.0,1.0,5,0,0.04,maximize
privacy.distinct l-diversity.gt,2.0,6.0,3.0,1.5491933384829668,2.0,1.0,5,0,0.07,maximize
privacy.distinct l-diversity.syn,2.00000001,4.00000001,2.60000001,0.8,2.00000001,1.0,5,0,0.07,maximize
privacy.identifiability_score.score,0.4,0.49,0.44400000000000006,0.03826225293941797,0.45,0.07999999999999996,5,0,0.03,minimize
privacy.identifiability_score.score_OC,0.33,0.45,0.384,0.0417612260356422,0.37,0.04999999999999999,5,0,0.03,minimize
