,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.15223895148441213,0.24604814023286842,0.18099392227491112,0.03601442284877583,0.15849486668886237,0.040616831492925526,5,0,0.0,minimize
sanity.close_values_probability.score,0.34,0.85,0.7020000000000001,0.18819139193916387,0.79,0.13,5,0,0.0,maximize
sanity.distant_values_probability.score,0.01,0.03,0.022,0.009797958971132711,0.03,0.019999999999999997,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.058478339070003195,0.061292781161634724,0.059716398090000934,0.0009384922199216219,0.059623875869622894,0.0008334205149228627,5,0,0.03,minimize
stats.chi_squared_test.marginal,0.22704606867586086,0.24539179209288692,0.23583129248110551,0.006649748207061538,0.2348237135452178,0.01014595961626924,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.3853631656857368,0.3976659231442238,0.39253054695467626,0.004659976012625357,0.3932904562372722,0.007674224827670106,5,0,0.01,maximize
stats.ks_test.marginal,0.36125,0.37625,0.36775,0.006490377492873575,0.36375,0.012500000000000011,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.05049150170334897,0.08303842173661063,0.06330830366986676,0.012017986093086686,0.06093565673231939,0.017474191562348952,5,0,0.0,minimize
stats.wasserstein_dist.joint,0.6370385109932293,0.6570824195241469,0.6454985490512413,0.0072162081695377215,0.6434772965288189,0.009991666496176554,5,0,0.01,minimize
stats.prdc.precision,0.01,0.02,0.012,0.004,0.01,0.0,5,0,0.01,maximize
stats.prdc.recall,0.56,0.97,0.8459999999999999,0.15447977213862013,0.92,0.15999999999999992,5,0,0.01,maximize
stats.prdc.density,0.012,0.022000000000000002,0.015600000000000003,0.0034409301068170513,0.014000000000000002,0.0019999999999999983,5,0,0.01,maximize
stats.prdc.coverage,0.06,0.11,0.078,0.01720465053408525,0.07,0.009999999999999995,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.008000000000000118,0.13740229885057464,0.03588045977011496,0.05079308633304688,0.011333333333333306,0.0039999999999998925,5,0,0.58,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.0,0.01866666666666672,0.004400000000000026,0.007249214516836386,0.0,0.0033333333333334103,5,0,0.58,maximize
stats.alpha_precision.authenticity_OC,0.99,1.0,0.998,0.0040000000000000036,1.0,0.0,5,0,0.58,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.036666666666666514,0.08200000000000007,0.05253333333333332,0.01600222206792274,0.04866666666666675,0.014000000000000234,5,0,0.58,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.58,maximize
stats.alpha_precision.authenticity_naive,0.97,1.0,0.994,0.01200000000000001,1.0,0.0,5,0,0.58,maximize
performance.linear_model.gt,-0.2761209134565658,0.39125663778384195,0.10374504803383551,0.2507405437272377,0.2522286197985148,0.3571286148486879,5,0,0.02,maximize
performance.linear_model.syn_id,-6.765444623202768,-2.3454511672473584,-3.9506840297384884,1.5388384815131835,-3.7075506198198376,1.2762419619228056,5,0,0.02,maximize
performance.linear_model.syn_ood,-5.949176707899727,-3.9708333104282154,-4.748196496644956,0.6973984772218208,-4.529031017362936,0.7952892108611147,5,0,0.02,maximize
performance.mlp.gt,-5.249979019165039,-2.880789359410604,-3.734044472376506,0.8529052823033582,-3.758763154347738,0.8651776313781738,5,0,2.29,maximize
performance.mlp.syn_id,-5.2575004895528155,-2.8903671900431314,-3.7436047077178953,0.8515678373862043,-3.7723790804545083,0.8572719097137451,5,0,2.29,maximize
performance.mlp.syn_ood,-4.720096588134766,-4.369460105895996,-4.57625789642334,0.12343029299116642,-4.588442325592041,0.15021848678588867,5,0,2.29,maximize
performance.xgb.gt,-0.7568410634994507,0.18687806526819864,-0.16069416602452596,0.34442665381995935,-0.179730494817098,0.40194729963938397,5,0,0.36,maximize
performance.xgb.syn_id,-4.643815676371257,-2.069324811299642,-3.378620560963949,0.8890659739539789,-3.5864295164744058,1.077620267868042,5,0,0.36,maximize
performance.xgb.syn_ood,-4.429354667663574,-3.4199929237365723,-4.224797630310059,0.4024359355889618,-4.429354667663574,0.013423442840576172,5,0,0.36,maximize
performance.feat_rank_distance.corr,-0.26967994498529685,0.36514837167011077,-0.033610942332510205,0.23231727154159412,0.0,0.26352313834736496,5,0,0.09,minimize
performance.feat_rank_distance.pvalue,0.312950675522914,1.0,0.6367333572202208,0.299990035656843,0.4426227139590827,0.5719066033808922,5,0,0.09,minimize
detection.detection_xgb.mean,0.9800950683303625,0.9950980392156863,0.9910279263220441,0.005819144606338035,0.9949494949494949,0.005199049316696347,5,0,0.1,minimize
detection.detection_mlp.mean,0.5,0.5,0.5,0.0,0.5,0.0,5,0,1.09,minimize
detection.detection_gmm.mean,0.17795603089720735,0.6666666666666666,0.380718954248366,0.17958858029440186,0.33571004159239454,0.2669340463458111,5,0,0.06,minimize
detection.detection_linear.mean,0.9855912061794415,0.999108734402852,0.9934343434343434,0.0046410515948136395,0.9928698752228163,0.004456327985739805,5,0,0.05,minimize
privacy.delta-presence.score,0.869999999913,36.999999630000005,19.373999807982603,11.798283822330262,16.999999830000004,7.9999999200000005,5,0,0.02,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.03,maximize
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,5,0,0.03,maximize
privacy.k-map.score,1.0,100.0,20.8,39.6,1.0,0.0,5,0,0.02,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.04,maximize
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,5,0,0.04,maximize
privacy.identifiability_score.score,0.0,0.02,0.012,0.0074833147735478825,0.01,0.01,5,0,0.02,minimize
privacy.identifiability_score.score_OC,0.0,0.01,0.004,0.004898979485566356,0.0,0.01,5,0,0.02,minimize
