,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.05,minimize
sanity.nearest_syn_neighbor_distance.mean,0.021962958310343218,0.07065841337560068,0.046495255176525585,0.016355860949545935,0.04601101523523117,0.017394281673871637,5,0,0.0,minimize
sanity.close_values_probability.score,0.88,0.96,0.9259999999999999,0.02653299832284318,0.93,0.019999999999999907,5,0,0.0,maximize
sanity.distant_values_probability.score,0.01,0.03,0.016,0.008,0.01,0.01,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.013024109753462505,0.016707130011915945,0.014439734884857735,0.0013736197122908129,0.014340959025579294,0.001997910728753145,5,0,0.01,minimize
stats.chi_squared_test.marginal,0.4781213937391849,0.5866030091569769,0.5437478153537121,0.036579675624216317,0.5473967838485436,0.0264886059377486,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.7512954749080939,0.8082239649851578,0.7655965203309472,0.021940020440905136,0.7519519380825995,0.013509333596380957,5,0,0.01,maximize
stats.ks_test.marginal,0.8671428571428573,0.8921428571428571,0.8821428571428571,0.009928314487939398,0.8878571428571428,0.01642857142857146,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.019999999998300336,0.019999999999953433,0.01999999999956577,6.34475801966299e-13,0.01999999999985448,9.313383397824282e-14,5,0,0.01,minimize
stats.wasserstein_dist.joint,0.26112831556109967,1.162044060777836,0.5024394611557318,0.3328430310708663,0.35747018820632914,0.06699217492963461,5,0,0.01,minimize
stats.prdc.precision,0.94,0.99,0.97,0.018973665961010293,0.97,0.030000000000000027,5,0,0.01,maximize
stats.prdc.recall,0.91,0.99,0.95,0.030331501776206186,0.94,0.04999999999999993,5,0,0.01,maximize
stats.prdc.density,0.916,1.064,1.0136,0.0515270802588309,1.026,0.030000000000000027,5,0,0.01,maximize
stats.prdc.coverage,0.85,0.97,0.908,0.044899888641287286,0.89,0.06999999999999995,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.4019999999999999,0.7837931034482759,0.6436781609195403,0.12964686856917365,0.6925977011494253,0.06666666666666676,5,0,0.01,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.33066666666666655,0.5,0.39559999999999995,0.06102473087017903,0.40133333333333343,0.06999999999999995,5,0,0.01,maximize
stats.alpha_precision.authenticity_OC,0.39,0.59,0.51,0.07042726744663602,0.51,0.07999999999999996,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.6453333333333334,0.8959310344827586,0.7487586206896552,0.08693072368295499,0.7072643678160919,0.0860689655172413,5,0,0.01,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.44333333333333336,0.546,0.5065333333333333,0.03766377570026671,0.5153333333333334,0.052000000000000046,5,0,0.01,maximize
stats.alpha_precision.authenticity_naive,0.45,0.53,0.484,0.02800000000000001,0.47,0.030000000000000027,5,0,0.01,maximize
performance.linear_model.gt,-1.1888810633182105,-0.15579494578778794,-0.6441113022092504,0.44097969165231693,-0.4249279997876858,0.8669563493195298,5,0,0.01,maximize
performance.linear_model.syn_id,-0.21535584355023277,-0.05282372286709347,-0.14378896031323213,0.05994949959291469,-0.15172191791664402,0.09428212801281799,5,0,0.01,maximize
performance.linear_model.syn_ood,-0.4840945913227699,-0.06902566903495311,-0.3139045806075759,0.14132787644210326,-0.35311035238065824,0.13244548654303445,5,0,0.01,maximize
performance.mlp.gt,-97.47127324492008,-2.075787508558427,-31.721281986655335,36.37137049171091,-8.479200975998786,39.73791802533,5,0,0.01,maximize
performance.mlp.syn_id,-41.59786558847194,-3.628369226374588,-22.598074753719775,15.45853775303101,-25.935518873268354,30.238436046829108,5,0,0.01,maximize
performance.mlp.syn_ood,-72.45069603068744,-4.3102512344811394,-21.834143308831372,25.715630654105805,-10.489821035139824,12.01310434098411,5,0,0.01,maximize
performance.xgb.gt,-0.4740545852983316,-0.1172504380791416,-0.3665968900415484,0.1304866339508467,-0.432317092001504,0.09157542805023117,5,0,0.01,maximize
performance.xgb.syn_id,-0.21558798009455415,0.08566145396541051,-0.12575180419891224,0.11177636000772911,-0.17863133504153336,0.09537030447236963,5,0,0.01,maximize
performance.xgb.syn_ood,-0.7435069344387241,0.16724346538516632,-0.32342139927594976,0.29903712295851775,-0.2898037430145215,0.21602539451374736,5,0,0.01,maximize
performance.feat_rank_distance.corr,0.0,0.5897435897435896,0.37435897435897425,0.2003284613807652,0.4102564102564102,0.10256410256410259,5,0,0.01,minimize
performance.feat_rank_distance.pvalue,0.0042892835687974576,1.0,0.23188885137496248,0.38489596652972446,0.05725682817696707,0.05473493359778081,5,0,0.01,minimize
detection.detection_xgb.mean,0.502943877275428,0.7220511712490323,0.6446028916617152,0.07926641902495712,0.6420443292101047,0.07892652010299062,5,0,0.01,minimize
detection.detection_mlp.mean,0.4800950683303625,0.5,0.4924377464484416,0.00928336989443587,0.5,0.01790633608815434,5,0,0.01,minimize
detection.detection_gmm.mean,0.5,0.5151515151515151,0.503030303030303,0.006060606060606055,0.5,0.0,5,0,0.0,minimize
detection.detection_linear.mean,0.563973063973064,0.7333135274311745,0.6398314697779939,0.06890945799278884,0.6099317596643801,0.12868434793568495,5,0,0.01,minimize
privacy.delta-presence.score,1.1333333325777777,2.9999999700000006,2.1266666520155555,0.6198207541308365,1.99999999,0.5000000075,5,0,0.01,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.0,maximize
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,5,0,0.0,maximize
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.0,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.0,maximize
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,5,0,0.0,maximize
privacy.identifiability_score.score,0.39,0.49,0.44399999999999995,0.03261901286060018,0.44,0.020000000000000018,5,0,0.01,minimize
