,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.02085251824318819,0.048928899520746756,0.032539527623081585,0.01064328453565244,0.029311064435638797,0.017302639389292808,5,0,0.0,minimize
sanity.close_values_probability.score,0.96,0.99,0.968,0.011661903789690611,0.96,0.010000000000000009,5,0,0.0,maximize
sanity.distant_values_probability.score,0.01,0.03,0.016,0.008,0.01,0.01,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.008721647542612813,0.01617234618985614,0.012980007883743214,0.0025053983223842407,0.012997070020716369,0.0022405345625854597,5,0,0.05,minimize
stats.chi_squared_test.marginal,0.5150058962859634,0.6895982657366313,0.5983041853543466,0.05577580028142556,0.5920356688394018,0.02194080090546724,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.7798959480117592,0.8535526376721922,0.8131246099426568,0.029412145502225054,0.8140248364260522,0.05573490845266238,5,0,0.01,maximize
stats.ks_test.marginal,0.8671428571428572,0.9114285714285716,0.8870000000000001,0.016253100175231894,0.8828571428571428,0.02499999999999991,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.01999999996657134,0.0199999999933847,0.019999999980700667,8.845021168300347e-12,0.019999999981647126,7.697960324737352e-12,5,0,0.01,minimize
stats.wasserstein_dist.joint,0.29311593383913337,0.35187578155765464,0.3192561787832013,0.021498395468858678,0.32499805894135986,0.03019621271090972,5,0,0.01,minimize
stats.prdc.precision,0.97,1.0,0.992,0.011661903789690611,1.0,0.010000000000000009,5,0,0.01,maximize
stats.prdc.recall,0.92,0.97,0.9440000000000002,0.018547236990991377,0.94,0.029999999999999916,5,0,0.01,maximize
stats.prdc.density,0.9199999999999999,1.1460000000000001,1.0484,0.08452597233986729,1.08,0.132,5,0,0.01,maximize
stats.prdc.coverage,0.9,0.98,0.9400000000000001,0.02828427124746188,0.94,0.039999999999999925,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.77,0.8974942528735632,0.8378436781609195,0.055176201785672035,0.8553333333333334,0.11586206896551732,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.33333333333333337,0.5733333333333334,0.43466666666666665,0.09304813569091841,0.4,0.15866666666666696,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.42,0.67,0.5279999999999999,0.0854166260162505,0.49,0.07999999999999996,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.7466666666666667,0.9213333333333333,0.8224505747126436,0.06661601182977435,0.7844597701149425,0.10112643678160915,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.5071264367816092,0.6120000000000001,0.5582620689655172,0.04321576563315918,0.5664597701149425,0.08613793103448275,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.38,0.55,0.4600000000000001,0.05549774770204644,0.45,0.03999999999999998,5,0,0.1,maximize
performance.linear_model.gt,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.16,maximize
performance.linear_model.syn_id,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.16,maximize
performance.linear_model.syn_ood,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.16,maximize
performance.mlp.gt,0.0,0.0,0.0,0.0,0.0,0.0,5,0,3.62,maximize
performance.mlp.syn_id,0.0,0.0,0.0,0.0,0.0,0.0,5,0,3.62,maximize
performance.mlp.syn_ood,0.0,0.0,0.0,0.0,0.0,0.0,5,0,3.62,maximize
performance.xgb.gt,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1.24,maximize
performance.xgb.syn_id,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1.24,maximize
performance.xgb.syn_ood,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1.24,maximize
detection.detection_xgb.mean,0.5382253911665676,0.6490574191108951,0.6145627396964295,0.039439289420690055,0.6325014854426619,0.017465204630980113,5,0,0.13,minimize
detection.detection_mlp.mean,0.4649435531788473,0.5327517600244873,0.49953906264066694,0.021450267747418768,0.5,0.0,5,0,1.33,minimize
detection.detection_gmm.mean,0.4637551990493167,0.5,0.4927510398098633,0.014497920380273309,0.5,0.0,5,0,0.15,minimize
detection.detection_linear.mean,0.5837969714975063,0.6672158303174346,0.6099965789805362,0.030165882591293602,0.5996416932245809,0.023181908208646185,5,0,1.84,minimize
privacy.delta-presence.score,2.3333333255555555,4.999999950000001,3.2666666458888898,0.9977752885739805,2.9999999700000006,1.3333333250000003,5,0,0.04,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.04,maximize
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,5,0,0.04,maximize
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.05,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.08,maximize
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,5,0,0.08,maximize
privacy.identifiability_score.score,0.4,0.48,0.45,0.030331501776206186,0.47,0.03999999999999998,5,0,0.03,minimize
privacy.identifiability_score.score_OC,0.36,0.58,0.47800000000000004,0.07440430095095309,0.46,0.07,5,0,0.03,minimize
