,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.009999999999,0.0019999999998,0.003999999999599999,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.07733200560452368,0.20057040250607502,0.13118658700195246,0.05560036472129553,0.09224208122067923,0.10910326292057643,5,0,0.0,minimize
sanity.close_values_probability.score,0.63,0.88,0.77,0.10059821071967431,0.82,0.17999999999999994,5,0,0.0,maximize
sanity.distant_values_probability.score,0.02,0.08,0.033999999999999996,0.0233238075793812,0.02,0.009999999999999998,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.00772229251070009,0.010199114591252788,0.008654531804475755,0.0008971314620581162,0.008763040259401741,0.0009978280060207317,5,0,0.02,minimize
stats.chi_squared_test.marginal,0.3999999712180397,0.7989912638986315,0.6376613223596614,0.19407374359898802,0.7905233596631724,0.3987920535127957,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.7211255088210422,0.8975060815624676,0.8279762828779565,0.06535914069337778,0.867116688513849,0.08454559743273815,5,0,0.0,maximize
stats.ks_test.marginal,0.908,0.9399999999999998,0.9211999999999998,0.011838918869558944,0.9199999999999999,0.018000000000000016,5,0,0.0,maximize
stats.max_mean_discrepancy.joint,0.017068292165731518,0.01922463255360503,0.01842818769834929,0.0007634462288171853,0.01841948389728029,0.0007305536594000572,5,0,0.0,minimize
stats.wasserstein_dist.joint,0.009731868900817712,0.03006908044577087,0.019912573807698997,0.007922181319592691,0.0237828244221221,0.013009881296251675,5,0,0.01,minimize
stats.prdc.precision,0.95,1.0,0.978,0.019390719429665335,0.97,0.030000000000000027,5,0,0.0,maximize
stats.prdc.recall,0.96,1.0,0.9879999999999999,0.016000000000000014,1.0,0.020000000000000018,5,0,0.0,maximize
stats.prdc.density,0.9359999999999999,1.08,1.0068,0.046175318082282917,1.006,0.02400000000000002,5,0,0.0,maximize
stats.prdc.coverage,0.97,1.0,0.992,0.011661903789690611,1.0,0.010000000000000009,5,0,0.0,maximize
detection.detection_xgb.mean,0.387088352328994,0.5076342750139542,0.4361547741226886,0.04506024334450639,0.41468157510938264,0.06593564882334946,5,0,0.16,minimize
detection.detection_mlp.mean,0.458407605466429,0.5145393327211508,0.4995606690793856,0.02086127440028112,0.5089126559714795,0.007625272331154731,5,0,1.33,minimize
detection.detection_gmm.mean,0.47221772088082253,0.522038567493113,0.4927672446389025,0.018654803843865586,0.489453357100416,0.029506292875276896,5,0,0.14,minimize
detection.detection_linear.mean,0.3286249302292083,0.49340553484938515,0.4441860674480996,0.059748277936233336,0.47382920110192844,0.032256612470516255,5,0,0.04,minimize
privacy.delta-presence.score,1.9999999800000003,3.9999999600000007,2.449999978875,0.781024958916167,1.9999999800000003,0.25000001437499964,5,0,0.04,maximize
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0,2.0,0.0,5,0,0.04,maximize
privacy.k-anonymization.syn,1.00000001,2.00000001,1.20000001,0.4000000000000001,1.00000001,0.0,5,0,0.04,maximize
privacy.k-map.score,1.0,2.0,1.2,0.4000000000000001,1.0,0.0,5,0,0.04,maximize
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0,2.0,0.0,5,0,0.07,maximize
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.20000001,0.4000000000000001,1.00000001,0.0,5,0,0.07,maximize
privacy.identifiability_score.score,0.48,0.61,0.558,0.04995998398718718,0.58,0.07999999999999996,5,0,0.02,minimize
privacy.identifiability_score.score_OC,0.49,0.58,0.542,0.033105890714493685,0.55,0.04999999999999993,5,0,0.02,minimize
