,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.19143445566847267,0.2419596902139171,0.21464874455795008,0.02130653621753454,0.20221936645433877,0.03989598737203187,5,0,0.0,minimize
sanity.close_values_probability.score,0.5,0.68,0.592,0.0735934779718964,0.62,0.14,5,0,0.0,maximize
sanity.distant_values_probability.score,0.04,0.04,0.04,0.0,0.04,0.0,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.031431895325703625,0.03281160857676079,0.032090703218521054,0.0005030863454429608,0.03217122073367171,0.000768237454294593,5,0,0.02,minimize
stats.chi_squared_test.marginal,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.18237949855820168,0.18691251974412143,0.1856693527178454,0.0017434984941209642,0.18681888977422104,0.0014875858118179597,5,0,0.0,maximize
stats.ks_test.marginal,0.7,0.726,0.7127999999999999,0.011214276615100955,0.7139999999999999,0.02400000000000002,5,0,0.0,maximize
stats.max_mean_discrepancy.joint,0.06817127856210298,0.09110309603975916,0.08018384801974845,0.008915350353682813,0.07817910438761629,0.015815660386368127,5,0,0.0,minimize
stats.wasserstein_dist.joint,0.08892666530386978,0.09482449304387153,0.09229788726604189,0.00198353730264413,0.09257937455730304,0.0018359927613457588,5,0,0.01,minimize
stats.prdc.precision,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.0,maximize
stats.prdc.recall,0.26,0.58,0.362,0.12367699866992243,0.28,0.14999999999999997,5,0,0.0,maximize
stats.prdc.density,1.2240000000000002,1.334,1.2955999999999999,0.04351367601111169,1.324,0.06400000000000006,5,0,0.0,maximize
stats.prdc.coverage,0.45,0.59,0.526,0.05678027826631354,0.52,0.10999999999999999,5,0,0.0,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.8437931034482758,0.8829195402298851,0.8658666666666667,0.01362424144970763,0.8705977011494253,0.015977011494252902,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.18399999999999994,0.22666666666666668,0.20599999999999996,0.018272018680667662,0.21666666666666656,0.034666666666666845,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.64,0.78,0.736,0.05276362383309169,0.76,0.06000000000000005,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.6479080459770115,0.6985747126436781,0.6785747126436782,0.019468493065006916,0.6839080459770115,0.03200000000000003,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.02533333333333343,0.05066666666666675,0.04093333333333342,0.009039174003561757,0.04533333333333334,0.01000000000000012,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.86,0.96,0.9239999999999998,0.0349857113690718,0.93,0.029999999999999916,5,0,0.1,maximize
performance.linear_model.gt,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.18,maximize
performance.linear_model.syn_id,0.11111111111111112,0.3055555555555556,0.20555555555555557,0.06712803318663652,0.19444444444444445,0.08333333333333334,5,0,0.18,maximize
performance.linear_model.syn_ood,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.18,maximize
performance.mlp.gt,0.0,0.0,0.0,0.0,0.0,0.0,5,0,2.96,maximize
performance.mlp.syn_id,0.0,0.3888888888888889,0.2833333333333333,0.1452966314513558,0.3333333333333333,0.08333333333333331,5,0,2.96,maximize
performance.mlp.syn_ood,0.0,0.0,0.0,0.0,0.0,0.0,5,0,2.96,maximize
performance.xgb.gt,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.61,maximize
performance.xgb.syn_id,0.5555555555555556,0.6666666666666666,0.6055555555555555,0.05091750772173153,0.5833333333333334,0.11111111111111105,5,0,0.61,maximize
performance.xgb.syn_ood,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.61,maximize
detection.detection_xgb.mean,0.9892237886890293,0.9990997317200524,0.9940546282792271,0.004123521986898887,0.9923567223032462,0.008030393057131047,5,0,0.11,minimize
detection.detection_mlp.mean,0.5,0.7247879868200724,0.6264264750895767,0.09969476683992964,0.6922702965483715,0.1948720718774195,5,0,1.09,minimize
detection.detection_gmm.mean,0.38481967626352653,0.6913970363168224,0.5709870541421344,0.1028907795761035,0.5977421271538919,0.06781270818703977,5,0,0.06,minimize
detection.detection_linear.mean,0.7908766812510128,0.8316408289670321,0.8072147499954987,0.013715980526891616,0.8047498154450027,0.010506130826986482,5,0,0.04,minimize
privacy.delta-presence.score,3.49999999125,13.999999860000003,6.599999944500001,3.865229570944009,5.999999940000001,2.499999948750001,5,0,0.02,maximize
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0,2.0,0.0,5,0,0.03,maximize
privacy.k-anonymization.syn,1.00000001,3.00000001,1.4000000099999999,0.8,1.00000001,0.0,5,0,0.03,maximize
privacy.k-map.score,1.0,4.0,2.2,1.469693845669907,1.0,3.0,5,0,0.02,maximize
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0,2.0,0.0,5,0,0.04,maximize
privacy.distinct l-diversity.syn,1.00000001,3.00000001,1.4000000099999999,0.8,1.00000001,0.0,5,0,0.04,maximize
privacy.identifiability_score.score,0.01,0.02,0.012,0.004,0.01,0.0,5,0,0.02,minimize
privacy.identifiability_score.score_OC,0.16,0.19,0.17,0.010954451150103323,0.17,0.010000000000000009,5,0,0.02,minimize
