,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.03223922035750712,0.035486024049756835,0.03328277856023613,0.0011953569122010279,0.03259116231943675,0.001107436726474148,5,0,0.0,minimize
sanity.close_values_probability.score,0.976,0.984,0.9800000000000001,0.0028284271247461927,0.98,0.0040000000000000036,5,0,0.0,maximize
sanity.distant_values_probability.score,0.002,0.004,0.0032,0.0009797958971132711,0.004,0.002,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.011655885112245109,0.012599909027164753,0.01205552981418635,0.00030804468392613485,0.012045538761480849,0.00013575934772472147,5,0,0.05,minimize
stats.chi_squared_test.marginal,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.47072621393898384,0.47231413746488354,0.4711157595919608,0.0006071435593077253,0.47079737879619404,0.0002593204007684813,5,0,0.01,maximize
stats.ks_test.marginal,0.7496923076923078,0.7583076923076922,0.7540615384615384,0.0027358673970426534,0.7541538461538462,0.0007692307692308553,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.004047285315527536,0.004105664503727175,0.004074548786454751,2.6049907659241367e-05,0.004064983310097716,5.610142423107412e-05,5,0,0.02,minimize
stats.wasserstein_dist.joint,0.03405308869339864,0.03784144888025191,0.036404364833991024,0.0013041507441302386,0.03691217147685227,0.0010676081843291954,5,0,0.04,minimize
stats.prdc.precision,0.974,0.988,0.9816,0.0046303347611160945,0.982,0.0040000000000000036,5,0,0.02,maximize
stats.prdc.recall,0.47,0.572,0.5332000000000001,0.04397453808739779,0.564,0.07999999999999996,5,0,0.02,maximize
stats.prdc.density,0.968,1.0144,0.9992800000000001,0.016450458960162784,1.004,0.01079999999999992,5,0,0.02,maximize
stats.prdc.coverage,0.594,0.616,0.6072,0.009260669522232189,0.614,0.016000000000000014,5,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.8885471264367816,0.8936413793103448,0.8915172413793103,0.001840723404068115,0.8920597701149425,0.0025563218390805,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.5647080459770115,0.5936045977011495,0.575512643678161,0.0118037819503476,0.5684229885057472,0.02011494252873569,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.522,0.568,0.5444,0.016414627622946536,0.544,0.02400000000000002,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.816335632183908,0.8704229885057471,0.8509544827586206,0.01916628355921724,0.8525333333333334,0.018147126436781624,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.34973333333333323,0.37439999999999996,0.36360000000000003,0.008952616005019634,0.36360000000000003,0.01319999999999999,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.528,0.576,0.5608,0.01680952111156053,0.566,0.0020000000000000018,5,0,0.1,maximize
performance.linear_model.gt,0.38597013137748304,0.5930762154782315,0.4949314286481532,0.08106136929103745,0.46168798957622464,0.1361910324140979,5,0,0.02,maximize
performance.linear_model.syn_id,0.2815888066469681,0.40076896944720697,0.3331438544241222,0.04069494423297529,0.31575392541672925,0.0386272610734415,5,0,0.02,maximize
performance.linear_model.syn_ood,0.3100018322743031,0.4293374231655774,0.3599513893206402,0.040589420062025296,0.3494215770901068,0.03943561538830953,5,0,0.02,maximize
performance.mlp.gt,-26733.83878900802,-7102.832954159425,-18387.488044575737,6936.113106662569,-19278.170049069853,9017.052824900533,5,0,4.08,maximize
performance.mlp.syn_id,-80433.02015355369,-6042.806433062781,-41570.776178129585,24970.341154670652,-45113.115174096056,24855.05886522319,5,0,4.08,maximize
performance.mlp.syn_ood,-59237.27148938633,-9064.73682053238,-34518.39363764762,17749.397165265385,-41138.39694526918,22589.88952902612,5,0,4.08,maximize
performance.xgb.gt,0.81995740366527,0.9109529357332682,0.8711366266312386,0.035744193845042835,0.8705183643080665,0.06498352244281236,5,0,0.57,maximize
performance.xgb.syn_id,-2.50560551374307,-0.24482699648221895,-1.0719420781346742,0.7582460135933033,-0.8528034088245319,0.15562771274786358,5,0,0.57,maximize
performance.xgb.syn_ood,-1.52240395558879,-0.13618024544250007,-0.5195650824843744,0.5062327283398552,-0.3235917354608042,0.0350610265402469,5,0,0.57,maximize
performance.feat_rank_distance.corr,-0.2727272727272727,0.2424242424242424,0.030303030303030297,0.1982476028338924,0.0909090909090909,0.3333333333333333,5,0,0.22,minimize
performance.feat_rank_distance.pvalue,0.24957952123750735,0.7373055246579552,0.4633522234581262,0.19051354906508555,0.38070480349126185,0.327551239912351,5,0,0.22,minimize
detection.detection_xgb.mean,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.12,minimize
detection.detection_mlp.mean,0.5,0.509012096289349,0.5028004232498857,0.0036580411927147286,0.5,0.004990019960079861,5,0,2.3,minimize
detection.detection_gmm.mean,0.4957347407486448,0.5738976199538014,0.527079714389848,0.02873638295062591,0.519343248428473,0.022720818013349242,4,0,0.3,minimize
detection.detection_linear.mean,0.5491473585546603,0.58444139064775,0.5626686170261022,0.01311826342814298,0.5570234611939097,0.018346756454625468,5,0,2.48,minimize
privacy.delta-presence.score,4.2499999893750005,8.4999999575,6.016666636486112,1.3808210013058253,5.666666647777778,0.33333329222222297,5,0,0.03,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.05,maximize
privacy.k-anonymization.syn,1.00000001,3.00000001,2.4000000100000003,0.7999999999999999,3.00000001,1.0,5,0,0.05,maximize
privacy.k-map.score,1.0,4.0,2.2,1.16619037896906,2.0,2.0,5,0,0.03,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.07,maximize
privacy.distinct l-diversity.syn,1.00000001,3.00000001,2.4000000100000003,0.7999999999999999,3.00000001,1.0,5,0,0.07,maximize
privacy.identifiability_score.score,0.19,0.202,0.1964,0.004270831300812529,0.196,0.006000000000000005,5,0,0.03,minimize
privacy.identifiability_score.score_OC,0.174,0.204,0.18719999999999998,0.010166612021711067,0.188,0.010000000000000009,5,0,0.03,minimize
