,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.02956584688067007,0.04304089635693754,0.03566370534225952,0.0048910241860575555,0.035282391376495234,0.0074101476134148525,5,0,0.0,minimize
sanity.close_values_probability.score,0.972,0.984,0.9783999999999999,0.004079215610874232,0.98,0.0040000000000000036,5,0,0.0,maximize
sanity.distant_values_probability.score,0.002,0.004,0.0028,0.0009797958971132714,0.002,0.002,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.006441244301758237,0.007355094457002798,0.006866480164608021,0.0003427010328478384,0.006819794580618961,0.0005750333111917087,5,0,0.05,minimize
stats.chi_squared_test.marginal,0.1538459354851929,0.307692270540033,0.18461532383455126,0.061538473352791216,0.15384613360491414,2.3698982859476914e-08,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.8500765059850909,0.8673356966620835,0.8582193776134777,0.0059852260608819095,0.859649891259424,0.007037775209806085,5,0,0.01,maximize
stats.ks_test.marginal,0.8249230769230771,0.833076923076923,0.8294153846153847,0.0027493302035308635,0.8300000000000001,0.002769230769230857,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.0039998028073071935,0.00399986223660436,0.0039998353884743935,1.959378323115402e-08,0.003999840871433286,1.4637831801701806e-08,5,0,0.02,minimize
stats.wasserstein_dist.joint,0.0471826939971947,0.05348687004739129,0.04948955164593388,0.002331757325854442,0.04818348700819823,0.002865529443105551,5,0,0.03,minimize
stats.prdc.precision,0.966,0.982,0.9767999999999999,0.006144916598294891,0.98,0.008000000000000007,5,0,0.02,maximize
stats.prdc.recall,0.92,0.944,0.93,0.008197560612767647,0.93,0.008000000000000007,5,0,0.02,maximize
stats.prdc.density,0.9368000000000001,0.9960000000000001,0.96904,0.02285481130965646,0.9820000000000001,0.03600000000000003,5,0,0.02,maximize
stats.prdc.coverage,0.86,0.892,0.8715999999999999,0.010910545357588694,0.868,0.006000000000000005,5,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.8797011494252873,0.9036183908045977,0.8919531034482759,0.008096535484654799,0.8928091954022989,0.009034482758620732,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.6213333333333333,0.6745793103448275,0.65175908045977,0.019816094215537094,0.6573701149425288,0.031094252873563044,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.482,0.546,0.5067999999999999,0.021113029152634653,0.502,0.0040000000000000036,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8572091954022989,0.9348735632183908,0.8963742528735633,0.02994004414074383,0.8860137931034483,0.050947126436781676,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.3044000000000001,0.3542666666666666,0.33549333333333337,0.017050492335674274,0.3414666666666667,0.012533333333333285,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.55,0.584,0.5668,0.014232357499725717,0.572,0.027999999999999914,5,0,0.1,maximize
performance.linear_model.gt,0.38597013137748304,0.5930762154782315,0.4949314286481532,0.08106136929103745,0.46168798957622464,0.1361910324140979,5,0,0.02,maximize
performance.linear_model.syn_id,0.30627270832376735,0.6005853960491718,0.4441173610325978,0.10338809060668973,0.44982519448598923,0.13880568245702624,5,0,0.02,maximize
performance.linear_model.syn_ood,0.2933877111869554,0.6303248510021486,0.4573758519707539,0.1274960285336024,0.4526418013036009,0.22109443995106376,5,0,0.02,maximize
performance.mlp.gt,-26733.83878900802,-7102.832954159425,-18387.488044575737,6936.113106662569,-19278.170049069853,9017.052824900533,5,0,4.08,maximize
performance.mlp.syn_id,-99977.58556955826,-11826.700612879868,-46522.73978251401,35203.50044614098,-24686.489196405702,57508.94496998214,5,0,4.08,maximize
performance.mlp.syn_ood,-81445.11512105617,-8890.604390196968,-38274.0114628765,31391.046149702725,-15928.665253191733,57687.588072720064,5,0,4.08,maximize
performance.xgb.gt,0.81995740366527,0.9109529357332682,0.8711366266312386,0.035744193845042835,0.8705183643080665,0.06498352244281236,5,0,1.11,maximize
performance.xgb.syn_id,0.018744763331278873,0.2130572792447352,0.1444837072179676,0.07148458427120051,0.16065297122996028,0.08872233792966315,5,0,1.11,maximize
performance.xgb.syn_ood,-0.330494655309562,0.48073700327501134,0.22791262983777286,0.29430856232555,0.38679123102857926,0.20661704722647822,5,0,1.11,maximize
performance.feat_rank_distance.corr,-0.1818181818181818,0.303030303030303,0.12727272727272726,0.16751848437679093,0.1515151515151515,0.1212121212121212,5,0,0.28,minimize
performance.feat_rank_distance.pvalue,0.19694994338223504,0.6383612539081289,0.43006997387900164,0.15877498699864892,0.459023957331249,0.2343946867818395,5,0,0.28,minimize
detection.detection_xgb.mean,0.9899441431688243,0.9941872261537096,0.9914269433861517,0.0014940199802179637,0.9912224465289174,0.0012042864707064727,5,0,0.21,minimize
detection.detection_mlp.mean,0.5,0.5,0.5,0.0,0.5,0.0,5,0,2.34,minimize
detection.detection_gmm.mean,0.46174932437988175,0.5383065842919168,0.49556856275185,0.031884291129116546,0.4866497795837515,0.038278629956017496,3,0,0.3,minimize
detection.detection_linear.mean,0.47718882990098005,0.5889560608960277,0.5534153970394108,0.03965737207214052,0.5708106188603962,0.020788737797473478,5,0,2.52,minimize
privacy.delta-presence.score,2.8333333286111113,5.999999940000001,4.096666642237222,1.071157195407849,3.9999999600000007,0.8499999961750002,5,0,0.03,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.05,maximize
privacy.k-anonymization.syn,1.00000001,5.00000001,3.20000001,1.8330302779823358,4.00000001,4.0,5,0,0.05,maximize
privacy.k-map.score,1.0,4.0,2.0,1.0954451150103321,2.0,1.0,5,0,0.03,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.08,maximize
privacy.distinct l-diversity.syn,1.00000001,5.00000001,3.20000001,1.8330302779823358,4.00000001,4.0,5,0,0.08,maximize
privacy.identifiability_score.score,0.36,0.43,0.39399999999999996,0.023966643486312385,0.386,0.025999999999999968,5,0,0.03,minimize
privacy.identifiability_score.score_OC,0.264,0.296,0.28200000000000003,0.01145425685062107,0.282,0.01599999999999996,5,0,0.03,minimize
