,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.1553852640139309,0.15791578136511544,0.1573899364483329,0.0010024253010335335,0.15788115539728934,1.2375519496010678e-05,5,0,0.0,minimize
sanity.close_values_probability.score,0.74,0.74,0.74,0.0,0.74,0.0,5,0,0.0,maximize
sanity.distant_values_probability.score,0.008,0.008,0.008,0.0,0.008,0.0,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.0669640790902671,0.06798908376812744,0.0672224778110663,0.0003875084316421063,0.06704031420703874,0.0001415876192590454,5,0,0.06,minimize
stats.chi_squared_test.marginal,0.08247838596358201,0.08909899169479941,0.0856778407989059,0.002290688844135866,0.08588309330903256,0.0028852109363334266,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.38074747956445526,0.4101182552644514,0.3970017053988927,0.010786051650131913,0.4018125682703727,0.015550346257899361,5,0,0.01,maximize
stats.ks_test.marginal,0.5029333333333333,0.5066666666666666,0.5048533333333333,0.0013665203173673292,0.5044000000000001,0.0020000000000000018,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.004002410866078017,0.004012973443390138,0.004007023473725579,3.941682384896691e-06,0.004005045960278602,5.812152000399251e-06,5,0,0.02,minimize
stats.wasserstein_dist.joint,0.7836440100011796,0.8086454643655201,0.7952353385962627,0.008721725566642476,0.793236857873362,0.01114827737939672,5,0,0.03,minimize
stats.prdc.precision,0.828,0.848,0.8375999999999999,0.006374950980203697,0.838,0.0020000000000000018,5,0,0.02,maximize
stats.prdc.recall,0.004,0.088,0.022,0.03300908965724441,0.006,0.0,5,0,0.02,maximize
stats.prdc.density,0.4016,0.4272,0.41328000000000004,0.00853941449983546,0.41040000000000004,0.00720000000000004,5,0,0.02,maximize
stats.prdc.coverage,0.034,0.042,0.03560000000000001,0.0032,0.034,0.0,5,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.3321333333333334,0.36493333333333333,0.35136,0.011965996267200922,0.3581333333333334,0.015199999999999991,5,0,0.59,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.02186666666666659,0.030133333333333345,0.02743999999999993,0.0029009117340741265,0.028133333333333232,0.0013333333333332975,5,0,0.59,maximize
stats.alpha_precision.authenticity_OC,0.92,0.982,0.9548,0.024284974778656834,0.96,0.04399999999999993,5,0,0.59,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.11919999999999986,0.12906666666666666,0.12477333333333332,0.00397181178920773,0.1260000000000001,0.0074666666666668435,5,0,0.59,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.03159999999999996,0.04080000000000017,0.035706666666666734,0.0034537194121378877,0.035600000000000076,0.005733333333333257,5,0,0.59,maximize
stats.alpha_precision.authenticity_naive,0.982,0.994,0.9875999999999999,0.003878143885933066,0.988,0.0020000000000000018,5,0,0.59,maximize
performance.linear_model.gt,0.7394974497449746,0.7636523652365236,0.7507274727472747,0.00981978926723823,0.7472832283228322,0.018739373937393666,5,0,0.18,maximize
performance.linear_model.syn_id,0.40257513251325133,0.6464935243524351,0.56100200020002,0.10272981179550396,0.638253200320032,0.16960033503350347,5,0,0.18,maximize
performance.linear_model.syn_ood,0.42324561403508776,0.768640350877193,0.6414473684210527,0.13224657015219946,0.7165570175438596,0.1891447368421052,5,0,0.18,maximize
performance.mlp.gt,0.5,0.5104166666666666,0.5041035353535352,0.005026775059948056,0.5,0.010101010101010055,5,0,4.62,maximize
performance.mlp.syn_id,0.5,0.5,0.5,0.0,0.5,0.0,5,0,4.62,maximize
performance.mlp.syn_ood,0.5,0.5,0.5,0.0,0.5,0.0,5,0,4.62,maximize
performance.xgb.gt,0.8142470497049704,0.8443169316931693,0.8359825732573256,0.011278773266380632,0.8426885188518852,0.0073179817981798845,5,0,0.47,maximize
performance.xgb.syn_id,0.44421173367336736,0.5714395814581458,0.5013369711971197,0.044859145578726944,0.5063593234323432,0.05825507550755077,5,0,0.47,maximize
performance.xgb.syn_ood,0.3659539473684211,0.6499451754385965,0.5161732456140351,0.09386951190187807,0.5386513157894737,0.0783991228070175,5,0,0.47,maximize
performance.feat_rank_distance.corr,-0.09781730790988709,0.2259498971968053,0.09401906943163155,0.1071698086638605,0.09843356486585285,0.0576330485759701,5,0,0.12,minimize
performance.feat_rank_distance.pvalue,0.0008696974221032511,0.17070379862503937,0.09889813919335327,0.07053005479295346,0.1469527698309772,0.12295733160078925,5,0,0.12,minimize
detection.detection_xgb.mean,0.9998684544193482,1.0,0.9999569146822868,4.698135845234605e-05,0.9999759517110358,3.5928431715959164e-05,5,0,0.12,minimize
detection.detection_mlp.mean,0.5,0.5,0.5,0.0,0.5,0.0,5,0,2.55,minimize
detection.detection_gmm.mean,0.3552954332299257,0.8322752086189067,0.5777074305324852,0.21190273632777848,0.49899598393574296,0.45379024074353264,5,0,0.17,minimize
detection.detection_linear.mean,0.9951462056768073,0.9981515937895509,0.9970109272833021,0.0012427828608274386,0.9978269418885337,0.002132665626110253,5,0,2.57,minimize
privacy.delta-presence.score,1.1897810218109648,74.99999925000002,16.019703438611888,29.490211093302108,1.3360655736609783,0.12154352822290937,5,0,0.04,maximize
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0,2.0,0.0,5,0,0.05,maximize
privacy.k-anonymization.syn,1.00000001,3.00000001,1.8000000100000002,0.7483314773547882,2.00000001,1.0,5,0,0.05,maximize
privacy.k-map.score,1.0,7.0,5.0,2.1908902300206643,5.0,2.0,5,0,0.03,maximize
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0,2.0,0.0,5,0,0.08,maximize
privacy.distinct l-diversity.syn,1.00000001,3.00000001,1.8000000100000002,0.7483314773547882,2.00000001,1.0,5,0,0.08,maximize
privacy.identifiability_score.score,0.01,0.012,0.011600000000000003,0.0008,0.012,0.0,5,0,0.03,minimize
privacy.identifiability_score.score_OC,0.02,0.026,0.024799999999999996,0.0023999999999999994,0.026,0.0,5,0,0.03,minimize
