,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.05648464669845973,0.10989158999597438,0.0755410879306311,0.018991684391226067,0.07277775992863289,0.01866385925866304,5,0,0.0,minimize
sanity.close_values_probability.score,0.78,0.928,0.8720000000000001,0.05013581554138718,0.88,0.03200000000000003,5,0,0.0,maximize
sanity.distant_values_probability.score,0.002,0.008,0.004000000000000001,0.0025298221281347035,0.002,0.004,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.01819522088098988,0.021072204134668194,0.01952296709981661,0.0009338827591737572,0.019411682530428045,0.000598636223198553,5,0,0.05,minimize
stats.chi_squared_test.marginal,0.10388383139922285,0.1116064582896689,0.10809547505186332,0.0024659257893017363,0.10821617907620444,0.000559035365265817,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.4683663224290363,0.4964216494570797,0.4805929047482437,0.00991454771498184,0.48185989234918153,0.012489454695954694,5,0,0.01,maximize
stats.ks_test.marginal,0.8507999999999999,0.8653333333333334,0.8609866666666666,0.00525380708523728,0.8623999999999999,0.002666666666666817,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.004025007991593581,0.004059880260839823,0.0040410752224763116,1.331046371284528e-05,0.004044046756022243,2.231271144744612e-05,5,0,0.04,minimize
stats.wasserstein_dist.joint,0.16887767907915657,0.1919388462245077,0.1840695141949409,0.008113173520859685,0.1880615338384039,0.005462124368068755,5,0,0.04,minimize
stats.prdc.precision,0.996,1.0,0.9992000000000001,0.0016000000000000014,1.0,0.0,5,0,0.01,maximize
stats.prdc.recall,0.47,0.66,0.5236000000000001,0.06915952573579436,0.492,0.016000000000000014,5,0,0.01,maximize
stats.prdc.density,1.008,1.1380000000000001,1.07168,0.045607297661668156,1.0652,0.06159999999999988,5,0,0.01,maximize
stats.prdc.coverage,0.372,0.46,0.4136,0.028910897599348246,0.412,0.023999999999999966,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.0,0.6457977011494254,0.5080698850574713,0.2542155434988733,0.6358344827586206,0.02358160919540242,5,0,0.15,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.0,0.368,0.28048,0.1405673987807984,0.3468,0.010000000000000009,5,0,0.15,maximize
stats.alpha_precision.authenticity_OC,0.0,0.744,0.5648,0.2843845284117967,0.704,0.08399999999999996,5,0,0.15,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.44853333333333334,0.5165333333333333,0.47658666666666666,0.02356443270882812,0.47919999999999996,0.023733333333333384,5,0,0.15,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.33906666666666674,0.4245333333333333,0.3723466666666667,0.03129882922907995,0.3606666666666667,0.04253333333333331,5,0,0.15,maximize
stats.alpha_precision.authenticity_naive,0.52,0.606,0.5736,0.02943195542263543,0.584,0.02200000000000002,5,0,0.15,maximize
performance.linear_model.gt,0.7001000100010001,0.7409720972097209,0.7226652665266526,0.0162176089833896,0.7206550655065507,0.029900990099009928,5,0,0.12,maximize
performance.linear_model.syn_id,0.6867776777677769,0.7487968796879688,0.7124978497849785,0.027877333330346768,0.695089508950895,0.05621762176217604,5,0,0.12,maximize
performance.linear_model.syn_ood,0.6970666666666667,0.7418666666666666,0.7149866666666667,0.016704830971242292,0.7146666666666667,0.02506666666666657,5,0,0.12,maximize
performance.mlp.gt,0.4898989898989899,0.5,0.49696969696969695,0.004040404040404041,0.5,0.0050505050505050275,5,0,5.33,maximize
performance.mlp.syn_id,0.48484848484848486,0.5,0.49595959595959604,0.0058898503988336305,0.5,0.0050505050505050275,5,0,5.33,maximize
performance.mlp.syn_ood,0.48,0.5,0.492,0.00979795897113272,0.5,0.020000000000000018,5,0,5.33,maximize
performance.xgb.gt,0.8026132613261326,0.9058785878587859,0.8421146114611462,0.03569764339344479,0.8353745374537453,0.03305930593059303,5,0,0.45,maximize
performance.xgb.syn_id,0.7717401740174017,0.8231593159315932,0.801015301530153,0.01802603978783766,0.8084133413341333,0.02109660966096616,5,0,0.45,maximize
performance.xgb.syn_ood,0.7525333333333334,0.8322666666666668,0.7965333333333333,0.03511950391955385,0.8119999999999999,0.07333333333333347,5,0,0.45,maximize
performance.feat_rank_distance.corr,-0.02304660154855312,0.32811086753928886,0.16034201908551854,0.14420551300165865,0.18696313655218458,0.2878512758928025,5,0,0.12,minimize
performance.feat_rank_distance.pvalue,1.340632382781108e-06,0.8722331359792926,0.3224677368793836,0.3949629424579705,0.005872313051454608,0.734210420834546,5,0,0.12,minimize
detection.detection_xgb.mean,0.9338002445437384,0.9653492236362712,0.9504691216369656,0.011115469388057055,0.9491748772853255,0.014971427896677603,5,0,0.17,minimize
detection.detection_mlp.mean,0.48423634658394055,0.5,0.49525046292956254,0.006315805935293662,0.5,0.007984031936127733,5,0,2.88,minimize
detection.detection_gmm.mean,0.42938219945650863,0.6382607053406354,0.5350953745060201,0.07319221002934552,0.5242406752759542,0.09756534834522573,5,0,0.18,minimize
detection.detection_linear.mean,0.7402846712606098,0.7712087548443982,0.7562330068958109,0.012837720635905105,0.7609306313424663,0.02515580627216829,5,0,2.56,minimize
privacy.delta-presence.score,8.1999999836,68.99999965500001,41.17333316627556,19.53015208054345,44.66666651777778,7.9999998649999995,5,0,0.05,maximize
privacy.k-anonymization.gt,1.0,2.0,1.2,0.4,1.0,0.0,5,0,0.07,maximize
privacy.k-anonymization.syn,2.00000001,3.00000001,2.4000000100000003,0.48989794855663565,2.00000001,1.0,5,0,0.07,maximize
privacy.k-map.score,2.0,5.0,3.2,1.16619037896906,3.0,2.0,5,0,0.06,maximize
privacy.distinct l-diversity.gt,1.0,2.0,1.2,0.4,1.0,0.0,5,0,0.12,maximize
privacy.distinct l-diversity.syn,2.00000001,3.00000001,2.4000000100000003,0.48989794855663565,2.00000001,1.0,5,0,0.12,maximize
privacy.identifiability_score.score,0.188,0.246,0.21000000000000002,0.019798989873223326,0.202,0.013999999999999985,5,0,0.04,minimize
privacy.identifiability_score.score_OC,0.0,0.246,0.1896,0.09512433968233366,0.234,0.01999999999999999,5,0,0.04,minimize
