,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.017144925185665252,0.022809904531696644,0.02024074166134448,0.002041256621410721,0.020539928745506853,0.0030111732086771335,5,0,0.0,minimize
sanity.close_values_probability.score,0.984,0.99,0.986,0.0021908902300206666,0.986,0.0020000000000000018,5,0,0.0,maximize
sanity.distant_values_probability.score,0.004,0.004,0.004,0.0,0.004,0.0,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.007549889316873424,0.008049038375235412,0.00781961181790866,0.0001906239179900955,0.007782299629959757,0.00032217047462098584,5,0,0.05,minimize
stats.chi_squared_test.marginal,0.39445197629324114,0.5247428965908429,0.47312984712717154,0.04848223498624607,0.4615541531726687,0.06352920445902027,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.8538666807127018,0.883233818958009,0.8707428681871272,0.009700965552849876,0.8740837393129615,0.006001223016347201,5,0,0.01,maximize
stats.ks_test.marginal,0.8886666666666666,0.9008,0.8938666666666666,0.004010652482244448,0.8931999999999998,0.0029333333333331213,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.004,0.004,0.004,0.0,0.004,0.0,5,0,0.02,minimize
stats.wasserstein_dist.joint,0.13043576055865397,0.1339483134590129,0.13193941355381283,0.0015331915998676457,0.1308419273775448,0.0028554795286363788,5,0,0.03,minimize
stats.prdc.precision,0.984,0.994,0.9884000000000001,0.0034409301068170535,0.988,0.0040000000000000036,5,0,0.02,maximize
stats.prdc.recall,0.956,0.976,0.968,0.0072663608498339865,0.97,0.010000000000000009,5,0,0.02,maximize
stats.prdc.density,1.02,1.0564,1.03232,0.013392296293018614,1.0252000000000001,0.01440000000000019,5,0,0.02,maximize
stats.prdc.coverage,0.9,0.94,0.9232000000000001,0.013658696863171083,0.926,0.014000000000000012,5,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.06666666666666665,0.07026666666666659,0.06810666666666662,0.0017636326148038571,0.06666666666666665,0.0035999999999999366,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.011199999999999988,0.011333333333333306,0.011226666666666652,5.333333333332746e-05,0.011199999999999988,0.0,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.006,0.006,0.006,0.0,0.006,0.0,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8966666666666667,0.9335954022988505,0.9108993103448275,0.013995084685326158,0.9046068965517241,0.020960919540229828,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.31613333333333327,0.3713333333333334,0.3538133333333333,0.01995579113941616,0.3613333333333333,0.015999999999999792,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.558,0.598,0.5736,0.015615377036754483,0.564,0.02399999999999991,5,0,0.1,maximize
performance.linear_model.gt,0.7372908540854087,0.7546989698969897,0.7488519101910192,0.006072054448689206,0.7501052605260528,0.0031570657065707053,5,0,0.18,maximize
performance.linear_model.syn_id,0.5008275827582759,0.7679026652665266,0.6792775277527754,0.09275034114766285,0.7139150165016502,0.03440219021902191,5,0,0.18,maximize
performance.linear_model.syn_ood,0.5915570175438596,0.7379385964912281,0.6916666666666667,0.052559114954393665,0.7039473684210527,0.035635964912280826,5,0,0.18,maximize
performance.mlp.gt,0.5,0.5104166666666666,0.5041035353535352,0.005026775059948056,0.5,0.010101010101010055,5,0,4.63,maximize
performance.mlp.syn_id,0.4897411616161616,0.5104166666666666,0.5000315656565657,0.006538283069381251,0.5,0.0,5,0,4.63,maximize
performance.mlp.syn_ood,0.5,0.5,0.5,0.0,0.5,0.0,5,0,4.63,maximize
performance.xgb.gt,0.8142470497049704,0.8443169316931693,0.8359825732573256,0.011278773266380632,0.8426885188518852,0.0073179817981798845,5,0,0.48,maximize
performance.xgb.syn_id,0.6943841884188421,0.7834503450345035,0.7385391539153916,0.03101255901424102,0.7273041054105412,0.03636176117611778,5,0,0.48,maximize
performance.xgb.syn_ood,0.7324561403508772,0.8355263157894738,0.7956140350877193,0.03584604071532315,0.8135964912280702,0.0317982456140351,5,0,0.48,maximize
performance.feat_rank_distance.corr,-0.009696969696969699,0.197979797979798,0.12000000000000002,0.07125650883979308,0.15313131313131315,0.04929292929292929,5,0,0.11,minimize
performance.feat_rank_distance.pvalue,0.0035165845156216293,0.8863299810650129,0.21199792913200372,0.33973538176827184,0.023982309805599483,0.09966363066807402,5,0,0.11,minimize
detection.detection_xgb.mean,0.9560241755864939,0.9696575394049934,0.962461902542221,0.00548136006328813,0.9606557752397954,0.010314411937973889,5,0,0.15,minimize
detection.detection_mlp.mean,0.5,0.5,0.5,0.0,0.5,0.0,5,0,2.4,minimize
detection.detection_gmm.mean,0.4472741264459034,0.5464576222347888,0.5050883227412861,0.03611904520708154,0.4961883461991679,0.04623063950736428,5,0,0.18,minimize
detection.detection_linear.mean,0.5177898297625944,0.5694814828894984,0.5445075508027305,0.01780513712126122,0.5407958342027438,0.0209247474317652,5,0,2.61,minimize
privacy.delta-presence.score,2.3333333294444443,4.333333318888889,3.2696969587517906,0.6544612727697329,3.1818181789256195,0.5000000264999991,5,0,0.03,maximize
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0,2.0,0.0,5,0,0.05,maximize
privacy.k-anonymization.syn,1.00000001,3.00000001,1.4000000099999999,0.8,1.00000001,0.0,5,0,0.05,maximize
privacy.k-map.score,1.0,6.0,2.2,1.9390719429665317,1.0,1.0,5,0,0.03,maximize
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0,2.0,0.0,5,0,0.08,maximize
privacy.distinct l-diversity.syn,1.00000001,3.00000001,1.4000000099999999,0.8,1.00000001,0.0,5,0,0.08,maximize
privacy.identifiability_score.score,0.478,0.502,0.4936,0.009243376006633082,0.5,0.01200000000000001,5,0,0.03,minimize
privacy.identifiability_score.score_OC,0.0,0.002,0.0004,0.0008,0.0,0.0,5,0,0.03,minimize
