,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.019922093560777746,0.024697917717596003,0.021502600983725785,0.0019579779740340596,0.02003305224425093,0.0029292361378922584,5,0,0.0,minimize
sanity.close_values_probability.score,0.978,0.988,0.9831999999999999,0.003249615361854387,0.984,0.0020000000000000018,5,0,0.0,maximize
sanity.distant_values_probability.score,0.004,0.004,0.004,0.0,0.004,0.0,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.005386636644560478,0.00623888505391462,0.005742481025143708,0.0003189947428602698,0.005810473663754699,0.0004677093538086024,5,0,0.05,minimize
stats.chi_squared_test.marginal,0.25499884431819614,0.3925299297423849,0.2983848643242989,0.053316180855562466,0.2610788214695193,0.06301116025252784,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.8202983507948117,0.85124860029383,0.8330431801805064,0.010295218441775828,0.8328629520754653,0.006650717158844577,5,0,0.01,maximize
stats.ks_test.marginal,0.9404,0.9484000000000001,0.9452266666666667,0.002630960956676425,0.9458666666666667,0.0008000000000001339,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.004,0.004,0.004,0.0,0.004,0.0,5,0,0.02,minimize
stats.wasserstein_dist.joint,0.1340478126029693,0.14144594498780416,0.13752388759186146,0.0026791372798934255,0.13760347218576344,0.004069104872885837,5,0,0.03,minimize
stats.prdc.precision,0.974,0.98,0.9756,0.0023323807579381226,0.974,0.0020000000000000018,5,0,0.02,maximize
stats.prdc.recall,0.98,0.984,0.9815999999999999,0.0014966629547095778,0.982,0.0020000000000000018,5,0,0.02,maximize
stats.prdc.density,0.9763999999999999,1.0008,0.9869600000000001,0.008188186612431321,0.9872000000000001,0.007199999999999873,5,0,0.02,maximize
stats.prdc.coverage,0.94,0.968,0.9527999999999999,0.010628264204469148,0.95,0.018000000000000016,5,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.9250666666666667,0.9669241379310345,0.9531595402298849,0.014576747789307884,0.9568459770114942,0.005199999999999982,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.45640000000000003,0.4992,0.4813866666666667,0.014642792690527894,0.48039999999999994,0.013866666666666583,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.508,0.534,0.5232,0.008634813257969168,0.524,0.006000000000000005,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8976,0.9437793103448275,0.926094712643678,0.01597203808476923,0.9293563218390805,0.014947126436781644,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.38493333333333324,0.4316,0.39925333333333335,0.017017136461030494,0.3965333333333333,0.01200000000000001,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.512,0.57,0.5464,0.023303218661807193,0.556,0.041999999999999926,5,0,0.1,maximize
performance.linear_model.gt,0.7415342784278428,0.7701811431143115,0.7507168716871687,0.01045788057134602,0.7470185768576858,0.009829607960796016,5,0,0.18,maximize
performance.linear_model.syn_id,0.5440046504650465,0.7920223272327233,0.6762104710471047,0.090820294347814,0.7210546054605461,0.12597747274727478,5,0,0.18,maximize
performance.linear_model.syn_ood,0.5592105263157895,0.7807017543859649,0.6713815789473685,0.08085059691330239,0.6589912280701754,0.1255482456140351,5,0,0.18,maximize
performance.mlp.gt,0.5,0.5104166666666666,0.5041035353535352,0.005026775059948056,0.5,0.010101010101010055,5,0,4.8,maximize
performance.mlp.syn_id,0.5,0.5,0.5,0.0,0.5,0.0,5,0,4.8,maximize
performance.mlp.syn_ood,0.5,0.5,0.5,0.0,0.5,0.0,5,0,4.8,maximize
performance.xgb.gt,0.8142470497049704,0.8443169316931693,0.8359825732573256,0.011278773266380632,0.8426885188518852,0.0073179817981798845,5,0,0.48,maximize
performance.xgb.syn_id,0.6923964896489649,0.7687620012001201,0.7318491349134914,0.0310429846716057,0.7476750175017502,0.05586671167116719,5,0,0.48,maximize
performance.xgb.syn_ood,0.7121710526315791,0.7856359649122807,0.7485745614035088,0.02683739280385603,0.7565789473684209,0.04002192982456154,5,0,0.48,maximize
performance.feat_rank_distance.corr,-0.029898989898989904,0.23919191919191923,0.10319191919191921,0.10222193476224206,0.1462626262626263,0.16202020202020206,5,0,0.11,minimize
performance.feat_rank_distance.pvalue,0.0004217431802518421,0.9904954511734626,0.33977009213392073,0.40985932941089137,0.03107144270444248,0.6419098250120795,5,0,0.11,minimize
detection.detection_xgb.mean,0.7819979404872529,0.8485558282468322,0.8159542973068366,0.021479444189630853,0.8183721295595089,0.013002132233621011,5,0,0.16,minimize
detection.detection_mlp.mean,0.5,0.500998003992016,0.5001996007984032,0.0003992015968063978,0.5,0.0,5,0,2.45,minimize
detection.detection_gmm.mean,0.47981880550276695,0.5079939320550876,0.49482963947294795,0.009363115412325974,0.49509897310926093,0.008763513302375847,5,0,0.18,minimize
detection.detection_linear.mean,0.4924141328482203,0.5426308482522725,0.5082677873457326,0.017880293678179175,0.5038755185682311,0.009739341027921788,5,0,2.57,minimize
privacy.delta-presence.score,1.7692307687771203,2.9999999700000006,2.5371794726026464,0.5386507518741017,2.9166666642361108,0.9999999800000006,5,0,0.05,maximize
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0,2.0,0.0,5,0,0.06,maximize
privacy.k-anonymization.syn,1.00000001,3.00000001,2.20000001,0.7483314773547882,2.00000001,1.0,5,0,0.06,maximize
privacy.k-map.score,1.0,4.0,1.8,1.1661903789690602,1.0,1.0,5,0,0.04,maximize
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0,2.0,0.0,5,0,0.08,maximize
privacy.distinct l-diversity.syn,1.00000001,3.00000001,2.20000001,0.7483314773547882,2.00000001,1.0,5,0,0.08,maximize
privacy.identifiability_score.score,0.48,0.538,0.5008,0.02049780476051035,0.5,0.018000000000000016,5,0,0.03,minimize
privacy.identifiability_score.score_OC,0.458,0.498,0.4732,0.013422369388450007,0.472,0.00599999999999995,5,0,0.03,minimize
