,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.0696656811819868,0.07555528688587901,0.07190124301835124,0.0020304803133651874,0.0713613363668225,0.0017815901119934974,5,0,0.0,minimize
sanity.close_values_probability.score,0.928,0.936,0.9316000000000001,0.0032000000000000028,0.932,0.006000000000000005,5,0,0.0,maximize
sanity.distant_values_probability.score,0.002,0.002,0.002,0.0,0.002,0.0,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.005806072321838448,0.006988975646721051,0.006460912621816951,0.0003852130793589275,0.006539218558289466,0.00023226127864698232,5,0,0.04,minimize
stats.chi_squared_test.marginal,0.2711961711914829,0.5438875811118883,0.41611527976671897,0.09243628776404492,0.45082020509558185,0.08984933899631309,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.8491068124095906,0.9061872701484446,0.8925564949671628,0.021928512960816608,0.9045192405198809,0.007496254834675753,5,0,0.01,maximize
stats.ks_test.marginal,0.9292727272727274,0.9409090909090909,0.9365454545454546,0.004146092454905918,0.9376363636363636,0.004727272727272691,5,0,0.06,maximize
stats.max_mean_discrepancy.joint,0.00399999999999057,0.003999999999991545,0.0039999999999910055,4.1430502864048045e-16,0.003999999999990782,8.005748841632965e-16,5,0,0.02,minimize
stats.wasserstein_dist.joint,0.031320448169950985,0.03714634513077625,0.03422480277712724,0.0018712586978410883,0.03442404974536012,0.0009738981626677967,5,0,0.03,minimize
stats.prdc.precision,0.924,0.942,0.9316000000000001,0.006621178142898711,0.93,0.010000000000000009,5,0,0.02,maximize
stats.prdc.recall,0.928,0.958,0.9452,0.009846826900072906,0.946,0.006000000000000005,5,0,0.02,maximize
stats.prdc.density,0.8508,0.8764,0.86744,0.009238528021281308,0.8684,0.009599999999999942,5,0,0.02,maximize
stats.prdc.coverage,0.9,0.944,0.9156000000000001,0.015768322675541596,0.914,0.016000000000000014,5,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.6134666666666666,0.656,0.6333866666666668,0.017369111792041807,0.6314666666666666,0.034533333333333416,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.39480000000000004,0.44253333333333345,0.4248533333333334,0.017288063962039104,0.4276000000000001,0.021199999999999775,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.494,0.532,0.5088,0.015471263684650988,0.502,0.028000000000000025,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.9468505747126437,0.9769379310344828,0.9637029885057471,0.012629687925520966,0.969416091954023,0.024639080459770146,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.3486666666666667,0.37693333333333323,0.3653333333333333,0.010115774260474998,0.3668,0.013466666666666738,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.526,0.586,0.5568000000000001,0.024383601046605044,0.566,0.04599999999999993,5,0,0.1,maximize
performance.linear_model.gt,0.8023877307593935,0.8335204820482716,0.8244900805411248,0.011283114634344242,0.8280714500081313,0.0041520143771096585,5,0,0.18,maximize
performance.linear_model.syn_id,0.7818186404076536,0.8147759371180318,0.8033912863789118,0.011663727261612777,0.8086178748000238,0.009549694887011406,5,0,0.18,maximize
performance.linear_model.syn_ood,0.7797802197802198,0.8043956043956045,0.7941978021978022,0.008700188145046514,0.7960439560439561,0.01098901098901095,5,0,0.18,maximize
performance.mlp.gt,0.43565715080773976,0.6997137049156438,0.5494597827261529,0.08993493169973138,0.5466926770822077,0.093158043277553,5,0,4.53,maximize
performance.mlp.syn_id,0.4221961672965266,0.7015899933918904,0.5472094440986665,0.09902908245031662,0.5,0.11986842221310601,5,0,4.53,maximize
performance.mlp.syn_ood,0.4325274725274724,0.7010989010989009,0.5612747252747252,0.099952061930792,0.52,0.15274725274725276,5,0,4.53,maximize
performance.xgb.gt,0.9003036004676203,0.9144037580418104,0.9095109215967639,0.004960090079436928,0.910112113661131,0.003752906657342625,5,0,0.64,maximize
performance.xgb.syn_id,0.8186526479461902,0.8588268128841731,0.8440344976777652,0.013853603194444257,0.8466292583544943,0.010758228011180093,5,0,0.64,maximize
performance.xgb.syn_ood,0.7551648351648351,0.832087912087912,0.8087912087912088,0.02754189045770643,0.8167032967032967,0.010989010989011061,5,0,0.64,maximize
performance.feat_rank_distance.corr,0.060606060606060615,0.3365656565656566,0.20274747474747476,0.09283206156233346,0.19474747474747478,0.09777777777777777,5,0,0.15,minimize
performance.feat_rank_distance.pvalue,6.993553908923698e-07,0.3716242470071768,0.07855315598322091,0.146666037064967,0.004092990506367178,0.016791408792985955,5,0,0.15,minimize
detection.detection_xgb.mean,0.7110835683801576,0.7654735259298876,0.7407627858056343,0.018616431087575346,0.7433869005369967,0.021528906691342886,5,0,0.25,minimize
detection.detection_mlp.mean,0.48951797004792813,0.519841746418425,0.5103583396658095,0.010897604787944055,0.513418945242046,0.007176470232466259,5,0,2.52,minimize
detection.detection_gmm.mean,0.4955577626220757,0.5469696923878238,0.5117089822951313,0.01821702845846863,0.5037230927366824,0.007678460264378573,5,0,0.34,minimize
detection.detection_linear.mean,0.5070661649070375,0.5453899214052956,0.5233668439759972,0.012525215308847622,0.5218110780819143,0.006719552742145751,5,0,0.15,minimize
privacy.delta-presence.score,1.999999995,4.999999950000001,3.333333315888889,1.135292410432302,2.666666657777778,1.6666666611111114,5,0,0.04,maximize
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0,2.0,0.0,5,0,0.05,maximize
privacy.k-anonymization.syn,2.00000001,7.00000001,4.6000000100000005,1.7435595774162693,4.00000001,2.0,5,0,0.05,maximize
privacy.k-map.score,1.0,4.0,2.6,1.019803902718557,3.0,1.0,5,0,0.03,maximize
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0,2.0,0.0,5,0,0.08,maximize
privacy.distinct l-diversity.syn,2.00000001,7.00000001,4.6000000100000005,1.7435595774162693,4.00000001,2.0,5,0,0.08,maximize
privacy.identifiability_score.score,0.402,0.43,0.41559999999999997,0.011551623262554905,0.42,0.021999999999999964,5,0,0.03,minimize
privacy.identifiability_score.score_OC,0.442,0.476,0.4584,0.011412274094149678,0.458,0.01200000000000001,5,0,0.03,minimize
