,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.11060905494078097,0.11877628626809913,0.11570725884814655,0.0027359973222312616,0.11657013430554704,0.0010891384204924914,5,0,0.0,minimize
sanity.close_values_probability.score,0.83,0.846,0.8368,0.005306599664568644,0.836,0.0040000000000000036,5,0,0.0,maximize
sanity.distant_values_probability.score,0.006,0.006,0.006,0.0,0.006,0.0,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.02229226980447552,0.02327851616958133,0.0227427634784065,0.00036574501033943276,0.022672219884046076,0.000589553892443171,5,0,0.04,minimize
stats.chi_squared_test.marginal,0.08560919039600537,0.08813732293332975,0.08712993612905205,0.0008805222361881634,0.08719690126777385,0.0009433803542538977,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.2773524627942028,0.3137904907311539,0.2879122472293525,0.01324989326200117,0.28233071725024045,0.0060080699531794846,5,0,0.01,maximize
stats.ks_test.marginal,0.7336363636363636,0.736181818181818,0.7351636363636365,0.0008802704317752615,0.7352727272727274,0.0009090909090909705,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.004031067369235215,0.004058301628087752,0.004044112176840592,9.222425234715323e-06,0.004045169029264184,1.0021763755402487e-05,5,0,0.02,minimize
stats.wasserstein_dist.joint,0.09229254243496464,0.09622717952488999,0.09461514593804472,0.0013140662510167942,0.09511573727905796,0.0008579907353183924,5,0,0.03,minimize
stats.prdc.precision,0.74,0.786,0.7567999999999999,0.017645396000090238,0.748,0.026000000000000023,5,0,0.02,maximize
stats.prdc.recall,0.282,0.33,0.304,0.016876018487783206,0.306,0.02200000000000002,5,0,0.02,maximize
stats.prdc.density,0.8016000000000001,0.862,0.8300000000000001,0.021696082595712967,0.8324,0.03160000000000007,5,0,0.02,maximize
stats.prdc.coverage,0.402,0.432,0.422,0.010353743284435815,0.426,0.0020000000000000018,5,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.4421333333333334,0.48706666666666665,0.45464000000000004,0.016738596781756293,0.4464,0.010666666666666713,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.3194666666666667,0.3574666666666668,0.3371733333333334,0.015745622319305864,0.3361333333333333,0.03199999999999992,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.52,0.57,0.5456000000000001,0.018128430709799442,0.552,0.026000000000000023,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.6684689655172413,0.6958666666666667,0.6798170114942529,0.010685070686679496,0.6742022988505747,0.01746666666666663,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.1293333333333332,0.1650666666666667,0.14119999999999994,0.012885823390239581,0.13546666666666662,0.011599999999999944,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.704,0.764,0.7308,0.023310083654933565,0.728,0.04200000000000004,5,0,0.1,maximize
performance.linear_model.gt,0.8023877307593935,0.8335204820482716,0.8244900805411248,0.011283114634344242,0.8280714500081313,0.0041520143771096585,5,0,0.19,maximize
performance.linear_model.syn_id,0.3697058365094214,0.5187518808631311,0.4430190809263025,0.05500832558024853,0.45069696720170344,0.08842354346494896,5,0,0.19,maximize
performance.linear_model.syn_ood,0.2668131868131868,0.538021978021978,0.39762637362637354,0.0940596074692835,0.3736263736263736,0.11604395604395601,5,0,0.19,maximize
performance.mlp.gt,0.43565715080773976,0.6997137049156438,0.5494597827261529,0.08993493169973138,0.5466926770822077,0.093158043277553,5,0,4.55,maximize
performance.mlp.syn_id,0.4513643310292734,0.5294156072219539,0.49654752040110567,0.026108723005428703,0.5048855664531251,0.02044817109835312,5,0,4.55,maximize
performance.mlp.syn_ood,0.4659340659340659,0.556923076923077,0.5192967032967033,0.03079258140652676,0.5217582417582418,0.027692307692307794,5,0,4.55,maximize
performance.xgb.gt,0.9003036004676203,0.9144037580418104,0.9095109215967639,0.004960090079436928,0.910112113661131,0.003752906657342625,5,0,0.68,maximize
performance.xgb.syn_id,0.453520848020654,0.6198031612595484,0.5274276106215406,0.05482610846358228,0.5256981026227774,0.04221293608514881,5,0,0.68,maximize
performance.xgb.syn_ood,0.2202197802197802,0.6092307692307692,0.4603076923076923,0.13364326093407264,0.49802197802197795,0.11516483516483522,5,0,0.68,maximize
performance.feat_rank_distance.corr,-0.09131313131313133,0.1848671592421122,0.06537945194227908,0.1155019427526739,0.09798969642887914,0.23151515151515156,5,0,0.15,minimize
performance.feat_rank_distance.pvalue,0.006430364011684618,0.4784536899318259,0.1637256564789224,0.17253719774963375,0.14862844535402828,0.17141908673699308,5,0,0.15,minimize
detection.detection_xgb.mean,0.9997474929658755,1.0,0.9998990979875615,8.557981277830904e-05,0.9999158309886251,7.207286602761709e-05,5,0,0.15,minimize
detection.detection_mlp.mean,0.4589202303854883,0.8346240208422344,0.6481584626720875,0.1534726412038361,0.6404143232185078,0.30683373891420684,5,0,2.72,minimize
detection.detection_gmm.mean,0.3715525445753756,0.6646613705710288,0.5333953548785842,0.09781756901992544,0.5333189043599548,0.08885612369518237,5,0,0.38,minimize
detection.detection_linear.mean,0.7364540812322401,0.769464893890165,0.7497773517246584,0.012386955135380148,0.743687576149915,0.018163226249326536,5,0,0.2,minimize
privacy.delta-presence.score,15.1999999696,115.99999884000002,68.43999936842002,44.406917874953216,75.99999924000001,96.99999888750001,5,0,0.04,maximize
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0,2.0,0.0,5,0,0.05,maximize
privacy.k-anonymization.syn,6.00000001,16.00000001,8.60000001,3.773592452822642,7.00000001,2.000000000000001,5,0,0.05,maximize
privacy.k-map.score,1.0,5.0,2.4,1.7435595774162693,1.0,3.0,5,0,0.03,maximize
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0,2.0,0.0,5,0,0.08,maximize
privacy.distinct l-diversity.syn,6.00000001,16.00000001,8.60000001,3.773592452822642,7.00000001,2.000000000000001,5,0,0.08,maximize
privacy.identifiability_score.score,0.144,0.178,0.16360000000000002,0.011128342194594847,0.166,0.006000000000000005,5,0,0.03,minimize
privacy.identifiability_score.score_OC,0.348,0.376,0.364,0.010353743284435836,0.364,0.016000000000000014,5,0,0.03,minimize
