,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.00599999999988,0.01799999999964,0.009999999999799999,0.004195235392596701,0.00799999999984,0.001999999999960001,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.6012992252771674,0.6613877539553341,0.6420041284560802,0.021943755787046805,0.6505235553924472,0.021000175397214882,5,0,0.0,minimize
sanity.close_values_probability.score,0.006,0.018,0.01,0.004195235392680605,0.008,0.002,5,0,0.0,maximize
sanity.distant_values_probability.score,0.022,0.046,0.03560000000000001,0.007838367176906169,0.038,0.003999999999999997,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.004446858580498687,0.006929657308435113,0.005717622931866931,0.0010626319894227246,0.00583082295228313,0.0022573287844149656,5,0,0.03,minimize
stats.chi_squared_test.marginal,0.9963961206687448,0.9982672757886341,0.9977724069355732,0.0007000781610220548,0.9980723500977002,0.00032393219828485975,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.9984055993334076,0.9991969045497324,0.9989609559861699,0.00029735677573539354,0.9991374764433419,0.0002707198347767781,5,0,0.01,maximize
stats.ks_test.marginal,0.9664444444444444,0.9802222222222223,0.9740444444444444,0.004632467278505036,0.9737777777777779,0.004444444444444362,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.004191692017372293,0.004381223721902264,0.004309821684680087,6.91468391267334e-05,0.004300454987241317,7.990664274324863e-05,5,0,0.01,minimize
stats.wasserstein_dist.joint,0.2071728094266664,0.2141855663291076,0.21022795883256262,0.0023602856100884894,0.2102849313260563,0.002188445306142317,5,0,0.03,minimize
stats.prdc.precision,0.826,0.856,0.8416,0.010071742649611347,0.844,0.010000000000000009,5,0,0.02,maximize
stats.prdc.recall,0.964,0.98,0.9696,0.005571355310873652,0.968,0.0040000000000000036,5,0,0.02,maximize
stats.prdc.density,0.44320000000000004,0.47000000000000003,0.454,0.008940693485407042,0.4524,0.00599999999999995,5,0,0.02,maximize
stats.prdc.coverage,0.764,0.816,0.7936,0.017590906741836804,0.792,0.016000000000000014,5,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.7194666666666667,0.7746528735632184,0.7415705747126438,0.020035298347297954,0.7405333333333334,0.02733333333333332,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.3721333333333333,0.4635999999999999,0.41328,0.036257606711481115,0.39280000000000004,0.06106666666666649,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.504,0.564,0.5336000000000001,0.022817537115122646,0.532,0.040000000000000036,5,0,0.1,maximize
