,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.01199999999976,0.02399999999952,0.016399999999672,0.004079215610792644,0.01599999999968,0.001999999999959999,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.6060590747705182,0.6654077521993317,0.6391103842168676,0.025089266122342153,0.6520067948775441,0.048543452329217085,5,0,0.0,minimize
sanity.close_values_probability.score,0.012,0.024,0.0164,0.0040792156108742286,0.016,0.002,5,0,0.0,maximize
sanity.distant_values_probability.score,0.056,0.078,0.068,0.008099382692526634,0.066,0.011999999999999997,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.010112338492110295,0.012738659829990959,0.011771055189738987,0.0009627326267464664,0.01172071392255982,0.0011569442257539295,5,0,0.03,minimize
stats.chi_squared_test.marginal,0.9928532649318803,0.9979742622852188,0.994752623551071,0.0018913169455878887,0.9944994470648039,0.002554717216463054,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.9871848751272441,0.9924719110185808,0.9898398738173266,0.0022423020441313763,0.9895818088264071,0.0047025246265712806,5,0,0.01,maximize
stats.ks_test.marginal,0.9380000000000001,0.9537777777777777,0.9441777777777777,0.005489203769645583,0.9422222222222221,0.005555555555555647,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.004373920238470226,0.004504064345914096,0.004420227733195345,4.499920113873455e-05,0.0044096257230581285,3.0878524189006246e-05,5,0,0.01,minimize
stats.wasserstein_dist.joint,0.21063929834523454,0.2200182585707175,0.21586035734990658,0.0030588295545740927,0.21676976483877106,0.0016707782438032948,5,0,0.04,minimize
stats.prdc.precision,0.814,0.838,0.828,0.008944271909999166,0.83,0.014000000000000012,5,0,0.02,maximize
stats.prdc.recall,0.934,0.95,0.942,0.0068117545463705145,0.944,0.013999999999999901,5,0,0.02,maximize
stats.prdc.density,0.42240000000000005,0.4712,0.4453600000000001,0.017994843705906403,0.44960000000000006,0.027599999999999958,5,0,0.02,maximize
stats.prdc.coverage,0.744,0.792,0.7652000000000001,0.017600000000000015,0.768,0.026000000000000023,5,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.7112,0.7982436781609196,0.7513020689655173,0.03674243688792933,0.7368000000000001,0.07346666666666679,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.41680000000000006,0.4614666666666667,0.4394400000000001,0.01709609962015377,0.4377333333333334,0.030266666666666664,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.498,0.542,0.524,0.016685322891691383,0.522,0.026000000000000023,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.9587494252873563,0.9815080459770115,0.9713324137931035,0.009108139230260595,0.9736183908045977,0.017186206896551703,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.5373333333333334,0.5877333333333333,0.5724533333333334,0.01858240027552948,0.5785333333333333,0.015999999999999792,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.402,0.43,0.418,0.010733126291998983,0.414,0.016000000000000014,5,0,0.1,maximize
performance.linear_model.gt,0.9420742045308071,0.9476367637622388,0.9453894589156505,0.0021132207145774687,0.9458692482838345,0.0034304676655589894,5,0,0.21,maximize
performance.linear_model.syn_id,0.5954621056113268,0.6848900134985595,0.6468501606518178,0.030491711009137328,0.6569774815658898,0.030106807498370025,5,0,0.21,maximize
performance.linear_model.syn_ood,0.6066,0.7125333333333334,0.64846,0.038333782026359516,0.6317,0.048866666666666614,5,0,0.21,maximize
performance.mlp.gt,0.7777196284267013,0.8306717262585773,0.8084223963111153,0.02047319890346974,0.8131582810080652,0.035460626698382236,5,0,4.74,maximize
performance.mlp.syn_id,0.5731937361167031,0.6106064036109125,0.590992168791376,0.014543774613210245,0.5913906468777198,0.026589252848173817,5,0,4.74,maximize
performance.mlp.syn_ood,0.5638666666666667,0.6118999999999999,0.5925066666666667,0.017662032725595262,0.59135,0.024816666666666598,5,0,4.74,maximize
performance.xgb.gt,0.9789961090489013,0.9868683910863524,0.9835077283888356,0.0028033933867417735,0.9830048357896803,0.0034715414288116753,5,0,0.75,maximize
performance.xgb.syn_id,0.6126479059694078,0.6673733778898203,0.6470297226883679,0.019965774930079297,0.6466935524731069,0.024238956171654835,5,0,0.75,maximize
performance.xgb.syn_ood,0.6079,0.7002,0.6567733333333333,0.03623927519510655,0.65,0.06589999999999985,5,0,0.75,maximize
performance.feat_rank_distance.corr,-0.11901830793476864,0.19077735378881788,0.03815538963671657,0.10919294260795744,0.07988164065061197,0.13554634649534822,5,0,0.34,minimize
performance.feat_rank_distance.pvalue,1.969656509251353e-08,0.1559940850972851,0.03706709522359406,0.05986368013364866,0.01015513505393581,0.01826535260449111,5,0,0.34,minimize
detection.detection_xgb.mean,0.7349461311127113,0.8053226567570436,0.767365103859088,0.02466620570343512,0.7729823161555108,0.03021800709957323,5,0,0.15,minimize
detection.detection_mlp.mean,0.5095377746058997,0.5550871419270974,0.539043455546162,0.018904638043825448,0.5524632863988495,0.030946691855449404,5,0,2.4,minimize
detection.detection_gmm.mean,0.4775393301125907,0.5303664728835382,0.5148697770752413,0.01902208032546425,0.522226631075199,0.005757477181845827,5,0,0.26,minimize
detection.detection_linear.mean,0.5078137858904513,0.564957848533508,0.5474287843042722,0.020366571025293555,0.5537037893047323,0.008124217620598895,5,0,0.04,minimize
privacy.delta-presence.score,1.5357142851658163,1.9999999983333332,1.6760939051656982,0.16623073881707037,1.5999999989333333,0.06293706302410862,5,0,0.03,maximize
privacy.k-anonymization.gt,20.0,20.0,20.0,0.0,20.0,0.0,5,0,0.05,maximize
privacy.k-anonymization.syn,20.00000001,25.00000001,23.200000010000004,1.7204650534085253,24.00000001,1.0,5,0,0.05,maximize
privacy.k-map.score,12.0,19.0,15.8,2.481934729198171,15.0,3.0,5,0,0.03,maximize
privacy.distinct l-diversity.gt,20.0,20.0,20.0,0.0,20.0,0.0,5,0,0.08,maximize
privacy.distinct l-diversity.syn,20.00000001,25.00000001,23.200000010000004,1.7204650534085253,24.00000001,1.0,5,0,0.08,maximize
privacy.identifiability_score.score,0.18,0.228,0.2044,0.015666524822052913,0.206,0.011999999999999983,5,0,0.03,minimize
privacy.identifiability_score.score_OC,0.406,0.47,0.44239999999999996,0.023812601705819537,0.446,0.038000000000000034,5,0,0.03,minimize
