,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.0,0.10526315789473684,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.00399999999992,0.0015999999999679998,0.0014966629546796434,0.00199999999996,0.00199999999996,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.009895936805638958,0.02341846451003194,0.018769754328235026,0.0047975112833352086,0.02107105295554559,0.0038933105282931355,5,0,0.02,minimize
sanity.close_values_probability.score,0.97,0.992,0.9844000000000002,0.007525955088890718,0.986,0.0020000000000000018,5,0,0.01,maximize
sanity.distant_values_probability.score,0.002,0.004,0.0028,0.0009797958971132711,0.002,0.002,5,0,0.01,minimize
stats.jensenshannon_dist.marginal,0.011333136392309031,0.014849441925814052,0.012637387804646304,0.001296616125313112,0.012014742831524866,0.0016634106353394552,5,0,0.07,minimize
stats.chi_squared_test.marginal,0.25207403255018557,0.426276174666236,0.3224392727680525,0.05683851299151892,0.3119320768335355,0.009552911472728243,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.7603647224548148,0.7922704986490803,0.7839387061356495,0.01186983256617422,0.7894106206662896,0.0018122644750971917,5,0,0.01,maximize
stats.ks_test.marginal,0.8508888888888889,0.8784444444444444,0.8676666666666666,0.009311614942613625,0.8704444444444444,0.0067777777777776604,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.005207618834570735,0.005710451272774801,0.0053728361470144845,0.00018113440236301707,0.005286160507036718,0.00015218944153408322,5,0,0.05,minimize
stats.wasserstein_dist.joint,0.13491110335413958,1.0534732018610566,0.32820912132105146,0.36273001460869964,0.15605265586066752,0.015740745321863953,5,0,0.05,minimize
stats.prdc.precision,0.968,0.988,0.9756,0.007088018058667747,0.974,0.008000000000000007,5,0,0.02,maximize
stats.prdc.recall,0.824,0.934,0.8859999999999999,0.04306274491947771,0.894,0.07800000000000007,5,0,0.02,maximize
stats.prdc.density,1.0264,1.218,1.08208,0.06937314754283531,1.0608000000000002,0.024399999999999977,5,0,0.02,maximize
stats.prdc.coverage,0.756,0.85,0.8123999999999999,0.03076101428756859,0.818,0.006000000000000005,5,0,0.02,maximize
performance.linear_model.gt,0.7096672887444063,0.8068822366704794,0.7683455742178877,0.03428963488855179,0.7758982501555195,0.04035829671101476,5,0,0.16,maximize
performance.linear_model.syn_id,0.6311405093010656,0.8637278510224148,0.7701054522103826,0.0788171122857551,0.8008678987819317,0.06215559970300821,5,0,0.16,maximize
performance.linear_model.syn_ood,0.687843137254902,0.8831372549019608,0.784,0.06601778796329305,0.7890196078431372,0.07294117647058829,5,0,0.16,maximize
performance.mlp.gt,0.0,0.0,0.0,0.0,0.0,0.0,5,0,3.95,maximize
performance.mlp.syn_id,0.0,0.0,0.0,0.0,0.0,0.0,5,0,3.95,maximize
performance.mlp.syn_ood,0.0,0.0,0.0,0.0,0.0,0.0,5,0,3.95,maximize
performance.xgb.gt,0.8314257118776714,0.9171515361306765,0.8820248128750026,0.028499503136647765,0.8905301206028134,0.018457648546144068,5,0,0.44,maximize
performance.xgb.syn_id,0.8440689402604699,0.929334100896996,0.8943699707021452,0.03322924469614062,0.8989316818172696,0.058126893825376946,5,0,0.44,maximize
performance.xgb.syn_ood,0.7772549019607843,0.8980392156862744,0.8618039215686274,0.04399545605840455,0.8745098039215686,0.029019607843137285,5,0,0.44,maximize
performance.feat_rank_distance.corr,-0.08387227333778724,0.17292929292929296,0.05922582697903498,0.09218238721532751,0.05050505050505051,0.12868546045390664,5,0,0.11,minimize
performance.feat_rank_distance.pvalue,0.010794931794293257,0.8371885527628137,0.31130513542966176,0.3075760112305588,0.21648072316173594,0.421051299411831,5,0,0.11,minimize
detection.detection_xgb.mean,0.8414652550465046,0.8822490651047663,0.8609451827173155,0.015758116015155994,0.8648676242493729,0.027436181673158866,5,0,0.19,minimize
detection.detection_mlp.mean,0.5401390063102999,0.7178924381955373,0.6373883284581547,0.058557030934615055,0.6323548343756898,0.04344640205196704,5,0,2.9,minimize
detection.detection_gmm.mean,0.47121326209855735,0.519395953061772,0.49860351441982936,0.015497926296427156,0.5,0.0024083569388170245,5,0,0.29,minimize
detection.detection_linear.mean,0.7619514596087388,0.8103286249087569,0.777338440498701,0.017726522212641316,0.771816010141178,0.016885894900912857,5,0,1.46,minimize
privacy.delta-presence.score,5.99999997,19.999999800000005,10.816666587236112,4.990101244344019,8.333333305555556,4.249999899375003,5,0,0.06,maximize
privacy.k-anonymization.gt,1.0,2.0,1.2,0.4,1.0,0.0,5,0,0.07,maximize
privacy.k-anonymization.syn,1.00000001,2.00000001,1.20000001,0.4000000000000001,1.00000001,0.0,5,0,0.07,maximize
privacy.k-map.score,1.0,2.0,1.2,0.4,1.0,0.0,5,0,0.06,maximize
privacy.distinct l-diversity.gt,1.0,2.0,1.2,0.4,1.0,0.0,5,0,0.13,maximize
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.20000001,0.4000000000000001,1.00000001,0.0,5,0,0.13,maximize
