,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.03979855735020983,0.0499482906066694,0.043599796476339193,0.00407077411144165,0.041376493893593276,0.006798185898449091,5,0,0.01,minimize
sanity.close_values_probability.score,0.952,0.976,0.9652,0.00805977667184396,0.966,0.008000000000000007,5,0,0.01,maximize
sanity.distant_values_probability.score,0.002,0.008,0.004,0.0021908902300206644,0.004,0.002,5,0,0.06,minimize
stats.jensenshannon_dist.marginal,0.004053491382333047,0.004582634482782195,0.004246198647219948,0.00020408572668024103,0.004126553569995962,0.0002943630613715265,5,0,0.07,minimize
stats.chi_squared_test.marginal,0.44293544099481597,0.551574727733728,0.5077435818443325,0.040514713110543735,0.49681676766472144,0.053993029825563754,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.9149912679238807,0.9489672663583656,0.935285327541808,0.011955393356524055,0.93539905308858,0.013746660834370372,5,0,0.01,maximize
stats.ks_test.marginal,0.9061111111111111,0.9164444444444444,0.909511111111111,0.003622017717471711,0.9082222222222222,0.001888888888889051,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.00401630131841854,0.004026589467312514,0.00402256328850056,3.7120670125169105e-06,0.0040238245072225,4.776872178064752e-06,5,0,0.02,minimize
stats.wasserstein_dist.joint,0.11723411201510367,0.12241517277573917,0.11866232904182505,0.0018983796986696444,0.11781691125096705,0.00041671737383648655,5,0,0.03,minimize
stats.prdc.precision,0.954,0.964,0.9559999999999998,0.0040000000000000036,0.954,0.0,5,0,0.02,maximize
stats.prdc.recall,0.952,0.972,0.9644,0.007418894796396569,0.968,0.010000000000000009,5,0,0.02,maximize
stats.prdc.density,0.9352,0.9744,0.95168,0.015667341829423396,0.9492000000000002,0.029200000000000004,5,0,0.02,maximize
stats.prdc.coverage,0.916,0.942,0.9311999999999999,0.011070682002478405,0.936,0.02199999999999991,5,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.7309333333333333,0.798,0.7541066666666667,0.023842803712837334,0.7410666666666667,0.018933333333333358,5,0,0.53,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.33893333333333353,0.4177333333333333,0.3746400000000001,0.029395013938497125,0.3681333333333334,0.04786666666666661,5,0,0.53,maximize
stats.alpha_precision.authenticity_OC,0.502,0.548,0.5312,0.015522886329545817,0.536,0.006000000000000005,5,0,0.53,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.9379264367816091,0.9644919540229885,0.9494445977011494,0.01031675061836054,0.9467356321839081,0.018188505747126382,5,0,0.53,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.3867999999999998,0.4310666666666667,0.41855999999999993,0.016503284521573333,0.4266666666666665,0.011733333333333373,5,0,0.53,maximize
stats.alpha_precision.authenticity_naive,0.52,0.57,0.5488,0.01818130908378159,0.548,0.025999999999999912,5,0,0.53,maximize
performance.linear_model.gt,0.8038505226005226,0.8704820892320893,0.8441497503997504,0.023221007319051933,0.8461521586521586,0.02461999336999332,5,0,0.19,maximize
performance.linear_model.syn_id,0.7873352248352248,0.8432332494832494,0.8087045649545649,0.018568091098746273,0.8043197418197418,0.005876818376818416,5,0,0.19,maximize
performance.linear_model.syn_ood,0.7682494684620836,0.8277817150956768,0.7917788802267894,0.019617005933922814,0.7888022678951098,0.006378454996456395,5,0,0.19,maximize
performance.mlp.gt,0.4560871748371748,0.4960067616317616,0.4692894192894192,0.01458477281527922,0.4648798555048555,0.01513689013689018,5,0,4.34,maximize
performance.mlp.syn_id,0.4572462072462072,0.4707621582621582,0.4634044352794352,0.005214149347185778,0.4614606489606489,0.00892430579930581,5,0,4.34,maximize
performance.mlp.syn_ood,0.4457831325301205,0.463855421686747,0.45060240963855425,0.007025243246801568,0.4457831325301205,0.006024096385542188,5,0,4.34,maximize
performance.xgb.gt,0.8826476638976639,0.9113200050700051,0.8901746714246714,0.010721798363583996,0.88495475995476,0.004120597870597931,5,0,0.54,maximize
performance.xgb.syn_id,0.7782238407238408,0.8296661109161109,0.8066190378690379,0.016782824490318416,0.8082343707343708,0.011071136071135967,5,0,0.54,maximize
performance.xgb.syn_ood,0.7143869596031184,0.810772501771793,0.7858256555634302,0.03611927798111417,0.8029766123316796,0.012048192771084265,5,0,0.54,maximize
performance.feat_rank_distance.corr,-0.03595959595959597,0.2953535353535354,0.14214141414141418,0.10587443786006363,0.16000000000000003,0.03191919191919193,5,0,0.13,minimize
performance.feat_rank_distance.pvalue,1.3367159173998425e-05,0.5960392794330521,0.1374943198102065,0.22999752622722222,0.018340631484374693,0.03868664333709748,5,0,0.13,minimize
detection.detection_xgb.mean,0.9148961293918907,0.9385998942163288,0.9315298556627456,0.008621866896024196,0.9349500263595166,0.005375440591294134,5,0,0.2,minimize
detection.detection_mlp.mean,0.46172671610822075,0.5164130652193917,0.49061443522305365,0.020992235810428014,0.4944238209966331,0.03710874189864255,5,0,2.41,minimize
detection.detection_gmm.mean,0.49911622538056416,0.5307413453880062,0.5115109295153291,0.012218992670983543,0.5059639756631316,0.019569475146813287,5,0,0.22,minimize
detection.detection_linear.mean,0.5317723977771317,0.5658321190387424,0.5539947304006805,0.011849911077560777,0.5595977081260609,0.0071160615065950505,5,0,1.95,minimize
privacy.delta-presence.score,1.3999999998133335,3.99999998,2.1559321976521693,0.943077402872705,1.779661016647515,0.3999999982,5,0,0.04,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.06,maximize
privacy.k-anonymization.syn,1.00000001,3.00000001,1.60000001,0.8,1.00000001,1.0,5,0,0.06,maximize
privacy.k-map.score,1.0,2.0,1.4,0.4898979485566356,1.0,1.0,5,0,0.04,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.09,maximize
privacy.distinct l-diversity.syn,1.00000001,3.00000001,1.60000001,0.8,1.00000001,1.0,5,0,0.09,maximize
privacy.identifiability_score.score,0.412,0.468,0.4404,0.018172506706560895,0.438,0.01200000000000001,5,0,0.07,minimize
privacy.identifiability_score.score_OC,0.396,0.448,0.4208,0.02014348529922267,0.416,0.035999999999999976,5,0,0.07,minimize
