,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.026266365571724036,0.03319264379920897,0.0281523629664374,0.002543915961242433,0.027016324890660044,0.0003711747902269552,5,0,0.0,minimize
sanity.close_values_probability.score,0.97,0.978,0.9756,0.0029393876913398165,0.976,0.0020000000000000018,5,0,0.0,maximize
sanity.distant_values_probability.score,0.004,0.004,0.004,0.0,0.004,0.0,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.027513946981140305,0.028094309466480803,0.027815553940070188,0.00022710567990121773,0.02781514751526759,0.0004217651452950062,5,0,0.04,minimize
stats.chi_squared_test.marginal,0.0,0.0908446910580433,0.036259867284107974,0.044409257782090296,0.0,0.09045464536249659,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.4653560273310552,0.4835303836632709,0.4760302253285588,0.007131439719080138,0.47779003229526046,0.012649058208365649,5,0,0.01,maximize
stats.ks_test.marginal,0.38945454545454544,0.39618181818181814,0.3931272727272727,0.0026557904925832952,0.39290909090909093,0.0049090909090909185,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.004013168246221634,0.0040220266503374555,0.00401769631019432,3.0567100017785428e-06,0.004018063015870279,3.82450535204009e-06,5,0,0.02,minimize
stats.wasserstein_dist.joint,0.1608206675698743,0.16603983312711867,0.16374393084288075,0.002247056310805906,0.16478276180742607,0.004531192186214311,5,0,0.03,minimize
stats.prdc.precision,0.232,0.268,0.2548,0.012812493902437576,0.254,0.01200000000000001,5,0,0.02,maximize
stats.prdc.recall,0.584,0.668,0.63,0.0301728354650338,0.634,0.04400000000000004,5,0,0.02,maximize
stats.prdc.density,0.0504,0.0604,0.05728,0.003518181348367364,0.0584,0.0003999999999999976,5,0,0.02,maximize
stats.prdc.coverage,0.016,0.024,0.0204,0.002939387691339814,0.022,0.004,5,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.0023999999999999577,0.004933333333333345,0.00346666666666664,0.0008219218670625514,0.0033333333333334103,0.0002666666666667483,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.011466666666666736,0.02640000000000009,0.019333333333333334,0.005291838579884644,0.0198666666666667,0.0074666666666666215,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.996,1.0,0.9987999999999999,0.0016000000000000014,1.0,0.0020000000000000018,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.2985471264367816,0.31414712643678155,0.30526712643678156,0.0055352446498174585,0.3056137931034483,0.007199999999999762,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.03173333333333339,0.04200000000000004,0.03704000000000003,0.003474248120097339,0.03693333333333326,0.003866666666666574,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.844,0.99,0.932,0.06408744026718496,0.98,0.118,5,0,0.1,maximize
performance.linear_model.gt,0.6552963160014226,0.6594238752779321,0.6572905723554292,0.001664189768001645,0.6569609200385279,0.003222657980379129,5,0,0.29,maximize
performance.linear_model.syn_id,0.6337209896948366,0.9836714076110414,0.8349543731335063,0.15990018378229898,0.9508101474227164,0.3155953455851337,5,0,0.29,maximize
performance.linear_model.syn_ood,0.9298711015882732,0.9737101656293575,0.9468246095636499,0.01470190880493935,0.942216780600619,0.00837499999999991,5,0,0.29,maximize
performance.mlp.gt,0.4530996483929286,0.6495724901085568,0.6067953292173264,0.07694626207189058,0.6462437819708264,0.00907995156515673,5,0,4.48,maximize
performance.mlp.syn_id,0.26168462325162545,0.9668939822358656,0.7577088569019371,0.2790094575985912,0.961009942158987,0.3304914467968111,5,0,4.48,maximize
performance.mlp.syn_ood,0.41016249999999993,0.9484066251743019,0.8389478203754719,0.21441429030278875,0.9475563717987961,0.00806360490426139,5,0,4.48,maximize
performance.xgb.gt,0.6632149207634864,0.6640768807823957,0.6636352596951387,0.0003289284089380749,0.6636894031176844,0.0005718032349251168,5,0,0.77,maximize
performance.xgb.syn_id,0.6377136100677765,0.9399294227355709,0.8194051939671215,0.14434169267280064,0.9319300423616236,0.2920755459630182,5,0,0.77,maximize
performance.xgb.syn_ood,0.9325238921198519,0.9650500000000001,0.9494302717409788,0.013456985664443215,0.9567391082542599,0.02466164166921736,5,0,0.77,maximize
detection.detection_xgb.mean,0.9998436861217325,0.9999759517110358,0.999901517216631,4.8242200188371356e-05,0.9999038788450081,7.164086083655263e-05,5,0,0.13,minimize
detection.detection_mlp.mean,0.43197941466464657,0.9867651609701743,0.7966715008047537,0.20150737633528812,0.795480318491507,0.19203012343396308,5,0,2.33,minimize
detection.detection_gmm.mean,0.4475061852343218,0.5658562393285718,0.5000776745333372,0.03810758639193855,0.5,0.012974051896207595,5,0,0.15,minimize
detection.detection_linear.mean,0.9711411172316646,0.98716901382287,0.9815335061066094,0.006098789109204805,0.9852105182895877,0.008013984296035281,5,0,0.49,minimize
privacy.delta-presence.score,2.8124999991210937,34.99999965000001,13.567011165112934,12.604730724465481,4.736842102770083,16.714285506326533,5,0,0.03,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.05,maximize
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,5,0,0.05,maximize
privacy.k-map.score,1.0,11.0,4.6,4.127953488110059,2.0,7.0,5,0,0.03,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.07,maximize
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,5,0,0.07,maximize
privacy.identifiability_score.score,0.006,0.008,0.0072,0.0009797958971132711,0.008,0.002,5,0,0.03,minimize
privacy.identifiability_score.score_OC,0.006,0.018,0.013600000000000001,0.004079215610874228,0.014,0.002,5,0,0.03,minimize
performance.feat_rank_distance.corr,0.35711286191613273,0.435425926064221,0.39626939399017685,0.039156532074044126,0.39626939399017685,0.039156532074044126,2,0,0.36,minimize
performance.feat_rank_distance.pvalue,2.2451670812454806e-46,1.3072066172961434e-31,6.536033086480728e-32,6.536033086480705e-32,6.536033086480728e-32,6.536033086480706e-32,2,0,0.36,minimize
