,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.014266647542095372,0.016917571586594907,0.015549560763405223,0.0009880910749762973,0.015896637106197122,0.0015168722883031234,5,0,0.0,minimize
sanity.close_values_probability.score,0.984,0.986,0.9847999999999999,0.0009797958971132722,0.984,0.0020000000000000018,5,0,0.0,maximize
sanity.distant_values_probability.score,0.002,0.006,0.004,0.0012649110640673518,0.004,0.0,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.005993861334570568,0.006721131405488485,0.006271046987210533,0.0002767298541676378,0.006127969227247469,0.00040638233166904406,5,0,0.04,minimize
stats.chi_squared_test.marginal,0.18181301650309448,0.27271389787535794,0.19999480746192372,0.03635954523004937,0.1818161327502529,2.3582855354364884e-06,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.8338730260191057,0.8823683939496644,0.8599756701870296,0.015986856648638914,0.8639393220922206,0.012599451669909167,5,0,0.01,maximize
stats.ks_test.marginal,0.8358181818181817,0.87,0.8619999999999999,0.013157909351884062,0.868,0.003454545454545488,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.004016667468995537,0.004128081129912558,0.004048749307987326,4.121185504461799e-05,0.0040355084122756365,2.883304673270172e-05,5,0,0.02,minimize
stats.wasserstein_dist.joint,0.028444852009144022,0.04045204675321804,0.03461721570784494,0.0044974065116862565,0.03288168845630129,0.006903500007134869,5,0,0.03,minimize
stats.prdc.precision,0.596,0.634,0.6123999999999999,0.014664242223858702,0.616,0.02400000000000002,5,0,0.02,maximize
stats.prdc.recall,0.962,0.99,0.9743999999999999,0.010983624174196795,0.972,0.020000000000000018,5,0,0.02,maximize
stats.prdc.density,0.3536,0.3976,0.37736000000000003,0.016468345393511753,0.3708,0.023999999999999966,5,0,0.02,maximize
stats.prdc.coverage,0.524,0.624,0.5812,0.032926585003610676,0.584,0.02200000000000002,5,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.14240000000000008,0.18466666666666653,0.15264000000000003,0.016123390875784505,0.14666666666666683,0.004133333333333433,5,0,0.53,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.14666666666666672,0.16680000000000006,0.15288000000000007,0.007848612049981274,0.14760000000000006,0.009466666666666734,5,0,0.53,maximize
stats.alpha_precision.authenticity_OC,0.608,0.862,0.7555999999999999,0.09168991220412417,0.732,0.11199999999999999,5,0,0.53,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8089333333333334,0.9133563218390806,0.8690179310344828,0.035624902375020674,0.8834666666666666,0.033466666666666756,5,0,0.53,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.18866666666666676,0.2188,0.20224000000000003,0.010314313678896195,0.20146666666666668,0.011866666666666248,5,0,0.53,maximize
stats.alpha_precision.authenticity_naive,0.682,0.742,0.716,0.019919839356781953,0.714,0.014000000000000012,5,0,0.53,maximize
performance.linear_model.gt,0.6552963160014226,0.6594238752779321,0.6572905723554292,0.001664189768001645,0.6569609200385279,0.003222657980379129,5,0,0.3,maximize
performance.linear_model.syn_id,0.6477506530967634,0.9791924341890765,0.7832484339455704,0.15971430727686767,0.6616871295718615,0.32907422375882533,5,0,0.3,maximize
performance.linear_model.syn_ood,0.9560249999999999,0.9740249999999998,0.9671238642315408,0.006078041535555726,0.9682499999999999,0.003979185797367557,5,0,0.3,maximize
performance.mlp.gt,0.4530996483929286,0.6495724901085568,0.6067953292173264,0.07694626207189058,0.6462437819708264,0.00907995156515673,5,0,4.66,maximize
performance.mlp.syn_id,0.6301213975802468,0.9737795323702376,0.7644690719838902,0.1620266799878591,0.6343114002481,0.3191827109236919,5,0,4.66,maximize
performance.mlp.syn_ood,0.9389875,0.9641193075536508,0.9444858598612387,0.009854559937581176,0.9390625,0.0022349917525422702,5,0,4.66,maximize
performance.xgb.gt,0.6632149207634864,0.6640768807823957,0.6636352596951387,0.0003289284089380749,0.6636894031176844,0.0005718032349251168,5,0,0.82,maximize
performance.xgb.syn_id,0.6604470785203369,0.9953381268098983,0.7952106686434621,0.16266318962126824,0.6641149016666738,0.3308712745641669,5,0,0.82,maximize
performance.xgb.syn_ood,0.9922999999999998,0.9947284290718633,0.9937763209536442,0.000822303288914834,0.9938781756963575,0.0006249999999999867,5,0,0.82,maximize
detection.detection_xgb.mean,0.9849150987398265,0.9919499432705184,0.9876545876575253,0.0025217160421116993,0.9871628937493314,0.0031725021207854587,5,0,0.2,minimize
detection.detection_mlp.mean,0.49900199600798406,0.6986743632711491,0.5672890709454765,0.07285337274456505,0.550917067819487,0.08066148922845451,5,0,2.35,minimize
detection.detection_gmm.mean,0.39711497573354837,0.5067635812711925,0.46893553632940443,0.040718895538985854,0.4860760406897049,0.05030300844094954,5,0,0.19,minimize
detection.detection_linear.mean,0.6095596124683035,0.6827626760763158,0.6468881730082868,0.02577170469251643,0.653603909704579,0.03410450579974167,5,0,1.74,minimize
privacy.delta-presence.score,2.066666665288889,4.999999950000001,4.013333297057779,1.0711571965918956,3.9999999600000007,0.9999999900000005,5,0,0.03,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.05,maximize
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,5,0,0.05,maximize
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.03,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.07,maximize
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,5,0,0.07,maximize
privacy.identifiability_score.score,0.14,0.174,0.1516,0.01267438361420388,0.148,0.015999999999999986,5,0,0.03,minimize
privacy.identifiability_score.score_OC,0.118,0.14,0.1292,0.009086253353280446,0.124,0.016000000000000014,5,0,0.03,minimize
performance.feat_rank_distance.corr,0.6062442376925599,0.6630972167371686,0.636122341719274,0.023300741913365734,0.6390255707280934,0.02842648952230442,3,0,0.25,minimize
performance.feat_rank_distance.pvalue,2.4174694568943812e-105,1.0268865718839452e-87,3.422955241008347e-88,4.8407897222704116e-88,4.18558950485716e-97,5.134432859419726e-88,3,0,0.25,minimize
