,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,0.5833333333333334,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.00199999999996,0.00039999999999199996,0.0007999999999839999,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.0038952273824290947,0.016417283536904328,0.010336639571339106,0.004825507733280219,0.010331543152749803,0.008705704791082867,5,0,0.0,minimize
sanity.close_values_probability.score,0.982,0.998,0.99,0.005656854249492385,0.99,0.008000000000000007,5,0,0.0,maximize
sanity.distant_values_probability.score,0.002,0.004,0.0028,0.0009797958971132714,0.002,0.002,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.019588526802319685,0.022654287575830056,0.021215516515026792,0.001100614377681577,0.02118468881746173,0.0016215186416395772,5,0,0.04,minimize
stats.chi_squared_test.marginal,0.010774091819381847,0.06215280022925402,0.0278038131565432,0.018017438500970595,0.023524499797387,0.009994341111199751,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.5848954486563894,0.6932674030285326,0.6570227277432906,0.03894181954154623,0.6712675267815512,0.03547658590928637,5,0,0.01,maximize
stats.ks_test.marginal,0.705090909090909,0.7374545454545456,0.7184,0.012027186834023046,0.718,0.01836363636363636,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.004353558432663487,0.004785387959878263,0.0045558472190149035,0.00014699304395431495,0.004590896930863069,0.00015003892120969437,5,0,0.04,minimize
stats.wasserstein_dist.joint,326.2106352680423,2045.7396338535677,1061.28163744327,682.0432033341274,633.0391456508786,1110.8928434880866,5,0,0.06,minimize
stats.prdc.precision,0.604,0.646,0.6296,0.014164744967700633,0.632,0.010000000000000009,5,0,0.01,maximize
stats.prdc.recall,0.762,0.82,0.7847999999999999,0.022894540834006685,0.778,0.040000000000000036,5,0,0.01,maximize
stats.prdc.density,0.5412,0.6432000000000001,0.6068800000000001,0.03478059228937888,0.6164000000000001,0.016000000000000014,5,0,0.01,maximize
stats.prdc.coverage,0.746,0.762,0.7548,0.005455272678794348,0.756,0.006000000000000005,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.19160000000000033,0.28826666666666667,0.2258400000000001,0.035195292614527536,0.2221333333333333,0.04026666666666656,5,0,2.78,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.1644,0.27360000000000007,0.2154933333333334,0.03520074746681132,0.2094666666666668,0.0185333333333334,5,0,2.78,maximize
stats.alpha_precision.authenticity_OC,0.564,0.68,0.6216,0.038416663051337535,0.62,0.03600000000000003,5,0,2.78,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8296827586206896,0.8836091954022989,0.8539806896551724,0.018146964963214652,0.8507264367816092,0.018197701149425316,5,0,2.78,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.45640000000000003,0.5381333333333334,0.48738666666666663,0.028481772728848505,0.4729333333333332,0.024399999999999977,5,0,2.78,maximize
stats.alpha_precision.authenticity_naive,0.498,0.556,0.5284000000000001,0.01911648503255765,0.532,0.016000000000000014,5,0,2.78,maximize
performance.linear_model.gt,0.6514174692862849,0.6585475987888443,0.6557575363827927,0.0024548342484645154,0.6563184251818367,0.0023266516443610774,5,0,0.7,maximize
performance.linear_model.syn_id,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.7,maximize
performance.linear_model.syn_ood,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.7,maximize
performance.mlp.gt,0.6290703744665758,0.6455553502846888,0.6397699260256255,0.005629956119365127,0.6407780190650603,0.0019420034548388587,5,0,6.2,maximize
performance.mlp.syn_id,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6.2,maximize
performance.mlp.syn_ood,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6.2,maximize
performance.xgb.gt,0.6636456380144078,0.6653046371483221,0.6645192233208906,0.0005675022247851644,0.664673552282497,0.0006391586235321434,5,0,8.0,maximize
performance.xgb.syn_id,0.0,0.0,0.0,0.0,0.0,0.0,5,0,8.0,maximize
