,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.18068446842928543,0.2204637912614727,0.20159842667706096,0.014959590152246403,0.20510828000973327,0.02499057209413255,5,0,0.0,minimize
sanity.close_values_probability.score,0.59,0.692,0.6292,0.04234335839302311,0.602,0.07400000000000007,5,0,0.0,maximize
sanity.distant_values_probability.score,0.004,0.018,0.0108,0.005455272678794342,0.01,0.01,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.011577613984658877,0.014876244699145324,0.013619811457553716,0.0010951985862688593,0.013812754486630824,0.0002651761926652698,5,0,0.02,minimize
stats.chi_squared_test.marginal,0.29277820045272246,0.4705448182873539,0.4304477154888152,0.0689357293355974,0.46275001382249487,0.0072757831047567945,5,0,0.0,maximize
stats.inv_kl_divergence.marginal,0.8305931831923226,0.906612183978536,0.8712502666129408,0.028676709645029864,0.8708052465534685,0.04881868161096914,5,0,0.0,maximize
stats.ks_test.marginal,0.882,0.9009999999999999,0.8935333333333333,0.007082372483850272,0.8923333333333333,0.009666666666666601,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.01149157457117228,0.01740160834823179,0.014056538436467328,0.0022062565015515067,0.012821623674455856,0.00314352237308084,5,0,0.01,minimize
stats.wasserstein_dist.joint,0.02126287751475407,0.02649323048210697,0.02460491214558237,0.0018551424287267398,0.02478943603592447,0.0018074024429308166,5,0,0.03,minimize
stats.prdc.precision,0.996,1.0,0.9975999999999999,0.0019595917942265445,0.996,0.0040000000000000036,5,0,0.01,maximize
stats.prdc.recall,0.83,0.878,0.8575999999999999,0.015666524822052927,0.86,0.008000000000000007,5,0,0.01,maximize
stats.prdc.density,1.1652,1.32,1.24152,0.058609705680885325,1.2508,0.10040000000000004,5,0,0.01,maximize
stats.prdc.coverage,0.884,0.926,0.908,0.016149303390549093,0.91,0.028000000000000025,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.7798666666666666,0.905816091954023,0.8362298850574712,0.04048781494071444,0.8337333333333333,0.015066666666666784,5,0,2.49,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.4550666666666666,0.5316,0.48693333333333333,0.02788267482784886,0.47640000000000005,0.039066666666666805,5,0,2.49,maximize
stats.alpha_precision.authenticity_OC,0.452,0.524,0.49800000000000005,0.025768197453450256,0.506,0.028000000000000025,5,0,2.49,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8582022988505746,0.8998620689655172,0.8823862068965516,0.014445595084103051,0.8855999999999999,0.01653333333333329,5,0,2.49,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.42800000000000005,0.4766666666666667,0.4444,0.01813823463172628,0.43666666666666665,0.021999999999999797,5,0,2.49,maximize
stats.alpha_precision.authenticity_naive,0.504,0.588,0.5439999999999999,0.02797141397927533,0.538,0.026000000000000023,5,0,2.49,maximize
performance.linear_model.gt,0.7949286233860703,0.8340470994726313,0.81128841607565,0.013398780700094919,0.8073399709038007,0.013670667394071745,5,0,0.04,maximize
performance.linear_model.syn_id,0.757910529187125,0.8046440261865794,0.7894453537006729,0.016503032632498513,0.7937511365702855,0.009529005273686053,5,0,0.04,maximize
performance.linear_model.syn_ood,0.716367168528412,0.8810101991257892,0.8172899465760077,0.05877032486765969,0.8159300631374454,0.06750849927149094,5,0,0.04,maximize
performance.mlp.gt,0.6683760683760683,0.7475518276050191,0.6981187488634297,0.027261910543588095,0.6866907619567194,0.02112202218585213,5,0,4.99,maximize
performance.mlp.syn_id,0.5656096563011457,0.6755523731587562,0.6093494271685761,0.03614069620933978,0.60352336788507,0.011172485906528529,5,0,4.99,maximize
performance.mlp.syn_ood,0.4866440019426907,0.7119961146187469,0.6092277804759592,0.079793283126914,0.5925206410879067,0.1029626032054396,5,0,4.99,maximize
performance.xgb.gt,0.8794553555191854,0.8949695399163485,0.8860656482996909,0.006800510694619324,0.8822672304055281,0.013616112020367499,5,0,0.44,maximize
performance.xgb.syn_id,0.8556373886161119,0.8778664302600472,0.8666625750136389,0.00898451619143193,0.8678623386070194,0.017557737770503734,5,0,0.44,maximize
performance.xgb.syn_ood,0.7955318115590092,0.9043224866440019,0.8544924720738223,0.04438909923107436,0.8771248178727538,0.08110733365711498,5,0,0.44,maximize
performance.feat_rank_distance.corr,0.09135927282631998,0.3185679872310983,0.20047969031883697,0.08194987092211382,0.1721172945296139,0.1160542649958928,5,0,0.11,minimize
performance.feat_rank_distance.pvalue,2.7212402665721356e-06,0.1782578127836053,0.0429588233913071,0.06827544569150558,0.011348609193897354,0.02502817413033575,5,0,0.11,minimize
detection.detection_xgb.mean,0.6977492961555427,0.741707048351893,0.7243882770495371,0.014424088688536346,0.7277797050009353,0.0017997336255992646,5,0,0.18,minimize
detection.detection_mlp.mean,0.49259413501112626,0.5727074096522343,0.5331795610856059,0.026201121527029247,0.5377621857504239,0.01978144569385154,5,0,2.93,minimize
detection.detection_gmm.mean,0.4900558885115564,0.5511965391776147,0.5206510577431098,0.022479367023063697,0.5233482245522662,0.03596497215510541,5,0,0.29,minimize
detection.detection_linear.mean,0.5743110129211312,0.6055277080209396,0.5883062818882833,0.010044329502735374,0.586104466631271,0.0036400757391500393,5,0,0.04,minimize
privacy.delta-presence.score,2.1874999986328123,7.4999999625000004,4.187499985251563,1.7704166059036432,3.749999990625,0.5000000094999999,5,0,0.05,maximize
privacy.k-anonymization.gt,7.0,15.0,10.4,2.5768197453450252,10.0,0.0,5,0,0.07,maximize
privacy.k-anonymization.syn,3.00000001,14.00000001,8.800000010000002,3.5440090293338704,9.00000001,2.0,5,0,0.07,maximize
privacy.k-map.score,2.0,6.0,3.8,1.6,4.0,3.0,5,0,0.05,maximize
privacy.distinct l-diversity.gt,7.0,15.0,10.4,2.5768197453450252,10.0,0.0,5,0,0.12,maximize
privacy.distinct l-diversity.syn,3.00000001,14.00000001,8.800000010000002,3.5440090293338704,9.00000001,2.0,5,0,0.12,maximize
privacy.identifiability_score.score,0.418,0.454,0.4344,0.014499655168313499,0.432,0.028000000000000025,5,0,0.04,minimize
privacy.identifiability_score.score_OC,0.466,0.516,0.49079999999999996,0.0205757138393787,0.484,0.040000000000000036,5,0,0.04,minimize
