,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.3649365891219441,0.5021991835300249,0.42781505357883454,0.045308344473648385,0.4146161216552644,0.034695386844323495,5,0,0.0,minimize
sanity.close_values_probability.score,0.09,0.262,0.1544,0.06374197988766901,0.132,0.088,5,0,0.0,maximize
sanity.distant_values_probability.score,0.044,0.11,0.0692,0.023953287874527787,0.072,0.027999999999999997,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.08722412068630954,0.08880361692733141,0.08809140682560357,0.0005732295048562245,0.0881251130227018,0.0008660605324841975,5,0,0.02,minimize
stats.chi_squared_test.marginal,0.0,0.1100577000285338,0.05889511894918949,0.04854255046583147,0.0902861983809915,0.09413169633642213,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.32711702101609597,0.37193618870164924,0.3487532010697515,0.01683706141106288,0.34258235393842795,0.02694764393160165,5,0,0.0,maximize
stats.ks_test.marginal,0.3076,0.3304,0.3184,0.008095430810031062,0.3164,0.011199999999999988,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.05169713579534827,0.0610192511830107,0.056063478239293696,0.003301004374424766,0.054741216835762926,0.004205144897946093,5,0,0.02,minimize
stats.wasserstein_dist.joint,0.3429003537969053,0.36207881903456235,0.35040786964117565,0.006712982333370109,0.3510550331750352,0.006443145560796615,5,0,0.03,minimize
stats.prdc.precision,0.0,0.004,0.0024000000000000002,0.0014966629547095765,0.002,0.002,5,0,0.02,maximize
stats.prdc.recall,0.734,1.0,0.942,0.10416909330506818,0.992,0.016000000000000014,5,0,0.02,maximize
stats.prdc.density,0.0,0.0028000000000000004,0.00128,0.0009927738916792688,0.0016,0.0012000000000000001,5,0,0.02,maximize
stats.prdc.coverage,0.0,0.014,0.0064,0.004963869458396343,0.008,0.006,5,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.35706666666666653,0.4236,0.38010666666666665,0.022957103959825215,0.37573333333333336,0.011333333333333306,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.008533333333333393,0.014000000000000012,0.011066666666666803,0.0018856180831641057,0.010400000000000187,0.0021333333333333204,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.898,0.998,0.9616,0.036318590281011726,0.968,0.04400000000000004,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.13013333333333332,0.132,0.13082666666666667,0.0006923069325731754,0.13053333333333328,0.0009333333333332305,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.0008000000000000229,0.0003200000000000092,0.0003919183588453197,0.0,0.0008000000000000229,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.1,maximize
performance.linear_model.gt,0.9485292197933634,0.9526466727072914,0.9505647300287088,0.001543206760783122,0.9507684576126604,0.0025910821482421076,5,0,0.36,maximize
performance.linear_model.syn_id,0.45669800484393136,0.543534933325119,0.48759456859013356,0.03359052222333361,0.4726441569461601,0.05066045391857016,5,0,0.36,maximize
performance.linear_model.syn_ood,0.45830643078512406,0.5366825781268372,0.4871475971298807,0.029297608434248033,0.4756154890831215,0.04077411265432107,5,0,0.36,maximize
performance.mlp.gt,0.48155459362631353,0.555365492539582,0.5037569024534743,0.028795390727601494,0.48479642039062415,0.03392421870479623,5,0,4.61,maximize
performance.mlp.syn_id,0.484898569921302,0.5319729446109146,0.5010103298037328,0.018408136942852642,0.4880203566912835,0.024720613435156802,5,0,4.61,maximize
performance.mlp.syn_ood,0.4847467367541152,0.5258789062499999,0.4967033316374696,0.014975099343102677,0.49100378787878785,0.007518003046914745,5,0,4.61,maximize
performance.xgb.gt,0.9952669994566102,0.997867415646339,0.9968612718439473,0.0010409577537283882,0.9975368162949757,0.0016755622083246546,5,0,1.7,maximize
performance.xgb.syn_id,0.4485667686768234,0.5038981581066717,0.4744683291165524,0.020759175908017635,0.48045429436232884,0.03276031599395196,5,0,1.7,maximize
performance.xgb.syn_ood,0.4411803113138559,0.47974218750000003,0.4621313568323269,0.016212848846770465,0.46969158918732784,0.03159535682308834,5,0,1.7,maximize
detection.detection_xgb.mean,0.9997721892626261,0.9999639995674188,0.9998775553287048,7.216346974784149e-05,0.9998919267013912,0.00012038544655168515,5,0,0.12,minimize
detection.detection_mlp.mean,0.164129428179209,0.9203086144283111,0.7592472295147099,0.2977005328020111,0.902344686573754,0.020814838111094636,5,0,2.48,minimize
detection.detection_gmm.mean,0.604135103287401,0.865533992256451,0.7022832698357704,0.0902427389259025,0.6826347305389221,0.07766337320309247,5,0,0.15,minimize
detection.detection_linear.mean,0.978133121247585,0.9786967440200761,0.9783765129721799,0.0002059448618920163,0.978334003661388,0.00030945971846807474,5,0,0.04,minimize
privacy.delta-presence.score,23.66666658777778,70.99999929,44.43333295605556,15.631733885887863,45.999999540000005,10.499999717500003,5,0,0.03,maximize
privacy.k-anonymization.gt,10.0,10.0,10.0,0.0,10.0,0.0,5,0,0.05,maximize
privacy.k-anonymization.syn,2.00000001,7.00000001,4.80000001,2.3151673805580453,6.00000001,5.0,5,0,0.05,maximize
privacy.k-map.score,1.0,3.0,1.6,0.8,1.0,1.0,5,0,0.03,maximize
privacy.distinct l-diversity.gt,10.0,10.0,10.0,0.0,10.0,0.0,5,0,0.07,maximize
privacy.distinct l-diversity.syn,2.00000001,7.00000001,4.80000001,2.3151673805580453,6.00000001,5.0,5,0,0.07,maximize
privacy.identifiability_score.score,0.0,0.002,0.0012000000000000001,0.0009797958971132711,0.002,0.002,5,0,0.02,minimize
privacy.identifiability_score.score_OC,0.02,0.024,0.022,0.001264911064067352,0.022,0.0,5,0,0.02,minimize
