,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.22248588452705945,0.4292953890516742,0.313845608769852,0.08113315763578197,0.29339635920219925,0.14705710329774593,5,0,0.0,minimize
sanity.close_values_probability.score,0.11,0.512,0.3148,0.1617533925455661,0.312,0.31599999999999995,5,0,0.0,maximize
sanity.distant_values_probability.score,0.002,0.05,0.020800000000000003,0.016618062462272792,0.02,0.016,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.004400252193083934,0.00540928693296972,0.004782593086828461,0.00034554856022315974,0.004708440584103304,0.0002760674241782182,5,0,0.02,minimize
stats.chi_squared_test.marginal,0.7985051972154219,0.9996968366162449,0.8791688472730599,0.09807386497767957,0.799491915749977,0.19958887561834937,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.9291298658418853,0.9878446799030964,0.9692383596734023,0.021194976378835523,0.9728100959065007,0.015345429074386074,5,0,0.0,maximize
stats.ks_test.marginal,0.9475999999999999,0.9543999999999999,0.9512,0.0027364210202379348,0.952,0.005199999999999982,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.007994008092326215,0.008043953156573642,0.008028474345328282,1.802790523943139e-05,0.008035467039339233,1.2383528315026635e-05,5,0,0.02,minimize
stats.wasserstein_dist.joint,0.016168912397728673,0.02075610585219688,0.018404001530706298,0.0014523113176450892,0.018334904241826263,0.0001555644393012104,5,0,0.03,minimize
stats.prdc.precision,0.12,0.168,0.1516,0.016847551750922153,0.158,0.01200000000000001,5,0,0.02,maximize
stats.prdc.recall,0.974,1.0,0.9904,0.010537551897855602,0.996,0.018000000000000016,5,0,0.02,maximize
stats.prdc.density,0.054000000000000006,0.0772,0.06992000000000001,0.008614035059134597,0.0736,0.008800000000000002,5,0,0.02,maximize
stats.prdc.coverage,0.12,0.184,0.1632,0.023275738441561847,0.17,0.021999999999999992,5,0,0.02,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.7068000000000001,0.7846666666666667,0.7561333333333333,0.026917619178192954,0.7626666666666666,0.021466666666666634,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.1213333333333334,0.1857333333333332,0.16341333333333335,0.022519775013677745,0.16760000000000008,0.016000000000000014,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.766,0.82,0.7816,0.01981514572240131,0.774,0.01200000000000001,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.9393241379310345,0.9663908045977011,0.9557029885057471,0.009636924014039481,0.9565931034482759,0.011793103448275777,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.03706666666666658,0.04720000000000002,0.042240000000000014,0.004061220396766378,0.04320000000000013,0.007733333333333259,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.946,0.986,0.9671999999999998,0.015157836257197148,0.966,0.026000000000000023,5,0,0.1,maximize
performance.linear_model.gt,0.9485292197933634,0.9526466727072914,0.9505647300287088,0.001543206760783122,0.9507684576126604,0.0025910821482421076,5,0,0.36,maximize
performance.linear_model.syn_id,0.7227408971597135,0.7765834715663513,0.741942948841106,0.019602418245408263,0.7362190549359982,0.023351228488335374,5,0,0.36,maximize
performance.linear_model.syn_ood,0.7167620689655171,0.7762206896551725,0.7390020689655172,0.02153453445232754,0.7287344827586205,0.02538965517241376,5,0,0.36,maximize
performance.mlp.gt,0.48155459362631353,0.555365492539582,0.5037569024534743,0.028795390727601494,0.48479642039062415,0.03392421870479623,5,0,4.49,maximize
performance.mlp.syn_id,0.46233301409731703,0.5613315606571055,0.5062288967619354,0.03553339950072227,0.49141844438041077,0.04741555851220214,5,0,4.49,maximize
performance.mlp.syn_ood,0.4561758620689656,0.5611724137931033,0.5039875862068965,0.03591949914774655,0.4921793103448276,0.03879655172413782,5,0,4.49,maximize
performance.xgb.gt,0.9952669994566102,0.997867415646339,0.9968612718439473,0.0010409577537283882,0.9975368162949757,0.0016755622083246546,5,0,2.9,maximize
performance.xgb.syn_id,0.6650376833989495,0.7414238518494264,0.7089129214675444,0.02471941264628638,0.7144289777633938,0.007172419228003157,5,0,2.9,maximize
performance.xgb.syn_ood,0.679244827586207,0.7413655172413792,0.7143179310344827,0.02446967978975364,0.7143620689655172,0.04472758620689654,5,0,2.9,maximize
performance.feat_rank_distance.corr,-0.06426063564907893,0.0356345596959401,-0.00688183883455365,0.03243784974180778,-0.003062844001698465,0.013079519107982968,5,0,1.41,minimize
performance.feat_rank_distance.pvalue,1.4975292091177324e-07,0.8023084800827931,0.39926715443755895,0.33675301675660213,0.5184391226609303,0.6684260127244679,5,0,1.41,minimize
detection.detection_xgb.mean,0.938311314748758,0.9513500234218815,0.945484559342465,0.005105970116075633,0.9465218614066866,0.009314823926924287,5,0,0.17,minimize
detection.detection_mlp.mean,0.48750352984241463,0.5423024163058344,0.5073936032415366,0.018445108078449242,0.5010099561356329,0.004203914514236851,5,0,2.43,minimize
detection.detection_gmm.mean,0.47857193052031716,0.5624230940758984,0.5143643382018878,0.035445269233171345,0.4915476024359909,0.0650359334717765,5,0,0.18,minimize
detection.detection_linear.mean,0.5089214832005422,0.5312407433887726,0.5222713508125514,0.008836712887848425,0.5251750305031665,0.015636283885587132,5,0,0.04,minimize
privacy.delta-presence.score,1.4999999989285713,2.49999999375,1.924895102415191,0.35720854535116153,1.9090909073553717,0.48461538375798807,5,0,0.03,maximize
privacy.k-anonymization.gt,10.0,10.0,10.0,0.0,10.0,0.0,5,0,0.05,maximize
privacy.k-anonymization.syn,2.00000001,11.00000001,7.800000010000001,3.31058907144937,8.00000001,4.000000000000001,5,0,0.05,maximize
privacy.k-map.score,4.0,11.0,8.2,2.6381811916545836,8.0,4.0,5,0,0.03,maximize
privacy.distinct l-diversity.gt,10.0,10.0,10.0,0.0,10.0,0.0,5,0,0.08,maximize
privacy.distinct l-diversity.syn,2.00000001,11.00000001,7.800000010000001,3.31058907144937,8.00000001,4.000000000000001,5,0,0.08,maximize
privacy.identifiability_score.score,0.006,0.014,0.009999999999999998,0.0028284271247461905,0.01,0.004,5,0,0.02,minimize
privacy.identifiability_score.score_OC,0.14,0.194,0.1688,0.01727888885316414,0.172,0.005999999999999978,5,0,0.02,minimize
