,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.05306299608363885,0.11388585447766046,0.09275933180292231,0.025183343207055765
sanity.close_values_probability.score,0.8035019455252919,0.9474708171206225,0.8509727626459144,0.06063363085425971
sanity.distant_values_probability.score,0.0019455252918287938,0.007782101167315175,0.005058365758754864,0.0029505351922379575
stats.jensenshannon_dist.marginal,0.011058477112894968,0.012178697822127466,0.011495273728968936,0.0004578502210208912
stats.chi_squared_test.marginal,0.7494319679941207,0.9580150006479231,0.8745213564431416,0.08332362566478109
stats.inv_kl_divergence.marginal,0.9082407551090089,0.9246104005023299,0.9153326106895043,0.00622685210795281
stats.ks_test.marginal,0.8881500673451063,0.8996202484286142,0.8952648907512721,0.00457964974465005
stats.max_mean_discrepancy.joint,0.0038686022129083234,0.003868602214679169,0.0038686022143198814,7.89113249481026e-13
stats.wasserstein_dist.joint,0.12995119629746157,0.23405122017713909,0.17273998757261014,0.038854545375753675
stats.alpha_precision.delta_precision_alpha_OC,0.8290129254438929,0.856514155373675,0.8393944272999686,0.01026800583776542
stats.alpha_precision.delta_coverage_beta_OC,0.6185473411154345,0.6972762645914397,0.6495979247730221,0.03291697454143406
stats.alpha_precision.authenticity_OC,0.3132295719844358,0.3540856031128405,0.33852140077821014,0.01645090907129161
stats.alpha_precision.delta_precision_alpha_naive,0.7543450064850843,0.8975401404356188,0.8240592155284225,0.057364796322918334
stats.alpha_precision.delta_coverage_beta_naive,0.6680933852140079,0.7421530479896239,0.7082749675745784,0.031109132598818184
stats.alpha_precision.authenticity_naive,0.1828793774319066,0.2704280155642023,0.22412451361867705,0.038183876810418974
stats.prdc.precision,0.9826923076923076,0.9961538461538462,0.9896153846153846,0.005014771080925135
stats.prdc.recall,0.9883268482490273,0.9980544747081712,0.9941634241245136,0.0038910505836575737
stats.prdc.density,1.0669230769230769,1.1734615384615386,1.1286153846153846,0.0406662341943571
stats.prdc.coverage,1.0,1.0,1.0,0.0
performance.linear_model.gt,0.09773901955543789,0.09773901955543789,0.09773901955543789,0.0
performance.linear_model.syn_id,-0.2117527337089226,0.31246656733187944,0.18819006730739188,0.22529076810116813
performance.linear_model.syn_ood,-0.6093430903581856,0.24442906945852086,0.0345237274007736,0.36794939896674494
performance.mlp.gt,-0.45312472879155424,-0.45312472879155424,-0.45312472879155424,0.0
performance.mlp.syn_id,0.4049823853553162,0.6553999058139819,0.5517189789871794,0.10473111239873781
performance.mlp.syn_ood,-0.825161105999535,0.4868312067887094,0.07835800316230297,0.5371288544316667
performance.xgb.gt,0.21344375077182381,0.21344375077182381,0.21344375077182381,0.0
performance.xgb.syn_id,0.13400844247968818,0.8548273068570887,0.6778002031456458,0.3069813841022203
performance.xgb.syn_ood,0.0734072064256078,0.7954494157088992,0.6153550396761068,0.3056685020634706
performance.feat_rank_distance.corr,0.5810276679841897,0.8102766798418973,0.6695652173913045,0.08684865749863889
performance.feat_rank_distance.pvalue,3.333048236016902e-10,4.519254094596964e-05,1.1685257248261873e-05,1.9175006469645287e-05
detection.detection_xgb.mean,0.9435137796716895,0.9629642036052658,0.9519593565581571,0.008135343290099887
detection.detection_mlp.mean,0.4937453323375653,0.5030433159073936,0.49913882543308585,0.0037140577636827756
detection.detection_gmm.mean,0.4753197806381701,0.5191467513069454,0.4968432690477235,0.020360555063630454
detection.detection_linear.mean,0.31797873742476823,0.3532344154988359,0.34095568100279694,0.01600142162269072
privacy.delta-presence.score,1.4999999975,2.99999999,2.029743585503958,0.6044177673972344
privacy.k-anonymization.gt,3.0,3.0,3.0,0.0
privacy.k-anonymization.syn,3.00000001,9.00000001,5.6000000100000005,2.302172886644268
privacy.k-map.score,3.0,3.0,3.0,0.0
privacy.distinct l-diversity.gt,3.0,3.0,3.0,0.0
privacy.distinct l-diversity.syn,3.00000001,9.00000001,5.6000000100000005,2.302172886644268
privacy.identifiability_score.,0.8093385214007782,0.8988326848249028,0.8649805447470816,0.03976684154703005
privacy.identifiability_score._privacy.identifiability_score.OC,0.6361867704280155,0.6926070038910506,0.663035019455253,0.023483707201566388
